GO	[-6.29 -0.68]	[-0.68 -0.17]	[-0.17 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.35]	[0.35 1.02]	[1.02 4.75]
HUTTMANN_B_CLL_POOR_SURVIVAL_DN HUTTMANN_B_CLL_POOR_SURVIVAL_DN	-0.748	-0.748	-0.748	0.303	-0.748	2.411	-0.299	-0.748	-0.299	-0.299	3.235
WAMUNYOKOLI_OVARIAN_CANCER_LMP_DN WAMUNYOKOLI_OVARIAN_CANCER_LMP_DN	-0.655	-1.100	0.238	-1.839	0.685	1.003	0.685	-1.839	-0.375	0.430	2.342
ONDER_CDH1_TARGETS_1_DN ONDER_CDH1_TARGETS_1_DN	2.300	1.062	-0.302	-2.135	1.425	-1.341	-0.845	-0.845	-0.517	0.498	0.310
ZAMORA_NOS2_TARGETS_DN ZAMORA_NOS2_TARGETS_DN	2.742	-0.874	-0.380	-0.380	-0.874	0.235	-0.874	-0.380	-0.874	1.441	0.946
FISCHER_G1_S_CELL_CYCLE FISCHER_G1_S_CELL_CYCLE	1.234	-0.434	-0.243	-1.966	0.887	1.635	-1.966	-0.243	0.369	0.598	-1.182
BUFFA_HYPOXIA_METAGENE BUFFA_HYPOXIA_METAGENE	3.276	-0.540	-0.540	0.476	-0.540	-0.540	-0.540	-0.540	0.476	0.968	-0.533
ZHENG_FOXP3_TARGETS_IN_THYMUS_UP ZHENG_FOXP3_TARGETS_IN_THYMUS_UP	-2.212	-1.572	0.274	0.274	-0.511	2.187	0.857	-1.572	0.274	0.428	1.483
SCHUHMACHER_MYC_TARGETS_UP SCHUHMACHER_MYC_TARGETS_UP	0.883	0.883	0.539	0.883	-1.250	-0.644	0.281	-1.250	1.307	-1.250	-0.632
MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_UP MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_UP	0.824	-0.623	2.076	-0.623	-0.623	0.824	-0.224	0.824	-0.623	-0.623	-0.615
HOELZEL_NF1_TARGETS_DN HOELZEL_NF1_TARGETS_DN	0.187	0.187	-0.457	0.187	-0.457	-0.457	-0.457	0.578	3.777	-0.457	-0.451
