GO	[-6.29 -0.68]	[-0.68 -0.17]	[-0.17 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.34]	[0.34 0.99]	[0.99 4.75]
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	2.734	2.278	-0.568	-1.282	1.484	-1.282	-0.866	-1.872	-0.866	-0.359	0.585
ATACTGT_MIR144 ATACTGT_MIR144	-2.848	-1.344	1.761	0.565	0.799	-0.390	-0.917	-1.344	-0.239	1.761	0.770
MIR7161_5P MIR7161_5P	-0.671	-1.042	-0.417	-1.583	0.568	-1.042	-1.042	2.803	0.823	-0.671	2.737
ZAMORA_NOS2_TARGETS_DN ZAMORA_NOS2_TARGETS_DN	2.749	-0.871	-0.378	0.236	-0.871	0.236	-0.871	-0.871	-0.871	1.445	0.915
UDAYAKUMAR_MED1_TARGETS_UP UDAYAKUMAR_MED1_TARGETS_UP	1.954	-0.336	-1.750	1.495	1.954	-0.601	-0.601	-0.601	-0.336	-1.750	0.258
GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN	-0.759	-0.759	0.856	-0.759	0.575	-1.232	-0.255	-0.255	3.657	0.856	-2.037
GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP	-0.462	-0.203	-0.203	2.378	0.427	-0.996	-0.996	2.378	-0.203	-0.996	-1.014
HALLMARK_FATTY_ACID_METABOLISM HALLMARK_FATTY_ACID_METABOLISM	-0.704	2.201	1.194	2.201	-0.704	-1.331	-0.363	0.247	-0.704	-1.331	-0.374
GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDC_UP GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDC_UP	-0.452	0.352	-1.232	-2.002	0.856	1.586	-0.452	1.194	0.352	0.856	-2.037
MORF_ACTG1 MORF_ACTG1	3.151	0.289	1.172	-3.103	-0.490	-0.313	-0.737	-1.074	-0.313	0.890	-0.330
MIR140_3P MIR140_3P	-0.300	-0.550	-1.666	-0.550	-0.962	2.096	-0.300	1.188	-0.550	-0.962	2.583
GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_UP GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_UP	1.620	0.288	-0.509	0.682	2.020	-1.191	0.682	-0.509	0.288	-2.636	-1.223
GSE41867_NAIVE_VS_DAY30_LCMV_CLONE13_EXHAUSTED_CD8_TCELL_DN GSE41867_NAIVE_VS_DAY30_LCMV_CLONE13_EXHAUSTED_CD8_TCELL_DN	-0.648	0.592	-0.234	0.381	1.932	0.381	-1.012	-2.382	-0.234	1.932	-1.582
GSE17721_CTRL_VS_LPS_2H_BMDC_UP GSE17721_CTRL_VS_LPS_2H_BMDC_UP	-0.249	0.360	1.809	0.947	1.809	-1.540	-0.477	-0.863	0.360	-1.540	-0.884
HP_RADIOULNAR_SYNOSTOSIS HP_RADIOULNAR_SYNOSTOSIS	-0.830	-0.830	-0.830	0.568	0.256	-0.830	2.164	-0.351	1.531	-0.830	0.554
GOCC_GOLGI_CISTERNA GOCC_GOLGI_CISTERNA	-1.205	0.303	-0.611	0.574	0.303	1.376	2.486	0.303	-1.205	-0.611	-1.226
GOBP_REGULATION_OF_NEURON_DIFFERENTIATION GOBP_REGULATION_OF_NEURON_DIFFERENTIATION	-1.331	1.194	-0.704	-1.331	-1.331	0.247	0.798	0.798	0.798	-0.704	1.166
HALLMARK_UV_RESPONSE_DN HALLMARK_UV_RESPONSE_DN	-0.550	-1.666	-1.666	0.826	0.530	0.826	-0.962	-0.962	0.826	0.530	1.574
GOBP_RNA_POLYADENYLATION GOBP_RNA_POLYADENYLATION	-0.272	-0.272	-0.705	1.832	-0.705	-0.705	-0.705	-0.705	2.559	-0.272	0.694
GSE11924_TH1_VS_TH2_CD4_TCELL_UP GSE11924_TH1_VS_TH2_CD4_TCELL_UP	-0.218	-1.456	2.509	-0.218	-0.799	0.684	-0.799	1.463	-0.430	0.404	-1.481
