GO	[-1.00 -0.56]	[-0.56 -0.17]	[-0.17 0.15]	[0.15 0.34]	[0.34 0.50]	[0.50 0.66]	[0.66 0.79]	[0.79 0.91]	[0.91 0.98]	[0.98 1.00]	[1.00 1.00]
ZWANG_EGF_PERSISTENTLY_UP ZWANG_EGF_PERSISTENTLY_UP	-0.871	0.526	1.436	-0.871	-0.379	-0.871	-0.871	1.436	2.038	-0.379	-0.865
WP_BLADDER_CANCER WP_BLADDER_CANCER	0.772	-0.995	-0.995	3.052	-0.204	0.426	0.772	-0.463	-0.995	-0.204	-0.989
DAZARD_UV_RESPONSE_CLUSTER_G6 DAZARD_UV_RESPONSE_CLUSTER_G6	-2.615	-0.873	-0.453	-0.873	0.290	-0.636	0.418	-0.313	0.290	1.224	4.183
WP_TRANSLATION_FACTORS WP_TRANSLATION_FACTORS	2.270	-1.286	-1.286	0.508	1.721	-0.342	0.508	-1.286	-0.342	-0.342	-0.338
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP	-0.539	-0.539	-0.539	-0.177	-0.539	-0.539	4.278	-0.539	-0.177	-0.177	0.974
LIU_PROSTATE_CANCER_UP LIU_PROSTATE_CANCER_UP	1.391	-0.454	-0.454	-0.830	0.984	-1.494	2.393	-0.234	-0.454	-1.494	0.385
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	-0.301	-0.301	1.414	-2.119	0.750	-1.331	-0.839	1.057	1.821	-0.301	-0.830
BIOCARTA_IL2_PATHWAY BIOCARTA_IL2_PATHWAY	0.476	-0.177	-0.539	-0.539	4.278	-0.539	0.476	-0.539	-0.539	-0.177	-0.535
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	2.270	0.508	-0.342	-0.672	-0.342	-1.286	-0.342	-1.286	-0.672	2.270	0.267
DORSAM_HOXA9_TARGETS_DN DORSAM_HOXA9_TARGETS_DN	-0.912	0.490	-0.406	-0.406	2.597	-0.912	-0.912	-0.912	0.873	0.873	0.219
WP_MRNA_PROCESSING WP_MRNA_PROCESSING	0.996	-0.579	-0.579	-1.202	-2.334	1.601	-1.681	0.996	0.996	0.366	0.548
WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA	-0.757	-1.228	-1.228	0.571	-0.256	-0.256	-0.256	-0.757	-0.256	0.351	4.913
REACTOME_HCMV_LATE_EVENTS REACTOME_HCMV_LATE_EVENTS	-0.550	0.301	2.604	-0.301	1.596	-0.301	-1.661	-0.550	0.820	-0.960	-0.951
SCHEIDEREIT_IKK_INTERACTING_PROTEINS SCHEIDEREIT_IKK_INTERACTING_PROTEINS	-1.536	0.359	-1.536	0.614	-0.477	2.882	-0.862	0.614	-0.477	0.359	0.363
LIU_COMMON_CANCER_GENES LIU_COMMON_CANCER_GENES	0.268	0.476	-0.600	-0.336	0.476	0.268	1.931	-1.744	-0.600	-1.744	1.494
WP_COMMON_PATHWAYS_UNDERLYING_DRUG_ADDICTION WP_COMMON_PATHWAYS_UNDERLYING_DRUG_ADDICTION	3.055	-0.200	-0.580	-0.580	-0.580	-0.580	0.891	-0.580	-0.580	0.434	0.437
BIOCARTA_EPO_PATHWAY BIOCARTA_EPO_PATHWAY	0.891	0.434	-0.580	-0.580	3.055	-0.580	0.434	-0.580	-0.580	-0.200	-0.576
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	4.157	1.698	-0.857	-0.608	-0.279	-1.181	-0.279	-1.181	-0.279	-0.608	-0.273
YAMASHITA_LIVER_CANCER_STEM_CELL_UP YAMASHITA_LIVER_CANCER_STEM_CELL_UP	1.385	-0.622	0.823	-0.223	-0.622	1.385	-0.622	-0.622	-0.622	-0.622	0.829
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_DN BONOME_OVARIAN_CANCER_POOR_SURVIVAL_DN	-0.539	-0.539	-0.539	-0.539	-0.177	-0.539	-0.177	1.603	1.603	0.967	-0.535
BAUS_TFF2_TARGETS_UP BAUS_TFF2_TARGETS_UP	-0.414	0.211	-0.414	-0.414	2.040	-0.414	2.040	-0.414	0.211	-0.414	-0.412
REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT	-0.539	-0.539	-0.539	-0.539	0.967	-0.539	-0.177	2.371	-0.539	0.476	0.480
DAZARD_UV_RESPONSE_CLUSTER_G2 DAZARD_UV_RESPONSE_CLUSTER_G2	-0.456	-0.456	-0.456	-0.456	-0.456	1.148	0.578	1.875	-0.456	-0.456	0.582
WP_INHIBITION_OF_EXOSOME_BIOGENESIS_AND_SECRETION_BY_MANUMYCIN_A_IN_CRPC_CELLS WP_INHIBITION_OF_EXOSOME_BIOGENESIS_AND_SECRETION_BY_MANUMYCIN_A_IN_CRPC_CELLS	1.148	-0.456	-0.456	0.578	0.578	-0.456	1.875	-0.456	-0.456	-0.456	-0.453
