GO	[-18.86 -0.70]	[-0.70 -0.32]	[-0.32 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.25]	[0.25 0.46]	[0.46 0.94]	[0.94 29.70]
GO:0008168 methyltransferase activity	-1.381	0.361	6.567	-1.674	-7.754	-7.754	-6.458	6.126	0.270	1.267	2.499
GO:0016874 ligase activity	0.505	0.284	5.877	-1.178	-6.757	-6.757	-6.757	1.895	-0.735	1.638	3.455
GO:0008022 protein C-terminus binding	0.479	-0.326	4.938	-0.431	-7.712	-5.427	-6.419	4.176	0.370	-0.326	2.534
GO:0030027 lamellipodium	2.392	0.268	2.392	-1.846	-6.840	-4.654	-6.840	2.392	0.770	0.365	3.024
GO:0042254 ribosome biogenesis	-1.794	-1.352	6.171	-0.360	-4.143	-3.101	-4.143	0.707	-0.360	3.215	2.425
GO:0016829 lyase activity	0.433	0.319	4.623	-1.801	-4.935	-3.316	-6.135	2.109	1.564	-0.391	2.111
GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules	1.877	-0.469	1.616	-3.550	-5.206	-3.550	-2.935	0.259	-0.348	3.466	5.060
GO:0070125 mitochondrial translational elongation	-3.480	0.636	4.299	-0.457	-3.480	-3.480	-3.480	0.301	-0.301	1.401	4.302
GO:0070126 mitochondrial translational termination	-3.563	0.806	4.145	-0.325	-3.563	-3.563	-3.563	0.278	-0.325	1.641	3.659
GO:0005516 calmodulin binding	1.841	-0.619	0.996	-0.370	-5.613	-4.087	-6.615	3.264	0.425	0.996	2.650
GO:0005911 cell-cell junction	2.186	-0.394	1.427	-1.078	-4.873	-5.830	-4.873	1.427	1.915	0.413	2.782
GO:0004518 nuclease activity	-0.376	-0.263	3.511	-1.580	-3.184	-4.011	-5.139	5.277	0.472	-0.376	2.080
GO:0007411 axon guidance	1.141	-0.645	0.405	-0.645	-2.560	-4.857	-6.694	2.298	0.519	1.339	4.962
