GO	[-6.06 -0.65]	[-0.65 -0.15]	[-0.15 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.34]	[0.34 1.03]	[1.03 4.64]
GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN	-0.734	-0.734	-0.734	-0.433	-0.433	-1.964	-0.242	2.092	5.081	0.599	-1.955
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	2.846	1.382	-0.374	-0.374	-1.099	-1.837	-1.099	-1.837	1.382	-0.374	0.692
GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_DN GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_DN	-1.417	-0.409	-1.417	-1.417	1.084	0.718	0.427	-1.417	2.028	1.084	0.217
chr1p32 chr1p32	-0.957	-0.435	-0.957	0.457	-0.957	2.489	-0.957	0.823	-0.957	0.823	0.827
CATRRAGC_UNKNOWN CATRRAGC_UNKNOWN	-0.407	-0.407	1.362	-0.915	-0.915	-0.915	0.216	0.875	3.365	-0.915	-0.404
GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_DN GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_DN	3.962	-1.133	-0.394	0.409	0.409	0.964	0.225	-1.133	-1.880	-0.681	0.227
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	-0.873	-0.873	-0.873	0.527	0.932	1.442	-0.379	2.048	-0.873	0.235	-0.869
REACTOME_MEMBRANE_TRAFFICKING REACTOME_MEMBRANE_TRAFFICKING	1.608	-1.669	2.091	-1.669	-0.301	-0.964	0.301	-0.301	1.184	-0.552	-0.298
GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP	-1.585	2.813	-0.898	-0.503	0.902	-0.503	-0.267	1.287	-0.267	-1.585	0.341
GSE14308_TH2_VS_INDUCED_TREG_UP GSE14308_TH2_VS_INDUCED_TREG_UP	-1.964	0.369	-1.201	-0.433	-0.734	1.637	3.150	0.599	-0.433	-0.734	-0.239
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP	0.786	1.476	-0.495	-1.305	-0.495	-1.305	0.316	-0.286	0.522	2.372	-2.082
GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN	0.925	-0.707	1.695	0.627	0.925	-0.707	0.389	-0.707	-1.922	-1.922	0.632
GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	1.090	0.752	-1.753	0.268	-0.337	0.752	0.477	-1.753	-1.753	0.268	1.098
DAZARD_UV_RESPONSE_CLUSTER_G6 DAZARD_UV_RESPONSE_CLUSTER_G6	-1.602	-1.132	-0.342	-0.342	-0.342	-0.528	1.101	2.137	-1.132	3.008	-0.777
GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN	1.308	-1.249	-0.643	-1.249	0.282	1.308	-0.321	0.884	1.308	-1.249	-0.639
GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_DN GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_DN	-1.795	-1.065	-1.065	-0.628	1.435	1.047	-0.356	2.382	-0.628	-0.356	0.724
GSE2770_UNTREATED_VS_ACT_CD4_TCELL_6H_UP GSE2770_UNTREATED_VS_ACT_CD4_TCELL_6H_UP	0.246	-0.706	-1.333	-1.333	0.480	3.465	-0.364	1.191	-0.364	0.246	-0.701
GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_DN GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_DN	-1.333	-0.364	-0.706	2.196	-0.364	1.191	-0.706	0.246	-0.364	-1.333	1.668
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2 SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	-0.248	-0.664	0.362	-0.248	-0.664	-0.248	-0.664	1.947	-0.664	-0.664	2.720
GO_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY GO_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	-0.455	0.380	0.648	-1.501	-0.455	1.399	2.414	0.380	-0.833	-1.501	-0.452
chr21q22 chr21q22	-0.222	0.397	1.668	1.668	0.728	-1.040	-1.040	-1.040	-0.222	-1.040	-0.220
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN	1.136	-0.386	-0.737	0.453	-0.386	-1.375	2.696	0.230	0.756	-0.737	-1.369
LIN_MELANOMA_COPY_NUMBER_UP LIN_MELANOMA_COPY_NUMBER_UP	0.566	0.256	-0.831	-0.831	4.597	-0.831	-0.352	-0.352	-0.352	-0.352	0.257
GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_UP GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_UP	0.333	0.818	0.818	-2.048	0.547	0.818	0.333	0.547	-1.270	0.333	-2.040
GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN	-1.501	-0.234	-0.234	-0.234	-0.455	-0.234	3.012	-0.455	-0.234	-1.501	1.408
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	-1.040	-0.493	0.728	-1.040	0.397	1.154	2.265	0.397	-0.493	-0.493	-1.036
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	-0.831	0.256	-0.352	0.256	0.993	-0.831	-0.831	0.566	-0.352	2.886	-0.828
MENSE_HYPOXIA_UP MENSE_HYPOXIA_UP	0.527	-0.379	-0.873	2.048	-0.379	0.527	1.442	-0.873	0.235	-0.873	-0.869
TAVAZOIE_METASTASIS TAVAZOIE_METASTASIS	-0.498	0.166	0.166	-0.498	0.166	1.054	-0.498	3.512	-0.498	-0.498	-0.496
GO_NEURON_MIGRATION GO_NEURON_MIGRATION	-0.223	-0.223	-0.623	-0.223	-0.623	-0.623	-0.623	2.077	2.077	0.396	-0.620
chr2q33 chr2q33	-0.664	0.763	-0.248	-0.664	-0.248	-0.664	-0.664	-0.664	0.362	2.710	0.767
SILIGAN_BOUND_BY_EWS_FLT1_FUSION SILIGAN_BOUND_BY_EWS_FLT1_FUSION	-0.456	-0.456	1.150	-0.456	2.758	-0.456	-0.456	0.578	0.187	-0.456	-0.454
MEL18_DN.V1_UP MEL18_DN.V1_UP	-0.456	-0.456	-0.456	0.187	-0.456	-0.456	-0.456	-0.456	0.578	1.880	1.886
chr3q26 chr3q26	-0.498	-0.498	-0.498	1.736	-0.498	-0.498	0.524	1.054	-0.498	1.054	-0.496
ZHAN_MULTIPLE_MYELOMA_SUBGROUPS ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	0.434	1.493	-0.581	1.493	-0.581	-0.581	0.893	-0.200	-0.581	-0.581	-0.579
