GO	[-7.84 -0.62]	[-0.62 -0.29]	[-0.29 -0.13]	[-0.13 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.07]	[0.07 0.23]	[0.23 0.51]	[0.51 1.02]	[1.02 24.36]
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP	-4.729	-0.462	-0.944	-0.462	-7.855	-7.855	-2.461	2.163	7.868	3.360	4.048
GO_HORMONE_ACTIVITY GO_HORMONE_ACTIVITY	2.076	-3.711	-3.711	-2.910	1.479	8.135	-0.791	-1.786	-2.286	-0.417	2.769
LEF1_UP.V1_UP LEF1_UP.V1_UP	-0.352	0.706	-1.723	-0.944	-1.424	-2.066	-2.913	-0.755	-0.595	2.438	12.131
CSR_LATE_UP.V1_DN CSR_LATE_UP.V1_DN	-0.692	0.310	-2.115	-0.398	-5.412	-3.727	-0.398	0.859	0.859	3.981	3.978
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1.127	-0.681	-1.779	-2.695	-2.198	-1.132	-1.132	-0.885	0.329	7.049	4.277
MODULE_180 MODULE_180	0.796	-0.566	-2.254	-0.773	-2.875	-1.357	-0.773	-0.281	-0.566	1.511	9.469
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN	-1.488	-0.328	-0.581	-0.751	-3.863	-3.224	0.493	1.162	0.493	3.075	3.417
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	0.805	-0.430	-1.801	-0.736	-1.801	-0.736	-2.654	-0.568	0.385	4.612	3.828
GNF2_TST GNF2_TST	1.779	0.728	-0.714	-3.067	1.194	-2.329	0.541	-3.067	-0.506	0.385	2.864
GSE40493_BCL6_KO_VS_WT_TREG_DN GSE40493_BCL6_KO_VS_WT_TREG_DN	1.986	-0.552	-3.180	-1.406	0.667	0.347	-1.406	-2.430	0.347	0.873	3.979
GNF2_MYL2 GNF2_MYL2	5.075	-0.671	-0.671	-1.284	0.836	-0.341	-1.284	-1.284	-0.671	-0.671	2.266
GO_SCAVENGER_RECEPTOR_ACTIVITY GO_SCAVENGER_RECEPTOR_ACTIVITY	4.552	0.226	-0.676	-1.864	-1.123	-0.676	-0.392	-1.864	0.409	-0.392	2.721
GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP	1.306	-1.008	-1.899	-3.319	2.046	0.346	0.346	-0.620	-1.899	0.588	3.636
MIKKELSEN_IPS_LCP_WITH_H3K4ME3 MIKKELSEN_IPS_LCP_WITH_H3K4ME3	1.615	-0.751	-0.441	-1.488	-2.221	-0.751	-1.488	0.965	-1.200	1.615	4.553
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_UP GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_UP	1.271	-0.335	-3.371	-2.018	0.270	-0.441	-0.335	-0.727	-0.913	1.714	4.516
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	-1.239	2.041	0.406	-1.505	-2.164	-0.388	0.309	-0.813	-1.010	0.519	5.378
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP	-0.263	-0.352	-0.755	-2.066	-0.352	-0.595	-2.066	-0.595	0.343	1.436	6.468
GSE6090_UNSTIM_VS_DC-SIGN_STIM_DC_DN GSE6090_UNSTIM_VS_DC-SIGN_STIM_DC_DN	0.581	0.320	-1.533	-1.208	-1.924	0.320	0.320	-0.718	-1.533	2.214	4.438
RICKMAN_HEAD_AND_NECK_CANCER_E RICKMAN_HEAD_AND_NECK_CANCER_E	1.113	-0.671	-1.834	-1.335	2.082	0.857	-0.457	-1.834	-1.834	0.857	2.080
GSE37605_C57BL6_VS_NOD_FOXP3_IRES_GFP_TREG_UP GSE37605_C57BL6_VS_NOD_FOXP3_IRES_GFP_TREG_UP	1.827	0.433	-2.566	-1.142	-1.142	0.593	-0.301	-0.301	-0.848	-0.848	4.649
GSE14413_UNSTIM_VS_IFNB_STIM_RAW264_CELLS_DN GSE14413_UNSTIM_VS_IFNB_STIM_RAW264_CELLS_DN	1.827	-2.566	-1.977	-1.977	-0.848	0.301	1.249	0.301	-0.301	0.783	2.154
KRAS.AMP.LUNG_UP.V1_UP KRAS.AMP.LUNG_UP.V1_UP	1.298	-1.391	0.273	-0.830	0.384	0.860	-0.830	-2.763	-1.764	1.830	2.449
GSE21379_TFH_VS_NON_TFH_CD4_TCELL_DN GSE21379_TFH_VS_NON_TFH_CD4_TCELL_DN	1.819	0.416	-1.221	-2.139	-0.993	0.531	-0.798	-1.485	-0.633	1.366	3.564
NABA_ECM_AFFILIATED NABA_ECM_AFFILIATED	0.707	0.707	-1.705	-1.103	0.428	-0.388	-0.871	-1.103	-0.284	-0.871	6.166
VALK_AML_CLUSTER_7 VALK_AML_CLUSTER_7	1.149	1.659	-0.491	-0.491	-1.035	-1.035	-1.035	0.398	-0.222	-1.035	2.248
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	2.290	0.491	-1.345	-2.356	-0.700	0.620	-0.881	-0.700	-0.700	0.379	3.526
GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_3H_DN GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_3H_DN	0.692	-0.270	-1.444	-2.487	-1.184	-0.769	-0.361	-0.608	1.017	1.412	3.651
LOPES_METHYLATED_IN_COLON_CANCER_UP LOPES_METHYLATED_IN_COLON_CANCER_UP	-1.077	-0.520	-1.077	-1.077	0.371	-0.241	-0.520	0.684	-0.241	1.089	2.791
