GO	[-1.00 -0.60]	[-0.60 -0.20]	[-0.20 0.12]	[0.12 0.33]	[0.33 0.49]	[0.49 0.65]	[0.65 0.78]	[0.78 0.91]	[0.91 0.98]	[0.98 1.00]	[1.00 1.00]
WP_MRNA_PROCESSING WP_MRNA_PROCESSING	0.997	-0.578	-0.578	-1.201	-3.285	1.956	-2.332	1.281	0.997	0.367	0.541
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	-3.041	-1.590	-0.753	-0.419	1.331	-0.753	1.102	-1.257	0.301	3.547	1.106
GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP	-0.803	-1.323	-0.454	-2.071	2.046	-2.558	-0.610	3.396	0.661	0.510	0.839
GSE31082_DN_VS_DP_THYMOCYTE_DN GSE31082_DN_VS_DP_THYMOCYTE_DN	-1.664	-1.039	-1.664	-0.454	-1.039	-0.803	0.661	1.033	-0.610	2.046	4.198
GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_DN GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_DN	-0.820	-2.588	-3.174	0.817	0.265	-1.058	1.011	0.817	2.314	0.265	1.015
MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS	-0.301	-2.117	-0.838	-1.330	-1.330	0.499	0.301	-0.301	0.301	3.318	1.825
GSE14699_NAIVE_VS_ACT_CD8_TCELL_DN GSE14699_NAIVE_VS_ACT_CD8_TCELL_DN	-3.421	-0.466	-0.466	0.280	-0.466	-1.194	0.406	-0.466	1.760	4.073	-0.322
HP_DIALEPTIC_SEIZURE HP_DIALEPTIC_SEIZURE	-3.577	-0.712	-1.395	0.596	0.808	-0.326	-0.490	-0.326	1.055	-0.326	3.225
DAZARD_UV_RESPONSE_CLUSTER_G6 DAZARD_UV_RESPONSE_CLUSTER_G6	-2.611	-1.545	-0.312	-0.635	0.290	-0.871	0.577	-0.635	0.577	0.980	4.622
HP_NEOPLASM_OF_THE_THYROID_GLAND HP_NEOPLASM_OF_THE_THYROID_GLAND	-0.525	0.320	-1.618	1.228	2.148	1.228	-1.618	0.555	-0.525	-1.618	-0.282
MIR222_5P MIR222_5P	-0.523	0.862	-0.523	-3.574	-0.722	0.356	1.086	-1.682	-0.369	0.862	2.996
GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	-0.910	-2.155	-0.910	-0.302	-0.710	-1.148	-0.302	-0.544	1.712	1.465	3.979
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	-0.689	-1.493	-2.346	-2.346	1.996	0.465	1.442	0.784	0.980	0.784	-0.686
GSE17721_LPS_VS_CPG_16H_BMDC_DN GSE17721_LPS_VS_CPG_16H_BMDC_DN	3.050	1.908	-2.237	0.290	-0.313	0.595	-0.313	-2.237	-0.313	-1.255	0.291
ZWANG_EGF_PERSISTENTLY_UP ZWANG_EGF_PERSISTENTLY_UP	-0.870	0.527	1.437	-0.870	-0.378	-0.870	-0.870	1.437	2.039	-0.378	-0.869
MIR3064_3P MIR3064_3P	-0.570	-1.077	-2.474	0.477	-0.570	-0.570	0.477	0.334	-0.398	0.334	5.436
chr19p12 chr19p12	-0.363	-0.703	-0.703	-0.703	-0.703	0.480	-0.363	-0.703	-0.363	0.247	6.634
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP	-0.872	-3.995	-0.504	-0.504	0.339	0.762	1.385	0.599	1.909	-1.413	0.765
GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_UP GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_UP	-2.543	-1.955	0.312	-0.425	0.807	0.312	2.211	1.874	-0.602	-1.123	0.614
GCM_ANP32B GCM_ANP32B	1.941	-0.663	-0.663	-0.247	-0.663	0.362	-0.663	2.699	-0.663	0.362	-0.662
MIR4522 MIR4522	-1.244	-1.244	1.799	-0.320	2.997	-0.320	-0.641	-0.641	0.881	-0.320	-0.640
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_DN GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_DN	-0.953	0.251	-1.655	-0.704	-0.508	-2.140	1.113	1.961	2.657	0.512	-0.507
MIR3118 MIR3118	-0.765	-0.407	0.216	2.014	-0.765	-1.410	1.080	0.716	1.514	-1.410	-0.764
GNF2_PA2G4 GNF2_PA2G4	3.313	-0.734	0.453	-1.369	-0.734	0.754	0.453	-0.385	-1.369	0.754	-0.733
GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_DN GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_DN	-1.138	-0.381	-2.211	2.807	-1.138	0.329	0.329	-0.889	1.358	1.876	-0.681
HP_CHRONIC_CONSTIPATION HP_CHRONIC_CONSTIPATION	-0.363	-0.363	-1.327	-0.703	0.480	2.776	-0.703	-0.703	-0.703	-0.363	2.780
GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP	0.842	0.633	-1.626	3.613	-0.433	-0.433	-0.877	-0.433	1.356	-0.877	-1.622
GOMF_SINGLE_STRANDED_DNA_BINDING GOMF_SINGLE_STRANDED_DNA_BINDING	-0.560	0.381	-0.369	0.242	0.558	-3.243	1.317	0.242	2.825	-0.821	-0.819
IL21_UP.V1_UP IL21_UP.V1_UP	1.287	0.702	2.044	-1.715	-0.301	-2.575	-0.489	0.702	-0.763	0.478	-0.488
MIR134_5P MIR134_5P	-0.734	-0.385	0.231	2.095	-0.734	-1.369	1.131	0.453	1.580	-1.369	-0.733
MIR3166 MIR3166	1.644	-1.715	-0.301	-0.489	-0.763	0.478	0.301	-1.715	2.483	0.972	-1.151
GSE20727_H2O2_VS_ROS_INHIBITOR_TREATED_DC_UP GSE20727_H2O2_VS_ROS_INHIBITOR_TREATED_DC_UP	-2.909	-0.374	-1.171	-1.493	0.613	1.708	0.340	-0.906	0.613	1.708	0.983
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION	0.821	-0.434	-0.953	-0.434	0.199	0.457	-0.953	2.475	1.284	-0.953	-0.952
GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	0.522	-2.076	-2.076	0.782	2.855	0.317	-0.285	-0.493	-0.493	0.317	0.318
GOMF_TRANSCRIPTION_COREPRESSOR_ACTIVITY GOMF_TRANSCRIPTION_COREPRESSOR_ACTIVITY	-0.776	-0.776	-1.766	-0.568	-0.776	-0.406	0.322	-1.037	3.228	1.011	2.133
HP_AUTISM HP_AUTISM	-1.481	-2.004	-0.539	-0.539	0.246	0.970	-1.481	0.246	2.614	0.540	1.537
ARID3B_TARGET_GENES ARID3B_TARGET_GENES	-0.514	3.903	-0.514	-0.838	-1.330	-0.514	-0.514	0.301	2.276	-0.838	-0.300
MODULE_76 MODULE_76	-0.521	-1.078	-0.241	1.089	0.684	0.371	1.580	1.089	-1.078	-1.078	-1.077
REACTOME_RHOH_GTPASE_CYCLE REACTOME_RHOH_GTPASE_CYCLE	0.236	-0.870	-0.378	-0.870	-0.378	0.527	-0.870	-0.870	0.236	3.504	0.932
