Module	Section	Sample Name	Source
FastQC	all_sections	hl60_120h_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_120h_t_1_fastqc.zip
FastQC	all_sections	hl60_120h_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_120h_t_2_fastqc.zip
FastQC	all_sections	hl60_120h_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_120h_u_1_fastqc.zip
FastQC	all_sections	hl60_120h_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_120h_u_2_fastqc.zip
FastQC	all_sections	hl60_6h_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_6h_t_1_fastqc.zip
FastQC	all_sections	hl60_6h_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_6h_t_2_fastqc.zip
FastQC	all_sections	hl60_6h_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_6h_u_1_fastqc.zip
FastQC	all_sections	hl60_6h_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_6h_u_2_fastqc.zip
FastQC	all_sections	hl60_72h_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_72h_t_1_fastqc.zip
FastQC	all_sections	hl60_72h_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_72h_t_2_fastqc.zip
FastQC	all_sections	hl60_72h_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_72h_u_1_fastqc.zip
FastQC	all_sections	hl60_72h_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/hl60_72h_u_2_fastqc.zip
FastQC	all_sections	kg1_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/kg1_t_1_fastqc.zip
FastQC	all_sections	kg1_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/kg1_t_2_fastqc.zip
FastQC	all_sections	kg1_t_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/kg1_t_3_fastqc.zip
FastQC	all_sections	kg1_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/kg1_u_1_fastqc.zip
FastQC	all_sections	kg1_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/kg1_u_2_fastqc.zip
FastQC	all_sections	kg1_u_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/kg1_u_3_fastqc.zip
FastQC	all_sections	molm14_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/molm14_t_1_fastqc.zip
FastQC	all_sections	molm14_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/molm14_t_2_fastqc.zip
FastQC	all_sections	molm14_t_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/molm14_t_3_fastqc.zip
FastQC	all_sections	molm14_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/molm14_u_1_fastqc.zip
FastQC	all_sections	molm14_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/molm14_u_2_fastqc.zip
FastQC	all_sections	molm14_u_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/molm14_u_3_fastqc.zip
FastQC	all_sections	ociaml2_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml2_t_1_fastqc.zip
FastQC	all_sections	ociaml2_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml2_t_2_fastqc.zip
FastQC	all_sections	ociaml2_t_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml2_t_3_fastqc.zip
FastQC	all_sections	ociaml2_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml2_u_1_fastqc.zip
FastQC	all_sections	ociaml2_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml2_u_2_fastqc.zip
FastQC	all_sections	ociaml2_u_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml2_u_3_fastqc.zip
FastQC	all_sections	ociaml3_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml3_t_1_fastqc.zip
FastQC	all_sections	ociaml3_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml3_t_2_fastqc.zip
FastQC	all_sections	ociaml3_t_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml3_t_3_fastqc.zip
FastQC	all_sections	ociaml3_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml3_u_1_fastqc.zip
FastQC	all_sections	ociaml3_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml3_u_2_fastqc.zip
FastQC	all_sections	ociaml3_u_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/ociaml3_u_3_fastqc.zip
FastQC	all_sections	thp1_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/thp1_t_1_fastqc.zip
FastQC	all_sections	thp1_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/thp1_t_2_fastqc.zip
FastQC	all_sections	thp1_t_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/thp1_t_3_fastqc.zip
FastQC	all_sections	thp1_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/thp1_u_1_fastqc.zip
FastQC	all_sections	thp1_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/thp1_u_2_fastqc.zip
FastQC	all_sections	thp1_u_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/fastQC/thp1_u_3_fastqc.zip
