Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
hl60_120h_t_1	hl60_120h_t_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36844278.0	0.0	51.0	51.0	29.147115574546707	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	fail	pass
hl60_120h_t_2	hl60_120h_t_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31265557.0	0.0	51.0	49.0	35.48085990263427	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	pass
hl60_120h_u_1	hl60_120h_u_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36906938.0	0.0	51.0	51.0	29.416117024799593	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	fail	pass
hl60_120h_u_2	hl60_120h_u_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41969804.0	0.0	51.0	52.0	27.099463767301696	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	fail	pass
hl60_6h_t_1	hl60_6h_t_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18809321.0	0.0	51.0	47.0	50.75034396494215	51.0	pass	pass	warn	pass	warn	pass	pass	pass	warn	warn	pass
hl60_6h_t_2	hl60_6h_t_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39343503.0	0.0	51.0	48.0	43.45346556534794	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	pass
hl60_6h_u_1	hl60_6h_u_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18076091.0	0.0	51.0	47.0	46.331085827586485	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	pass
hl60_6h_u_2	hl60_6h_u_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24634982.0	0.0	51.0	47.0	45.12640072258305	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	pass
hl60_72h_t_1	hl60_72h_t_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34916821.0	0.0	51.0	50.0	31.904234531777533	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	fail	pass
hl60_72h_t_2	hl60_72h_t_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32774770.0	0.0	51.0	47.0	34.64749052266139	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
hl60_72h_u_1	hl60_72h_u_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31288883.0	0.0	51.0	47.0	45.932385408639625	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	pass
hl60_72h_u_2	hl60_72h_u_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42310686.0	0.0	51.0	48.0	42.44101615588464	51.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	pass
kg1_t_1	kg1_t_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35196796.0	0.0	51.0	54.0	48.03452139319245	51.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
kg1_t_2	kg1_t_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7307251.0	0.0	51.0	58.0	58.51531778606075	51.0	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
kg1_t_3	kg1_t_3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34136365.0	0.0	51.0	53.0	51.16954381897395	51.0	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
