Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
hl60_120h_t_1	70.8528844254533	51.0	51.0	18.181818181818183	36844278.0
hl60_120h_t_2	64.51914009736572	49.0	51.0	9.090909090909092	31265557.0
hl60_120h_u_1	70.58388297520041	51.0	51.0	18.181818181818183	36906938.0
hl60_120h_u_2	72.9005362326983	52.0	51.0	18.181818181818183	41969804.0
hl60_6h_t_1	49.24965603505785	47.0	51.0	0.0	18809321.0
hl60_6h_t_2	56.54653443465206	48.0	51.0	9.090909090909092	39343503.0
hl60_6h_u_1	53.668914172413515	47.0	51.0	9.090909090909092	18076091.0
hl60_6h_u_2	54.87359927741695	47.0	51.0	9.090909090909092	24634982.0
hl60_72h_t_1	68.09576546822247	50.0	51.0	18.181818181818183	34916821.0
hl60_72h_t_2	65.3525094773386	47.0	51.0	27.27272727272727	32774770.0
hl60_72h_u_1	54.067614591360375	47.0	51.0	9.090909090909092	31288883.0
hl60_72h_u_2	57.55898384411536	48.0	51.0	9.090909090909092	42310686.0
kg1_t_1	51.96547860680755	54.0	51.0	27.27272727272727	35196796.0
kg1_t_2	41.48468221393925	58.0	51.0	27.27272727272727	7307251.0
kg1_t_3	48.83045618102605	53.0	51.0	27.27272727272727	34136365.0
kg1_u_1	49.289453555135054	54.0	51.0	18.181818181818183	28749307.0
kg1_u_2	39.14786850150433	58.0	51.0	27.27272727272727	4829179.0
kg1_u_3	48.70018631116574	53.0	51.0	27.27272727272727	49258377.0
molm14_t_1	49.18969506128591	54.0	51.0	18.181818181818183	23226861.0
molm14_t_2	39.436312749186484	58.0	51.0	27.27272727272727	3171259.0
molm14_t_3	48.64125518213343	53.0	51.0	27.27272727272727	24696205.0
molm14_u_1	48.16338180274293	54.0	51.0	18.181818181818183	23717191.0
molm14_u_2	37.47262370549598	57.0	51.0	27.27272727272727	3149980.0
molm14_u_3	47.26671401615127	52.0	51.0	27.27272727272727	26283566.0
ociaml2_t_1	47.88506301429851	53.0	51.0	18.181818181818183	28531790.0
ociaml2_t_2	33.92107468775647	56.0	51.0	27.27272727272727	4467194.0
ociaml2_t_3	50.62437684424256	53.0	51.0	36.36363636363637	46985090.0
ociaml2_u_1	45.355972108616506	53.0	51.0	18.181818181818183	22260887.0
ociaml2_u_2	34.18621813740526	56.0	51.0	27.27272727272727	3165968.0
ociaml2_u_3	47.47251881745538	52.0	51.0	27.27272727272727	32576321.0
ociaml3_t_1	46.241360840638	52.0	51.0	18.181818181818183	39070462.0
ociaml3_t_2	34.27701540888775	56.0	51.0	27.27272727272727	3904528.0
ociaml3_t_3	44.62595492818109	52.0	51.0	27.27272727272727	25552348.0
ociaml3_u_1	38.43784291676084	51.0	51.0	18.181818181818183	20073751.0
ociaml3_u_2	29.91257482819175	54.0	51.0	27.27272727272727	4231450.0
ociaml3_u_3	44.55023668437036	51.0	51.0	27.27272727272727	30337290.0
thp1_t_1	48.08771229855523	53.0	51.0	18.181818181818183	33909446.0
thp1_t_2	34.968582348733406	55.0	51.0	27.27272727272727	7054893.0
thp1_t_3	45.82484406922783	51.0	51.0	27.27272727272727	30134517.0
thp1_u_1	41.79390174717443	51.0	51.0	18.181818181818183	23321778.0
thp1_u_2	31.989441049442433	54.0	51.0	27.27272727272727	3618587.0
thp1_u_3	44.39592297029574	51.0	51.0	27.27272727272727	27489449.0
