GO	[-1.00 -0.98]	[-0.98 -0.88]	[-0.88 -0.78]	[-0.78 -0.64]	[-0.64 -0.48]	[-0.48 -0.19]	[-0.19 0.39]	[0.39 0.72]	[0.72 0.94]	[0.94 1.00]	[1.00 1.00]
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY	-0.800	-0.542	2.055	-0.800	0.396	4.937	-1.618	-0.542	-0.800	0.253	-0.792
GOMF_SULFOTRANSFERASE_ACTIVITY GOMF_SULFOTRANSFERASE_ACTIVITY	0.706	-0.273	-0.705	3.366	-0.705	0.331	-0.705	-0.705	-0.705	1.207	-0.702
GOBP_VESICLE_CARGO_LOADING GOBP_VESICLE_CARGO_LOADING	-0.705	-0.705	-0.705	-0.273	0.706	-0.705	-0.705	1.823	2.544	0.331	-0.702
GOBP_REGULATION_OF_MYELINATION GOBP_REGULATION_OF_MYELINATION	3.366	-0.273	-0.705	1.823	-0.273	0.331	-0.705	-0.273	-0.705	-0.705	-0.702
GOMF_TUMOR_NECROSIS_FACTOR_RECEPTOR_SUPERFAMILY_BINDING GOMF_TUMOR_NECROSIS_FACTOR_RECEPTOR_SUPERFAMILY_BINDING	-0.492	0.398	-1.037	1.661	1.661	-1.037	-1.037	1.150	-1.037	-0.492	0.400
GOCC_SNARE_COMPLEX GOCC_SNARE_COMPLEX	-1.037	-1.037	-1.037	-0.492	-1.037	0.398	2.922	0.398	0.398	1.150	-0.220
GOMF_CARBON_CARBON_LYASE_ACTIVITY GOMF_CARBON_CARBON_LYASE_ACTIVITY	-0.241	-0.521	0.371	-0.241	-1.078	-1.078	2.151	2.797	-0.241	-0.521	-1.074
HP_SMOOTH_PHILTRUM HP_SMOOTH_PHILTRUM	2.376	1.336	0.596	-0.326	0.277	-1.397	-1.397	-0.326	-2.594	1.055	-0.485
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	0.235	-0.871	-0.378	0.527	2.730	-0.871	-0.378	1.437	0.235	-0.871	-0.867
GOMF_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE GOMF_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE	3.561	0.762	-0.248	-0.663	-0.663	-0.663	0.362	0.362	-0.663	-0.248	-0.660
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-0.364	-0.364	-0.890	-0.890	-0.674	0.350	2.035	1.742	1.742	-0.674	-2.304
GOMF_CYCLOSPORIN_A_BINDING GOMF_CYCLOSPORIN_A_BINDING	-0.373	-0.373	-0.373	3.247	-0.373	-0.373	-0.373	-0.373	0.239	-0.373	1.387
GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	-0.414	4.073	-0.414	0.211	-0.414	0.640	-0.414	-0.414	0.211	-0.414	-0.413
GOBP_REGULATION_OF_ANOIKIS GOBP_REGULATION_OF_ANOIKIS	0.396	-0.622	2.070	-0.223	-0.223	2.070	-0.622	-0.622	-0.223	-0.622	-0.619
GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS	-0.705	1.823	-0.273	-0.273	-0.705	-0.273	0.331	-0.705	-0.273	-0.705	2.554
HP_AUTOIMMUNE_HEMOLYTIC_ANEMIA HP_AUTOIMMUNE_HEMOLYTIC_ANEMIA	-0.539	-0.539	0.476	0.476	-0.177	0.476	-0.539	3.265	-0.539	-0.539	-0.536
GOBP_NADH_METABOLIC_PROCESS GOBP_NADH_METABOLIC_PROCESS	-0.663	0.362	-0.248	-0.248	-0.663	-0.663	3.561	0.762	-0.248	-0.663	-0.246
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY	0.211	-0.414	0.211	-0.414	0.211	-0.414	-0.414	4.073	-0.414	0.211	-0.413
GOBP_REGULATION_OF_STEM_CELL_PROLIFERATION GOBP_REGULATION_OF_STEM_CELL_PROLIFERATION	2.549	-0.497	-0.497	-0.497	0.524	1.052	-0.497	-0.497	0.166	-0.497	0.167
GOMF_WNT_PROTEIN_BINDING GOMF_WNT_PROTEIN_BINDING	-0.331	-0.331	0.273	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	2.453	1.533
GOBP_FOREBRAIN_NEURON_DEVELOPMENT GOBP_FOREBRAIN_NEURON_DEVELOPMENT	-0.373	-0.373	0.239	-0.373	0.239	3.247	-0.373	0.712	-0.373	-0.373	-0.371
HP_SQUARE_FACE HP_SQUARE_FACE	0.273	-0.331	0.273	-0.331	0.273	-0.331	-0.331	-0.331	-0.331	-0.331	3.574
GOBP_POSITIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY GOBP_POSITIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.249	1.014	-0.249	3.057	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	-0.247
