GO	[-0.69 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.03]	[-0.03 -0.01]	[-0.01 0.00]	[0.00 0.02]	[0.02 0.03]	[0.03 0.05]	[0.05 0.09]	[0.09 0.97]
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	-2.101	-3.824	-0.834	-0.589	-1.565	-1.153	-0.589	0.890	-0.404	0.890	13.424
REACTOME_HATS_ACETYLATE_HISTONES REACTOME_HATS_ACETYLATE_HISTONES	1.595	0.713	-0.438	-1.426	-0.987	-0.438	-1.426	-0.987	-0.276	-1.426	6.799
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	-0.958	-1.659	-0.549	-0.549	-0.958	0.302	-0.300	-0.549	0.302	0.527	6.829
REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER	4.654	-0.255	0.520	-1.227	-0.397	-2.366	-1.227	-0.596	1.559	-0.866	0.521
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	-1.326	-0.702	-1.326	0.247	-1.326	0.480	-1.326	0.794	2.179	0.480	1.650
WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	-0.746	1.129	0.304	-0.746	-0.746	-0.746	-0.746	0.655	-0.746	-0.298	4.064
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	-2.449	1.794	0.785	1.076	-0.692	0.785	-0.260	0.541	-0.260	-0.692	-2.446
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.339	1.519	-0.615	0.702	0.339	-3.365	-0.266	2.642	-1.254	-0.412	-0.613
WP_APOPTOSIS_MODULATION_BY_HSP70 WP_APOPTOSIS_MODULATION_BY_HSP70	-0.787	-0.324	-0.787	1.057	1.057	-0.787	1.057	-0.787	-0.324	1.614	-0.786
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.870	0.236	0.236	-0.378	-0.870	0.236	0.236	0.930	-0.870	-0.870	3.504
PID_HEDGEHOG_2PATHWAY PID_HEDGEHOG_2PATHWAY	-0.870	-0.870	-0.870	-0.378	0.930	0.527	-0.378	-0.378	2.038	1.437	-0.869
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE	0.279	-0.787	-0.787	3.021	-0.787	-0.324	-0.324	-0.324	-0.787	1.057	0.609
REACTOME_SYNTHESIS_OF_PG REACTOME_SYNTHESIS_OF_PG	0.273	0.795	3.564	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	-0.414	-0.414	0.640	-0.414	-0.414	-0.414	-0.414	0.211	0.640	-0.414	2.980
