Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
120h_DMSO_rep1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	34414	0	105884	False	['range_factorized', 'gzipped']	[1051, 1861, 2652, 3952, 37567]	c29f71d3e77c82562a33c8c1dd3c263368345930ce9b83023bf81fc8eb8f76f5	6d7d5d67bdbd3437b09b8ffe8ad0935a65c9fffee8b2df3aaed45386d519097f	1cb0e572ff6120022f114069844c900b29a67bff8bc36e7e0eccc9a12d52a7aaa610ad1f29014b06c4c657627f4b3b2c77d715b83112c72441e1e9756e8f2128	5c29fb05d8832eb214bb404b952f3fd0bab9e3c98bea51034d768b0d13f682b9fa9b8a896a317d52434b37f5210c6f208d16b81bc87a2839e32fb5b2d54b0001	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	36906938	7072408	0	0	212455	14543284	19.162814319627383	quant	Thu May 14 20:29:28 2020	Thu May 14 20:30:16 2020
120h_DMSO_rep2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	34414	0	101684	False	['range_factorized', 'gzipped']	[1051, 1861, 2652, 3952, 37567]	c29f71d3e77c82562a33c8c1dd3c263368345930ce9b83023bf81fc8eb8f76f5	6d7d5d67bdbd3437b09b8ffe8ad0935a65c9fffee8b2df3aaed45386d519097f	1cb0e572ff6120022f114069844c900b29a67bff8bc36e7e0eccc9a12d52a7aaa610ad1f29014b06c4c657627f4b3b2c77d715b83112c72441e1e9756e8f2128	5c29fb05d8832eb214bb404b952f3fd0bab9e3c98bea51034d768b0d13f682b9fa9b8a896a317d52434b37f5210c6f208d16b81bc87a2839e32fb5b2d54b0001	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	41969804	7131788	0	0	212505	16055482	16.99266453567427	quant	Thu May 14 20:30:17 2020	Thu May 14 20:31:11 2020
120h_treated_rep1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	34414	0	116763	False	['range_factorized', 'gzipped']	[1051, 1861, 2652, 3952, 37567]	c29f71d3e77c82562a33c8c1dd3c263368345930ce9b83023bf81fc8eb8f76f5	6d7d5d67bdbd3437b09b8ffe8ad0935a65c9fffee8b2df3aaed45386d519097f	1cb0e572ff6120022f114069844c900b29a67bff8bc36e7e0eccc9a12d52a7aaa610ad1f29014b06c4c657627f4b3b2c77d715b83112c72441e1e9756e8f2128	5c29fb05d8832eb214bb404b952f3fd0bab9e3c98bea51034d768b0d13f682b9fa9b8a896a317d52434b37f5210c6f208d16b81bc87a2839e32fb5b2d54b0001	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	36844278	7537206	0	0	171417	17161346	20.456924138939566	quant	Thu May 14 20:31:11 2020	Thu May 14 20:32:09 2020
120h_treated_rep2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	34414	0	118484	False	['range_factorized', 'gzipped']	[1051, 1861, 2652, 3952, 37567]	c29f71d3e77c82562a33c8c1dd3c263368345930ce9b83023bf81fc8eb8f76f5	6d7d5d67bdbd3437b09b8ffe8ad0935a65c9fffee8b2df3aaed45386d519097f	1cb0e572ff6120022f114069844c900b29a67bff8bc36e7e0eccc9a12d52a7aaa610ad1f29014b06c4c657627f4b3b2c77d715b83112c72441e1e9756e8f2128	5c29fb05d8832eb214bb404b952f3fd0bab9e3c98bea51034d768b0d13f682b9fa9b8a896a317d52434b37f5210c6f208d16b81bc87a2839e32fb5b2d54b0001	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	31265557	7905052	0	0	179803	18096212	25.28357962725564	quant	Thu May 14 20:32:10 2020	Thu May 14 20:33:00 2020
6h_DMSO_rep1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	34414	0	90672	False	['range_factorized', 'gzipped']	[1051, 1861, 2652, 3952, 37567]	c29f71d3e77c82562a33c8c1dd3c263368345930ce9b83023bf81fc8eb8f76f5	6d7d5d67bdbd3437b09b8ffe8ad0935a65c9fffee8b2df3aaed45386d519097f	1cb0e572ff6120022f114069844c900b29a67bff8bc36e7e0eccc9a12d52a7aaa610ad1f29014b06c4c657627f4b3b2c77d715b83112c72441e1e9756e8f2128	5c29fb05d8832eb214bb404b952f3fd0bab9e3c98bea51034d768b0d13f682b9fa9b8a896a317d52434b37f5210c6f208d16b81bc87a2839e32fb5b2d54b0001	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	18076091	6142251	0	0	163955	12504943	33.979973878201875	quant	Thu May 14 20:33:01 2020	Thu May 14 20:33:31 2020
6h_DMSO_rep2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	34414	0	116353	False	['range_factorized', 'gzipped']	[1051, 1861, 2652, 3952, 37567]	c29f71d3e77c82562a33c8c1dd3c263368345930ce9b83023bf81fc8eb8f76f5	6d7d5d67bdbd3437b09b8ffe8ad0935a65c9fffee8b2df3aaed45386d519097f	1cb0e572ff6120022f114069844c900b29a67bff8bc36e7e0eccc9a12d52a7aaa610ad1f29014b06c4c657627f4b3b2c77d715b83112c72441e1e9756e8f2128	5c29fb05d8832eb214bb404b952f3fd0bab9e3c98bea51034d768b0d13f682b9fa9b8a896a317d52434b37f5210c6f208d16b81bc87a2839e32fb5b2d54b0001	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	24634982	8461334	0	0	206205	18775038	34.3468243654491	quant	Thu May 14 20:33:32 2020	Thu May 14 20:34:10 2020
6h_treated_rep1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	34414	0	100321	False	['range_factorized', 'gzipped']	[1051, 1861, 2652, 3952, 37567]	c29f71d3e77c82562a33c8c1dd3c263368345930ce9b83023bf81fc8eb8f76f5	6d7d5d67bdbd3437b09b8ffe8ad0935a65c9fffee8b2df3aaed45386d519097f	1cb0e572ff6120022f114069844c900b29a67bff8bc36e7e0eccc9a12d52a7aaa610ad1f29014b06c4c657627f4b3b2c77d715b83112c72441e1e9756e8f2128	5c29fb05d8832eb214bb404b952f3fd0bab9e3c98bea51034d768b0d13f682b9fa9b8a896a317d52434b37f5210c6f208d16b81bc87a2839e32fb5b2d54b0001	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	18809321	6847224	0	0	160001	16459254	36.403355549091856	quant	Thu May 14 20:34:12 2020	Thu May 14 20:34:45 2020
6h_treated_rep2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	34414	0	148516	False	['range_factorized', 'gzipped']	[1051, 1861, 2652, 3952, 37567]	c29f71d3e77c82562a33c8c1dd3c263368345930ce9b83023bf81fc8eb8f76f5	6d7d5d67bdbd3437b09b8ffe8ad0935a65c9fffee8b2df3aaed45386d519097f	1cb0e572ff6120022f114069844c900b29a67bff8bc36e7e0eccc9a12d52a7aaa610ad1f29014b06c4c657627f4b3b2c77d715b83112c72441e1e9756e8f2128	5c29fb05d8832eb214bb404b952f3fd0bab9e3c98bea51034d768b0d13f682b9fa9b8a896a317d52434b37f5210c6f208d16b81bc87a2839e32fb5b2d54b0001	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	39343503	14225127	0	0	341263	32754444	36.15622889502239	quant	Thu May 14 20:34:46 2020	Thu May 14 20:35:49 2020
72h_DMSO_rep1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	34414	0	135039	False	['range_factorized', 'gzipped']	[1051, 1861, 2652, 3952, 37567]	c29f71d3e77c82562a33c8c1dd3c263368345930ce9b83023bf81fc8eb8f76f5	6d7d5d67bdbd3437b09b8ffe8ad0935a65c9fffee8b2df3aaed45386d519097f	1cb0e572ff6120022f114069844c900b29a67bff8bc36e7e0eccc9a12d52a7aaa610ad1f29014b06c4c657627f4b3b2c77d715b83112c72441e1e9756e8f2128	5c29fb05d8832eb214bb404b952f3fd0bab9e3c98bea51034d768b0d13f682b9fa9b8a896a317d52434b37f5210c6f208d16b81bc87a2839e32fb5b2d54b0001	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	31288883	11342282	0	0	262005	26712937	36.25019787379434	quant	Thu May 14 20:35:51 2020	Thu May 14 20:36:37 2020
72h_DMSO_rep2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	34414	0	160647	False	['range_factorized', 'gzipped']	[1051, 1861, 2652, 3952, 37567]	c29f71d3e77c82562a33c8c1dd3c263368345930ce9b83023bf81fc8eb8f76f5	6d7d5d67bdbd3437b09b8ffe8ad0935a65c9fffee8b2df3aaed45386d519097f	1cb0e572ff6120022f114069844c900b29a67bff8bc36e7e0eccc9a12d52a7aaa610ad1f29014b06c4c657627f4b3b2c77d715b83112c72441e1e9756e8f2128	5c29fb05d8832eb214bb404b952f3fd0bab9e3c98bea51034d768b0d13f682b9fa9b8a896a317d52434b37f5210c6f208d16b81bc87a2839e32fb5b2d54b0001	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	42310686	15014951	0	0	328061	34828126	35.48737309529796	quant	Thu May 14 20:36:38 2020	Thu May 14 20:37:41 2020
