Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
120h_DMSO_rep1	19.162814319627383	7072408
120h_DMSO_rep2	16.99266453567427	7131788
120h_treated_rep1	20.456924138939566	7537206
120h_treated_rep2	25.28357962725564	7905052
6h_DMSO_rep1	33.979973878201875	6142251
6h_DMSO_rep2	34.3468243654491	8461334
6h_treated_rep1	36.403355549091856	6847224
6h_treated_rep2	36.15622889502239	14225127
72h_DMSO_rep1	36.25019787379434	11342282
72h_DMSO_rep2	35.48737309529796	15014951
72h_treated_rep1	23.359102479575675	8156256
72h_treated_rep2	27.73437311688228	9089877
