GO	[-6.33 -1.18]	[-1.18 -0.33]	[-0.33 0.42]	[0.42 0.87]	[0.87 1.26]	[1.26 1.60]	[1.60 1.96]	[1.96 2.37]	[2.37 3.11]	[3.11 4.20]	[4.20 6.64]
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	1.837	2.476	-0.954	-0.954	-0.954	-0.434	1.284	0.199	-0.954	-0.434	-0.432
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	2.214	2.214	-0.580	-0.580	-0.580	-0.199	0.892	-0.580	-0.580	-0.580	-0.578
GOCC_FICOLIN_1_RICH_GRANULE_LUMEN GOCC_FICOLIN_1_RICH_GRANULE_LUMEN	-1.969	1.688	1.688	0.539	-0.252	0.765	0.357	-0.252	-0.938	-0.406	-2.861
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	0.396	2.869	2.071	-0.223	-0.622	-0.622	-0.223	-0.622	-0.622	-0.622	-0.620
GOCC_FICOLIN_1_RICH_GRANULE GOCC_FICOLIN_1_RICH_GRANULE	-0.698	2.942	1.829	0.268	0.268	0.398	0.398	-0.698	-1.309	-0.336	-3.034
GOBP_TRANSLATIONAL_ELONGATION GOBP_TRANSLATIONAL_ELONGATION	0.891	1.426	-0.268	1.426	0.673	-2.106	0.488	0.336	-2.106	-2.106	-0.266
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	0.680	-1.452	-0.219	0.680	1.452	-1.452	-0.219	0.403	-0.798	1.452	-1.448
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	1.135	1.832	-0.359	0.604	0.848	-1.860	0.405	0.604	-1.860	-1.860	-0.563
GOBP_MUSCLE_CELL_MIGRATION GOBP_MUSCLE_CELL_MIGRATION	-0.672	-0.672	-0.672	-0.342	-0.672	-0.672	2.271	-0.342	-1.286	2.271	1.248
GOBP_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY GOBP_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	-0.298	1.715	-0.746	0.655	2.403	-0.746	-0.298	-0.746	-0.746	0.304	-0.744
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS	1.580	0.754	-0.734	-0.734	0.231	-1.369	1.580	1.132	-0.385	-1.369	-0.731
GOBP_REGULATION_OF_CELL_KILLING GOBP_REGULATION_OF_CELL_KILLING	1.303	1.799	-1.245	-1.245	0.282	0.282	1.303	-0.321	-1.245	-0.321	-0.638
GOBP_SMOOTH_MUSCLE_CELL_MIGRATION GOBP_SMOOTH_MUSCLE_CELL_MIGRATION	-0.434	-0.954	-0.954	-0.434	-0.434	-0.434	2.476	0.199	-0.954	1.837	0.824
GOCC_OXIDOREDUCTASE_COMPLEX GOCC_OXIDOREDUCTASE_COMPLEX	2.150	0.555	0.320	-0.283	0.555	-0.927	0.555	0.859	-1.619	-1.619	-0.923
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	1.715	1.715	-0.746	-0.746	-0.298	-0.298	1.129	0.304	-0.746	-0.746	-0.744
GOCC_RESPIRATORY_CHAIN_COMPLEX GOCC_RESPIRATORY_CHAIN_COMPLEX	3.505	0.235	0.235	-0.871	0.235	-0.871	0.235	0.930	-0.871	-0.871	-0.377
GOMF_DISULFIDE_OXIDOREDUCTASE_ACTIVITY GOMF_DISULFIDE_OXIDOREDUCTASE_ACTIVITY	2.599	0.217	-0.406	-0.912	0.490	-0.912	0.874	0.874	-0.406	-0.912	-0.909
GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	-1.286	0.836	-0.342	2.271	0.509	-0.672	0.264	-1.286	0.836	0.264	-1.282
GOCC_ENDOPEPTIDASE_COMPLEX GOCC_ENDOPEPTIDASE_COMPLEX	0.836	0.836	-0.672	0.836	0.264	0.836	-0.672	1.243	-1.286	-1.286	-1.282
GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS	1.139	-0.472	0.334	1.516	1.139	-2.035	-0.784	0.546	-1.262	0.546	-1.257
GOMF_BETA_TUBULIN_BINDING GOMF_BETA_TUBULIN_BINDING	1.715	-0.746	0.304	2.403	-0.746	-0.746	-0.298	0.304	-0.746	0.304	-0.744
GOCC_TERTIARY_GRANULE_LUMEN GOCC_TERTIARY_GRANULE_LUMEN	-1.037	1.661	0.727	-0.222	1.150	0.398	-1.037	0.727	-1.037	-0.492	-1.034
GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.351	0.571	0.571	-0.452	-1.994	-0.256	3.026	-0.757	0.849	-1.228	-0.753
GOCC_PEPTIDASE_COMPLEX GOCC_PEPTIDASE_COMPLEX	0.453	1.041	-0.625	0.716	0.253	1.426	-0.625	1.041	-1.785	-1.785	-0.622
GOBP_MEIOTIC_CELL_CYCLE_PROCESS GOBP_MEIOTIC_CELL_CYCLE_PROCESS	1.687	-0.355	0.396	1.058	0.578	-3.204	-0.800	0.578	-0.800	0.578	-0.795
GOBP_DORSAL_VENTRAL_PATTERN_FORMATION GOBP_DORSAL_VENTRAL_PATTERN_FORMATION	-0.298	0.655	-0.746	0.304	1.715	-0.746	-0.746	0.304	-0.746	1.715	-0.744
GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING	-0.176	-0.176	-0.539	-0.539	-0.539	3.265	-0.539	-0.539	-0.539	0.476	0.970
GOCC_PHOTORECEPTOR_OUTER_SEGMENT GOCC_PHOTORECEPTOR_OUTER_SEGMENT	3.023	-0.788	-0.324	-0.324	0.609	0.609	-0.324	-0.788	0.609	-0.788	-0.785
GOBP_PROTEIN_ACETYLATION GOBP_PROTEIN_ACETYLATION	-3.317	-0.568	-0.568	-0.568	0.580	-0.413	-0.292	2.304	-0.568	1.419	0.758
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM	-0.273	3.366	-0.273	-0.705	-0.273	-0.705	-0.705	0.706	-0.705	0.706	-0.271
GOMF_CULLIN_FAMILY_PROTEIN_BINDING GOMF_CULLIN_FAMILY_PROTEIN_BINDING	0.706	0.706	-0.705	-0.705	-0.705	-0.273	-0.705	1.823	1.207	-0.705	-0.271
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	-0.199	-0.580	-0.199	2.214	-0.580	-0.199	2.214	-0.580	-0.580	-0.580	-0.198
