gene_name	hl60_120h_log2FC	hl60_120h_pvalue	hl60_72h_log2FC	hl60_72h_pvalue	hl60_6h_log2FC	hl60_6h_pvalue	kg1_log2FC	kg1_pvalue	molm14_log2FC	molm14_pvalue	ociaml2_log2FC	ociaml2_pvalue	ociaml3_log2FC	ociaml3_pvalue	thp1_log2FC	thp1_pvalue
ENSG00000000419	DPM1	0.23045125883157	0.182769009447112	-0.216799307680734	0.667547824574455	0.123733678679033	0.174034002504219	-0.49925151685666	0.121119714347079	1.85033480072331	0.00428941769420682	-0.0836727630778976	0.554806017944653	0.555275999237791	0.0836484628660075	-0.17260762728012	0.703636798899063
ENSG00000000457	SCYL3	-0.0573479410065896	0.548107662961038	-0.11578589774927	0.333482035955338	0.0854060628457278	0.328691747448218	-0.0355691597074556	0.727494176945948	0.0414865786004146	0.73808121811116	0.246699675083627	0.121400117588846	-0.039564325230976	0.708258190340362	-0.169299011509732	0.367282689367957
ENSG00000000460	C1orf112	-0.121527290110484	0.149805733804759	-0.0613150291715428	0.581337474632822	-0.0547804982444103	0.425420160911213	-0.087545795613697	0.743467679251445	-0.228850835335541	0.301478724766424	-0.0239393608781188	0.825578465268937	0.0125928249930515	0.925056914706233	0.0583930635543186	0.496110410367059
ENSG00000001167	NFYA	-1.04735875814448	0.00130608903743114	-2.10803840766767	0.176975964728606	0.122341018642755	0.288801993751739	-0.240213731587563	0.245705826652308	-0.183073206126852	0.260397379333988	-0.0637937161848058	0.614328520837741	-0.176556551718475	0.232625321516114	-0.083406233497276	0.499186563025183
ENSG00000001629	ANKIB1	0.111782526779801	0.234218270379876	-0.0869309164067937	0.548192624664808	-0.0293408494680528	0.721560594033153	0.0840056863688352	0.26943457210841	-0.0469627080538533	0.815055808553512	-0.0774216723523473	0.409844610218472	0.17108332347689	0.186247986690038	-0.0521410474145012	0.671731268481435
ENSG00000001631	KRIT1	0.172240693600087	0.0476573210495131	0.241740557972211	0.0895911721376042	-0.169259818260291	0.0661183751180663	0.00410081298155671	0.974875065589967	0.151619316434379	0.306473987205791	-0.0164614338043041	0.931884672941137	0.154412557745777	0.178352817141016	0.0274837652887841	0.882750158835879
ENSG00000002834	LASP1	0.0570723842904305	0.569684210707956	0.0304923148610466	0.823205430615355	-0.0755725889674053	0.376658213873946	0.0113562816271209	0.917302342448845	0.233147992669066	0.0514516845810002	0.224357069396854	0.0948913458840347	-0.0688760143307384	0.477514403425362	-0.092075021383676	0.441644159524078
ENSG00000003056	M6PR	0.0318774784867799	0.810365730611095	-0.23503086690573	0.248037167488712	-0.101408436167867	0.552524756154095	-0.105044612910445	0.482752725967029	0.0436995604204144	0.719145873932391	-0.119021652889701	0.280784683127566	-0.327931689676514	0.0178577270992012	-0.11557375294265	0.398101629353848
ENSG00000003756	RBM5	0.232099999756015	0.0921444769132181	0.441555868466425	0.0412024606473235	0.088779901236137	0.470314235983717	0.187306149138012	0.105677835004539	-0.193451669715193	0.15857291386953	-0.0957419132606768	0.541826402862405	0.00445935743403629	0.981474167623624	-0.0538944533578038	0.733669108938749
ENSG00000004399	PLXND1	-0.374180433537238	0.0112833152678705	-0.526450434904993	0.105657078870265	-0.0174018711883867	0.791338804723793	NA	NA	0.204460326999809	0.0427141473418128	0.329725412422234	0.114828203120896	0.773229117931321	0.0399483761714019	0.194348167600774	0.134577488770632
