line	dec_dose	0.01	0.039	0.156	0.625	2.5
HL-60	0.5	0.006	0.015	0.026	0.047	-0.002
HL-60	0.167	-0.003	0.005	0.032	0.040	-0.012
HL-60	0.056	0.028	0.065	0.102	0.111	0.037
HL-60	0.019	0.054	0.121	0.123	0.143	0.081
HL-60	0.006	0.031	0.048	0.061	0.108	0.010
HL-60	0.002	0.046	-0.002	0.038	0.106	0.013
KG-1	0.5	0.007	0.010	0.009	-0.004	-0.015
KG-1	0.167	0.008	0.008	0.024	-0.016	-0.026
KG-1	0.056	0.032	0.022	0.043	-0.014	-0.029
KG-1	0.019	0.055	0.056	0.095	0.030	-0.008
KG-1	0.006	0.050	0.088	0.140	0.096	0.023
KG-1	0.002	0.039	0.090	0.178	0.106	0.044
OCI-AML2	0.5	0.001	0.003	0.005	0.003	0.000
OCI-AML2	0.167	0.000	0.008	0.019	0.012	0.000
OCI-AML2	0.056	-0.002	0.021	0.059	0.040	0.002
OCI-AML2	0.019	0.000	0.036	0.098	0.093	0.005
OCI-AML2	0.006	-0.035	0.015	0.064	0.053	0.005
OCI-AML2	0.002	-0.030	-0.004	0.058	0.047	0.002
OCI-AML3	0.5	0.015	0.009	0.021	0.019	0.004
OCI-AML3	0.167	0.027	0.037	0.051	0.060	0.019
OCI-AML3	0.056	-0.004	-0.009	0.002	0.018	-0.003
OCI-AML3	0.019	0.088	0.024	0.028	0.019	-0.020
OCI-AML3	0.006	0.045	0.022	0.043	-0.002	-0.009
OCI-AML3	0.002	0.054	0.002	0.053	0.018	-0.008
MOLM-14	0.5	0.000	0.000	-0.001	-0.004	-0.002
MOLM-14	0.167	-0.001	0.001	-0.002	-0.003	-0.001
MOLM-14	0.056	0.004	0.004	-0.001	-0.002	-0.001
MOLM-14	0.019	0.032	0.024	0.009	-0.003	-0.001
MOLM-14	0.006	0.058	0.018	0.009	-0.005	-0.001
MOLM-14	0.002	0.049	0.026	-0.027	-0.011	-0.002
THP-1	0.5	0.004	0.004	0.002	-0.032	-0.072
THP-1	0.167	0.031	0.025	0.006	-0.056	-0.065
THP-1	0.056	0.046	0.020	0.001	-0.029	-0.016
THP-1	0.019	0.046	0.040	-0.005	0.028	-0.016
THP-1	0.006	0.054	-0.007	-0.019	-0.067	-0.063
THP-1	0.002	0.090	0.051	0.034	0.001	-0.006
Kasumi-1	0.5	0.008	0.003	0.006	0.003	-0.012
Kasumi-1	0.167	0.007	0.003	0.009	0.003	-0.011
Kasumi-1	0.056	0.004	0.002	0.007	0.003	-0.018
Kasumi-1	0.019	0.051	0.049	-0.010	-0.008	-0.024
Kasumi-1	0.006	0.040	0.026	0.018	0.003	-0.057
Kasumi-1	0.002	0.156	0.159	0.065	0.089	-0.043
