[CCTGTGA_MIR513,CCTGTGA_MIR513] was killed by [MIR1911_3P,MIR1911_3P]
[GGCNKCCATNK_UNKNOWN,GGCNKCCATNK_UNKNOWN] was killed by [KCCGNSWTTT_UNKNOWN,KCCGNSWTTT_UNKNOWN]
[ZNF354B_TARGET_GENES,ZNF354B_TARGET_GENES] was killed by [CAVIN1_TARGET_GENES,CAVIN1_TARGET_GENES]
[MIR550A_3_5P_MIR550A_5P,MIR550A_3_5P_MIR550A_5P] was killed by [MIR1271_3P,MIR1271_3P]
[MIR6799_3P,MIR6799_3P] was killed by [MIR1271_3P,MIR1271_3P]
[MIR3173_5P,MIR3173_5P] was killed by [MIR1271_3P,MIR1271_3P]
[MIR4784,MIR4784] was killed by [MIR603,MIR603]
[MIR3150B_3P,MIR3150B_3P] was killed by [MIR603,MIR603]
[MIR10A_3P,MIR10A_3P] was killed by [MIR3149,MIR3149]
[FOXQ1_TARGET_GENES,FOXQ1_TARGET_GENES] was killed by [KCCGNSWTTT_UNKNOWN,KCCGNSWTTT_UNKNOWN]
[MIR339_5P,MIR339_5P] was killed by [MIR371B_3P,MIR371B_3P]
[MIR6871_3P,MIR6871_3P] was killed by [MIR603,MIR603]
[MIR550A_3P,MIR550A_3P] was killed by [MIR6864_5P,MIR6864_5P]
[MIR1248,MIR1248] was killed by [MIR3149,MIR3149]
[MIR631,MIR631] was killed by [MIR603,MIR603]
[TFCP2_TARGET_GENES,TFCP2_TARGET_GENES] was killed by [KCCGNSWTTT_UNKNOWN,KCCGNSWTTT_UNKNOWN]
[AATGGAG_MIR136,AATGGAG_MIR136] was killed by [KCCGNSWTTT_UNKNOWN,KCCGNSWTTT_UNKNOWN]
[MIR4529_3P,MIR4529_3P] was killed by [MIR603,MIR603]
