gene_name	CpG
SMYD5	5.705977901682522
H3-2	5.185866545311334
MYCBP	5.2890967024199895
ARMH1	4.399171093819823
ASB17	5.551516017628014
CHAC2	3.807354922057604
EBNA1BP2	7.011227255423254
S100A8	5.71699089440494
IVNS1ABP	5.894817763307944
MAP3K19	4.224966365000275
CAPN14	4.336283387864432
TEX35	3.7548875021634687
PRRC2C	6.087462841250339
RSC1A1	3.944858445807539
DCTN1	5.087462841250339
RAB6D	5.462706750670158
CSRP1	2.851998837112446
DHRS3	5.526694845541976
GPR3	4.882643049361842
SLC39A1	2.5533605033353277
AGBL4	5.705977901682522
FOSL2	4.112700132749362
RGS4	5.993221467368938
KIF2C	3.6667565918848033
SLC25A24	4.185866545311334
STIL	4.802193216941825
RAP1A	4.405992359675837
MDH1B	4.2630344058337934
TMEM17	5.409390936137702
LPGAT1	3.8579809951275723
FLACC1	6.807354922057604
C1orf194	4.070389327891398
OR2L3	5.087462841250339
CAP1	1.4436066514756147
DNAJC8	3.786596361890807
AC017083.3	6.029011086659068
PRAMEF14	4.053111336459563
KCND3	4.087462841250339
CD164L2	4.529820946528695
P3R3URF	2.8298495598446904
CYS1	4.705977901682522
BOLL	7.451211111832329
ORMDL1	5.672425341971495
RABL2A	2.8639384504239715
DNALI1	4.405992359675837
CTXND2	5.865423978313134
OR2T6	5.4886435398537845
CD8B2	1.9855004303048849
OR10X1	4.862947248020921
LAMTOR2	5.281698250098829
NPHP4	5.292781749227846
GNG4	2.344828496997441
SH2D6	5.419538891513785
NUF2	4.602884408718419
KCNK2	2.8972404255747994
RD3	2.3950627995175777
TLK1	2.9891390073682333
CAMKMT	4.095924419998536
ANGPTL1	3.9818526532897405
ANKRD36C	5.392317422778761
EPB41L5	3.1858665453113337
OR2L13	5.368069876532083
ANTXR1	5.255500733148386
SH2D1B	7.076815597050831
DIRAS3	4.620586410451877
IL36B	4.7865963618908065
FANCL	2.8298495598446904
COP1	4.902073579310743
CALM2	5.112700132749362
TTC4	4.655351828612554
MINDY1	3.6667565918848033
RPIA	3.350497247084133
FBXO11	4.862947248020921
ECM1	2.7570232465074596
FAM72B	5.661065479806948
LENEP	5.145677455195635
KDM1A	5.232660756790275
NUP210L	4.9818526532897405
CELF3	4.035623909730721
KCTD3	5.584962500721156
TSPYL6	4.578938713093386
SNRPG	5.940166750482817
ATAD3B	6.78135971352466
MALL	3.3362833878644325
DCAF17	4.300123724569014
CERKL	1.411426245726465
MYBPH	5.402585758232587
TSEN15	3.944858445807539
PRAMEF17	2.3757345385831563
FEZ2	5.318316841334983
CTSK	4.672425341971495
MMACHC	3.572889668420581
S100A1	5.321928094887363
MR1	6.4886435398537845
FBXO42	5.82273014794452
EVA1A	8.379378367071261
HS2ST1	4.862947248020921
SLC5A7	1.15704371014558
TEX50	5.88508622529017
COL9A2	3.689299160535892
AMPD1	5.539158811108031
CHRNA1	5.92362461136832
EFR3B	5.526694845541976
HNRNPCL3	3.560714954474479
SYCP1	4.277984747299765
KNCN	6.015693807105145
KCNA2	7.348728154231077
COL5A2	4.321928094887363
ASXL2	5.809928865721431
LGR6	6.161887682376894
MASP2	4.078951341394822
TENT5C	4.578938713093386
HAPLN2	3.249445341085839
AGT	2.643856189774725
TNNT2	5.6293566200796095
SZT2	3.215678596607928
AXDND1	5.705977901682522
INSRR	6.469234793667656
C1orf52	3.145677455195635
CD302	4.5668151540108965
PDPN	3.8972404255747994
RFX5	5.993221467368938
MAP1LC3C	6.583458910130768
C2orf73	4.921245888585589
ZNF804A	3.298658315564515
OR2M3	5.77082904603249
ABCD3	4.364572432295856
ACVR2A	3.3362833878644325
INO80B	7.977279923499917
ERRFI1	5.6865005271832185
C1orf94	6.894817763307944
EPAS1	4.087462841250339
CEP68	7.426264754702098
LCLAT1	7.400879436282184
AL451136.1	3.016139702655253
NADK	4.5668151540108965
PGAP1	4.602884408718419
FNDC5	3.0772429989324603
HLX	4.892391025913404
OR2G3	4.277984747299765
ETNK2	6.714245517666122
PEX19	3.4195388915137843
AKIRIN1	5.2890967024199895
GSTM3	3.689299160535892
PTGS2	3.3362833878644325
SERINC2	5.802193216941825
RAB42	4.705977901682522
OBSCN	2.7070829917717063
FMO3	6.583458910130768
SLC6A17	5.683696454306515
PROM2	3.1731274334806563
MORN1	4.632268215499513
SYT2	3.9818526532897405
RAB3GAP1	3.797012977836145
AC119676.1	5.3110671022555955
DDAH1	4.035623909730721
CMPK2	3.9354597478052895
PEA15	1.5210507369009632
PCARE	6.257387842692652
TAS1R1	6.221103725367875
PLEKHA3	5.06177619758669
MMP23B	2.3161457422933562
MOV10	3.596935142387232
LAMC1	6.469234793667656
TAF13	6.636624620543649
OR10J5	4.77082904603249
FBXO44	3.2794712956444676
ZNF514	4.177917792195843
SNAPIN	4.392317422778761
ECE1	3.786596361890807
ZBTB17	5.321928094887363
CLSTN1	2.0071955014042038
PREPL	4.672425341971495
NT5C1A	4.364572432295856
GBP4	3.867896463992655
SPRED2	4.137503523749935
HHLA3	2.969012307516316
RPS27A	1.5558161550616396
ZFP69B	4.169925001442312
SMIM12	2.140778655782796
SLC1A7	4.364572432295856
PEX13	3.6667565918848033
SH3D21	4.602884408718419
SLC2A5	3.548436624696042
AP4B1	5.381975478557301
TUBA3D	4.655351828612554
C1orf100	4.765534746362977
PDCL3	4.77082904603249
AKR7A2	4.2630344058337934
DIO1	5.035623909730721
PPP1CB	4.459431618637297
SEMA4C	3.8278190246173196
HNRNPCL1	6.94251450533924
SATB2	5.074676686294496
OR2T1	4.802193216941825
MAIP1	4.232660756790275
REN	5.116863757690899
MDH1	4.419538891513785
KCNS3	6.94251450533924
GGCX	4.277984747299765
FAM228B	3.523561956057013
PLA2G5	3.8278190246173196
S100A12	3.3923174227787602
IRF2BP2	5.277984747299765
EFCAB7	2.2479275134435857
TOR1AIP2	5.649615459063409
HIBCH	5.048759311919856
KIAA1211L	6.112700132749362
NR4A2	4.990954860396993
SLFNL1	4.655351828612554
ZNF2	6.714245517666122
BABAM2	6.832890014164741
BEST4	4.364572432295856
FAM166C	6.006746832440585
ZNF672	7.149747119504682
BRINP3	3.733354340613827
HSD17B7	6.137503523749935
DDX59	6.185866545311334
VASH2	3.4724877714627436
NPHP1	4.832890014164741
CCDC74B	5.832890014164741
DDX20	1.956056652412403
CALML6	6.287250643254617
PEX14	7.257387842692652
AADACL4	2.582556003014061
GCKR	3.7441610955704103
SEC16B	3.0214797274104512
NEURL3	6.137503523749935
SHISAL2A	6.4329594072761065
CLSPN	3.127633279725874
H2AW	4.5668151540108965
BUB1	5.92362461136832
CD101	2.807354922057604
DNASE2B	5.06177619758669
POMGNT1	6.246027980528104
ATP5MC3	2.657640005207824
HNRNPU	5.153805336079036
FBXO48	2.8399595874895316
LEXM	5.498250867527825
FAM72C	6.318316841334983
DTNB	6.006746832440585
IFI44	2.792855352362489
TTC21B	5.738767836800191
POLR2D	6.25171909260596
CCDC74A	3.733354340613827
SLC9A1	3.689299160535892
TOR1AIP1	3.20006486151431
MROH7-TTC4	3.9354597478052895
UBE4B	6.526694845541976
RGPD8	6.5453506448223
OR2G2	3.0874628412503395
FYB2	6.20945336562895
ST6GAL2	4.71699089440494
HPCA	3.0652276227756188
NIBAN1	5.683696454306515
HES3	2.6182386555954547
EVI5	5.4886435398537845
MRPS15	2.835924074254375
CHN1	4.529820946528695
PABPC4	3.0686708106650986
GTDC1	4.602884408718419
STK40	4.277984747299765
EPCAM	1.8639384504239715
UTS2	3.350497247084133
TMEM201	5.185866545311334
ACTRT2	2.2957230245399685
RHBG	5.4561490346479955
C1orf68	2.594548549550354
CNOT11	3.2234225499349374
RRM2	3.0738202332916713
CDK11B	1.7398481026993275
GPR37L1	3.700439718141092
ITGA4	4.321928094887363
IL1RN	3.8278190246173196
PRCC	4.129283016944966
OR2T33	5.683696454306515
SIX3	4.738767836800191
AK4	4.343407822297814
LYG2	4.672425341971495
IGSF9	6.954196310386875
H2BC18	4.602884408718419
IGSF3	4.921245888585589
IRF6	2.702657543390911
PIGV	4.0
TGFBR3	5.133399125417198
H3C14	2.673556423990145
GADD45A	4.277984747299765
OXCT2	5.979568100095187
PALMD	5.944858445807539
FABP3	4.446256229889564
TARDBP	4.465974464504069
RABGAP1L	5.070389327891398
RGSL1	2.6644828403646823
SRARP	2.823749360308273
PRUNE1	3.3362833878644325
CNN3	5.563768278452033
DYTN	3.877744249949002
CD48	3.364572432295856
PRAMEF12	4.121015400961366
APOB	5.507794640198696
CCDC185	8.08214904135387
UHMK1	3.364572432295856
NEUROD1	2.400537929583729
FAM237A	3.4462562298895643
IL36RN	3.234194722953812
RWDD3	5.738767836800191
COL8A2	3.733354340613827
AC114490.2	3.925999418556223
TYW5	6.312882955284356
CNGA3	4.837943241891027
OVGP1	5.409390936137702
TOE1	4.217230716220669
CPO	2.541019153133559
ASAP2	4.446256229889564
MPL	2.1043366598147357
DISP3	5.350497247084133
TNN	4.2630344058337934
PRPF38A	4.626439136697315
OR10K2	5.087462841250339
GAREM2	3.5109619192773796
FAM20B	5.108524456778169
HSPB7	3.560714954474479
BCL10	5.277984747299765
ARHGAP30	5.266786540694901
BRINP2	1.6415460290875237
LCE6A	5.0
ZNF436	4.862947248020921
EPHA2	5.92362461136832
NUDT17	4.185866545311334
DAB1	5.321928094887363
XCL1	5.399171093819823
C1orf174	2.7570232465074596
LEPR	4.862947248020921
LRRN2	3.711494906650088
ERMAP	4.364572432295856
AHCYL1	2.7506065048355923
MEAF6	5.346956889378885
MICOS10	6.314696525656286
DRAM2	4.802193216941825
ORC2	5.563768278452033
PATJ	5.161887682376894
PMF1	5.277984747299765
RCOR3	1.5310694927259543
MARS2	3.689299160535892
TNFRSF14	1.4750848829487826
RBKS	4.694880192799191
ILF2	3.6667565918848033
CCDC85A	4.738767836800191
CD160	6.279842693520348
IL1RL2	6.279842693520348
CCDC138	5.035623909730721
ITLN2	3.596935142387232
CLCN6	5.321928094887363
KLHL21	2.669026765509631
FIGLA	2.114367024952
GTF3C2	4.112700132749362
FLVCR1	4.035623909730721
PTPN14	4.5668151540108965
HPCAL4	6.78135971352466
REG4	6.882643049361842
OSR1	3.321928094887362
BMP8B	3.9068905956085187
CCT4	4.06177619758669
RMND5A	3.5360529002402097
NMI	3.867896463992655
PAFAH2	7.118941072723508
MRPL20	6.6865005271832185
OR2M4	5.017921907997263
LRRTM1	5.956521363333119
C2orf81	3.733354340613827
DRC1	5.9818526532897405
MRPS5	8.266786540694902
HOXD8	6.112700132749362
KCNN3	5.507794640198696
CFHR5	5.865423978313134
WDR75	3.2357270598380583
NKAIN1	4.872828759534886
CTH	2.969012307516316
ADRA2B	4.292781749227846
HTR1D	5.692092375427572
POMC	4.802193216941825
DNAH14	5.185866545311334
DMRTB1	5.802193216941825
MFSD9	2.035623909730721
RPTN	3.733354340613827
ANXA4	4.446256229889564
CD8A	3.2794712956444676
TBC1D8	5.951867504326902
POU3F1	5.368069876532083
CASZ1	5.300123724569014
POLR3GL	4.491853096329675
FER1L5	5.599912842187128
SPATA17	3.9818526532897405
GJA4	5.738767836800191
CTNNA2	4.087462841250339
HTR6	5.137503523749935
MITD1	4.329123596291566
SYF2	2.440952198029637
HDGF	4.672425341971495
RPRD2	2.5533605033353277
CLK2	2.2047667506546134
LMO4	3.1731274334806563
SLC26A9	6.345183447187665
AL590560.2	4.9818526532897405
ELOA	5.409390936137702
SLC44A5	3.060047383669939
CPSF3	5.145677455195635
OR2T2	6.006746832440585
UPP2	5.035623909730721
ORC4	4.626439136697315
MCM6	7.22881869049588
SCMH1	6.672425341971495
CYP4B1	6.768184324776926
DENND2D	6.0916998341368105
KRTCAP3	4.817623257511431
ERLEC1	6.03342300153745
GJB4	5.5109619192773796
CASQ1	4.343407822297814
EHD3	4.350497247084133
RAB4A	3.6667565918848033
MGST3	5.951867504326902
INPP4A	2.0143552929770703
DFFA	7.851749041416057
CD34	3.8278190246173196
SULT1C4	4.797012977836145
HOXD4	2.9981955031532523
ALMS1	6.7414669864011465
CLCNKB	3.925999418556223
GJB5	4.087462841250339
APCS	5.689299160535892
FCGR1A	6.059614856297222
C1orf210	2.933572638261024
IMMT	6.9886846867721655
CASP9	5.599912842187128
NRP2	4.517275693209582
VPS54	1.9745293124838819
ST3GAL3	1.9335726382610239
EXOSC10	3.867896463992655
NTPCR	2.6322682154995127
CELA2B	1.3448284969974411
STAM2	6.087462841250339
AC092587.1	4.738767836800191
RAB29	2.3673710656485296
GCSAML-AS1	3.9818526532897405
NAT8	3.867896463992655
FSIP2	5.321928094887363
CDC42	5.581953750848818
TEX37	4.217230716220669
RANBP2	5.300123724569014
PIK3CD	6.429615964201735
WRAP73	4.765534746362977
RNF187	6.768184324776926
RAB6C	4.9818526532897405
GMCL1	5.58796498888268
AL691442.2	4.9818526532897405
FOXE3	2.0143552929770703
ASNSD1	4.035623909730721
DHX9	7.247927513443585
SP3	7.348728154231077
RAB1A	5.812498225333564
IGFN1	3.1667154449664223
CDC7	5.832890014164741
PPT1	5.189824558880018
RHOB	5.357552004618084
SVBP	5.4495613746132365
CEPT1	4.862947248020921
SCN9A	4.921245888585589
A3GALT2	3.3362833878644325
FCER1G	2.8797057662822882
SMYD3	5.314696525656286
SYPL2	3.7548875021634687
TMEM52	4.364572432295856
MOB3C	5.5576551547254205
ZRANB2	5.3110671022555955
TRAPPC12	5.321928094887363
LCE1E	3.5109619192773796
H3C15	8.118941072723507
RGS1	3.8972404255747994
TUT4	4.5668151540108965
CLDN19	2.8639384504239715
P3R3URF-PIK3R3	6.807354922057604
DNAJC5G	5.77082904603249
STARD7	6.279842693520348
PPIAL4F	6.345183447187665
GNAT2	7.851749041416057
TMEM39B	3.0338634518662837
TPM3	3.643856189774725
TRMT61B	2.996388746447621
TMEM53	4.672425341971495
NBPF6	1.6553518286125541
FOXN2	4.504620392403552
KLHL23	5.133399125417198
PLA2G2E	6.583458910130768
ABCB10	4.217230716220669
CEP170	2.5109619192773796
TFCP2L1	4.572889668420581
TGFA	7.442943495848728
FCRL6	4.364572432295856
TXLNA	4.472487771462744
AMY1B	3.817623257511431
TTF2	4.862947248020921
HEYL	8.405141463136344
SYT6	5.951867504326902
LYG1	4.802193216941825
LURAP1	4.112700132749362
TEX51	4.017921907997263
ADGRB2	4.529820946528695
IKBKE	2.1176950426697547
SPRR5	7.7615512324444795
TMCO4	4.523561956057013
CYP1B1	6.78135971352466
GPR161	3.867896463992655
ACKR1	4.9818526532897405
FUCA1	5.368069876532083
MIIP	6.409390936137702
OR4F5	4.20945336562895
TXNDC9	4.277984747299765
AC006030.1	1.6182386555954547
PPIG	5.705977901682522
OR2T27	3.2539892662307865
EIPR1	5.137503523749935
DENND4B	8.049848549450562
RPL31	4.738767836800191
HSPD1	4.485426827170242
POTEE	4.9818526532897405
PPIAL4E	2.8298495598446904
OMA1	4.877744249949002
ESRRG	3.596935142387232
OTUD3	3.0874628412503395
