GO	[-6.74 -0.95]	[-0.95 -0.40]	[-0.40 -0.09]	[-0.09 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.03]	[0.03 0.30]	[0.30 0.76]	[0.76 5.79]
GO:0001650 fibrillar center	1.087	0.216	-1.415	-1.415	0.428	2.601	-0.767	-0.767	1.087	-0.408	-0.417
GO:0007264 small GTPase mediated signal transduction	-1.415	1.087	-0.408	0.428	-0.767	2.601	-0.408	1.087	-1.415	-0.767	0.210
GO:0006396 RNA processing	0.254	1.438	1.438	-1.062	0.454	-1.792	0.720	0.720	-1.792	-0.627	-0.364
GO:0060964 regulation of gene silencing by miRNA	0.541	1.311	0.885	-1.247	-1.247	-0.642	-0.642	0.885	0.283	0.885	-1.263
GO:0031647 regulation of protein stability	0.332	1.831	-0.705	0.708	-0.705	-0.272	-0.705	1.831	-0.272	-0.705	-0.714
GO:0030433 ubiquitin-dependent ERAD pathway	-0.663	-0.247	-0.247	-0.663	1.297	-0.663	-0.663	-0.663	1.950	-0.247	1.281
GO:0005544 calcium-dependent phospholipid binding	-0.290	-0.290	-0.290	3.970	-0.290	-0.290	0.896	-0.290	-0.290	-0.290	-0.293
GO:0008023 transcription elongation factor complex	0.211	0.211	-0.414	-0.414	-0.414	2.047	-0.414	-0.414	-0.414	2.047	-0.419
GO:0033613 activating transcription factor binding	-0.497	0.525	-0.497	0.166	0.166	-0.497	-0.497	-0.497	1.055	2.560	-0.503
GO:0006293 nucleotide-excision repair, preincision complex stabilization	-0.331	0.273	-0.331	-0.331	0.273	3.577	-0.331	-0.331	-0.331	-0.331	0.269
