GO	[-1.00 -0.54]	[-0.54 -0.13]	[-0.13 0.17]	[0.17 0.36]	[0.36 0.52]	[0.52 0.67]	[0.67 0.80]	[0.80 0.92]	[0.92 0.99]	[0.99 1.00]	[1.00 1.00]
MIR5087 MIR5087	0.379	-1.541	-0.235	-0.400	-1.009	-2.370	-0.235	0.379	2.347	-0.235	1.927
MIR3166 MIR3166	1.644	-1.155	-0.301	-0.490	-1.155	0.702	-0.301	-1.718	2.484	0.972	-1.142
MIR3118 MIR3118	-0.766	-0.408	0.716	1.080	-0.766	-1.411	1.514	0.427	1.514	-1.411	-0.758
MIR134_5P MIR134_5P	-0.735	-0.386	0.754	1.131	-0.735	-1.370	1.579	0.230	1.579	-1.370	-0.727
MIR3925_3P MIR3925_3P	-1.522	-1.522	-0.302	-0.439	0.594	-1.149	-0.302	-1.149	1.254	1.254	2.950
MIR657 MIR657	-1.828	0.684	-1.093	-1.828	-0.374	0.430	0.684	0.239	0.239	0.430	2.305
MIR7156_5P MIR7156_5P	-1.398	-2.006	1.300	-0.423	-0.964	-1.398	1.300	0.342	0.738	0.738	1.014
MIR4774_3P MIR4774_3P	-1.026	0.268	0.268	-0.336	2.438	-1.026	-1.026	0.476	1.084	0.749	-1.732
MIR489_3P MIR489_3P	0.784	0.784	-0.318	-1.703	0.284	2.001	-1.703	0.284	-0.993	-0.318	0.508
MIR222_5P MIR222_5P	-0.370	1.086	-0.976	-2.176	0.355	-0.370	0.355	-1.686	-0.370	1.339	2.288
