GO	[-6.16 -1.21]	[-1.21 -0.35]	[-0.35 0.42]	[0.42 0.87]	[0.87 1.26]	[1.26 1.58]	[1.58 1.93]	[1.93 2.35]	[2.35 3.06]	[3.06 4.19]	[4.19 6.64]
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	-0.787	-0.787	1.059	-0.324	-0.324	-0.787	3.870	0.279	0.609	-0.787	-0.791
PID_VEGFR1_PATHWAY PID_VEGFR1_PATHWAY	-0.324	-0.324	2.275	-0.787	-0.787	1.059	1.617	-0.787	0.279	-0.787	-0.791
PID_MET_PATHWAY PID_MET_PATHWAY	0.666	-0.579	1.662	-0.579	-0.579	-0.579	0.948	0.258	2.090	-2.245	-1.443
REACTOME_INFLUENZA_INFECTION REACTOME_INFLUENZA_INFECTION	-0.740	0.316	1.332	0.731	0.499	2.110	0.316	-1.683	-0.287	-0.740	-2.549
PID_NCADHERIN_PATHWAY PID_NCADHERIN_PATHWAY	2.154	-0.351	0.993	-0.829	-0.829	-0.829	0.993	-0.829	0.256	0.567	-0.832
BIOCARTA_PPARA_PATHWAY BIOCARTA_PPARA_PATHWAY	0.540	-0.641	0.883	-1.245	-0.320	2.371	0.283	-1.245	-0.320	-1.245	0.877
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	0.795	-0.703	-0.363	-1.328	0.480	-0.703	2.784	-0.363	1.188	-0.363	-1.333
PID_ERBB4_PATHWAY PID_ERBB4_PATHWAY	0.491	-0.912	0.491	-0.406	0.217	0.491	3.350	-0.912	0.217	-0.912	-0.916
BIOCARTA_VDR_PATHWAY BIOCARTA_VDR_PATHWAY	-0.746	-0.298	-0.746	-0.746	-0.746	0.656	0.304	-0.298	0.304	-0.298	4.060
REACTOME_SIGNALING_BY_PDGF REACTOME_SIGNALING_BY_PDGF	-1.078	-0.240	0.685	0.371	-0.240	-0.521	3.522	-0.240	0.371	-1.078	-1.083
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	1.003	1.648	-0.263	0.520	0.520	-2.007	0.342	1.003	-2.007	-1.399	-0.426
REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC	-0.247	-0.663	-0.663	-0.247	4.532	-0.247	0.362	-0.663	-0.663	-0.247	0.360
WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA	-0.757	-1.228	-1.228	-0.451	-0.757	-0.451	0.352	0.352	0.352	0.851	4.219
KEGG_ENDOCYTOSIS KEGG_ENDOCYTOSIS	1.145	1.720	1.418	-1.389	-0.755	0.903	-0.250	-1.034	-1.034	0.509	-1.852
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.527	-0.378	0.931	3.511	-0.378	-0.378	-0.871	0.236	-0.871	-0.871	-0.380
REACTOME_REGULATION_OF_SIGNALING_BY_CBL REACTOME_REGULATION_OF_SIGNALING_BY_CBL	-0.272	-0.272	-0.272	-0.704	0.332	-0.272	3.371	-0.704	1.209	-0.704	-0.707
REACTOME_HCMV_INFECTION REACTOME_HCMV_INFECTION	0.606	1.138	0.850	-0.359	1.468	1.138	-0.567	-1.862	-0.567	-0.862	-1.872
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	2.216	-0.199	-0.580	-0.580	-0.199	-0.580	2.216	-0.199	-0.199	-0.580	-0.582
KEGG_TYROSINE_METABOLISM KEGG_TYROSINE_METABOLISM	-0.456	-0.456	0.187	-0.456	1.878	1.878	-0.456	-0.456	-0.456	-0.456	0.576
