GO	[-5.47 -0.83]	[-0.83 -0.26]	[-0.26 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.74]	[0.74 6.80]
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	1.136	4.050	0.756	0.453	0.230	-1.375	-0.737	-0.737	-1.375	-0.386	-1.369
chr20q11 chr20q11	0.457	-0.435	-0.435	-0.957	-0.957	0.823	-0.957	4.895	-0.435	0.457	-0.952
NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON	-0.552	0.645	-1.124	4.170	1.036	-0.260	-1.124	-0.552	0.346	-0.552	-1.119
GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	-1.166	-1.166	2.587	-0.582	-1.166	0.982	0.323	0.982	-1.166	0.608	-0.278
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP	-2.471	0.345	-0.697	3.238	-0.697	1.428	0.542	-0.697	-0.697	-1.074	0.796
CCCNNNNNNAAGWT_UNKNOWN CCCNNNNNNAAGWT_UNKNOWN	-0.280	-1.166	-0.582	-0.582	-1.166	0.982	-0.582	1.976	-1.166	1.976	0.612
GSE40274_FOXP3_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_FOXP3_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	-0.788	1.146	-0.788	0.333	-2.048	0.818	0.333	0.818	-2.048	-0.474	1.974
GAVIN_FOXP3_TARGETS_CLUSTER_P6 GAVIN_FOXP3_TARGETS_CLUSTER_P6	3.214	-0.435	0.823	-0.957	0.199	-0.957	-0.957	-0.435	0.457	-0.957	0.827
GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP	0.686	-0.654	0.238	1.817	2.306	-1.837	-1.837	0.238	-0.654	0.238	-0.371
chr12p13 chr12p13	-0.581	-0.581	0.434	-0.581	-0.581	-0.581	0.893	-0.581	3.068	-0.581	0.897
MODULE_43 MODULE_43	0.763	-0.248	-0.664	-0.664	-0.664	0.362	-0.664	1.295	-0.664	2.710	-0.662
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	-1.104	1.383	0.330	2.187	-1.104	-0.274	-0.721	0.760	-0.455	0.760	-2.503
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_PRO_BCELL_DN GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_PRO_BCELL_DN	-2.853	0.372	-0.611	2.157	-0.611	0.796	-0.920	-0.920	-0.392	1.074	1.083
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN	-0.560	-2.217	0.271	-0.900	-0.900	0.695	2.657	1.727	-0.560	-0.560	0.460
GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN	-1.585	-0.503	-1.585	-0.898	-0.267	0.902	3.436	0.338	-0.267	0.338	0.341
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN	0.477	0.268	-1.753	-0.337	3.028	0.268	1.090	0.268	-0.603	-1.753	-0.598
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_UP GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_UP	-0.873	-0.379	4.390	-0.379	-0.873	-0.379	-0.379	-0.873	0.235	0.235	0.937
