gene_id	gene_name	SRR3214253	SRR3214254	SRR3214255	SRR3214277	SRR3214278	SRR3214279	SRR3214301	SRR3214302	SRR3214303	SRR3214325	SRR3214326	SRR3214327
1	ENSG00000000003.15	TSPAN6	3	6	5	6	22	1	9	6	13	0	10	1
2	ENSG00000000005.6	TNMD	0	0	0	0	0	0	0	0	0	0	0	0
3	ENSG00000000419.12	DPM1	276	20	274	515	81	499	225	79	165	293	96	322
4	ENSG00000000457.14	SCYL3	79	11	74	205	70	191	163	31	125	77	102	81
5	ENSG00000000460.17	C1orf112	94	2	90	79	18	86	34	29	25	59	45	61
6	ENSG00000000938.13	FGR	347	20	292	2263	353	2130	2025	1773	1539	433	1275	501
7	ENSG00000000971.16	CFH	0	0	0	0	0	0	0	0	0	0	0	0
8	ENSG00000001036.14	FUCA2	122	14	130	485	93	478	240	61	197	184	147	188
9	ENSG00000001084.13	GCLC	177	17	148	4543	658	4147	345	120	262	129	100	141
10	ENSG00000001167.14	NFYA	176	12	177	504	81	473	424	178	263	138	173	135
11	ENSG00000001460.18	STPG1	39	2	24	4	31	5	10	40	1	18	38	12
12	ENSG00000001461.17	NIPAL3	313	19	286	467	54	432	221	41	165	146	159	169
13	ENSG00000001497.16	LAS1L	491	26	476	195	49	196	281	59	174	219	246	229
14	ENSG00000001561.7	ENPP4	19	3	15	44	6	41	14	1	15	14	3	12
15	ENSG00000001617.12	SEMA3F	0	0	3	3	0	2	4	1	7	12	29	17
16	ENSG00000001626.16	CFTR	0	0	0	0	2	0	2	0	7	0	1	0
17	ENSG00000001629.10	ANKIB1	122	24	129	433	84	345	247	51	191	118	203	111
18	ENSG00000001630.17	CYP51A1	402	41	378	1111	197	1009	212	82	147	231	258	217
19	ENSG00000001631.15	KRIT1	207	14	215	309	61	372	212	72	122	179	181	161
20	ENSG00000002016.18	RAD52	124	10	151	119	41	140	178	69	122	89	106	90
21	ENSG00000002079.14	MYH16	0	4	0	7	5	2	0	0	0	0	3	0
22	ENSG00000002330.13	BAD	41	4	43	71	11	57	64	29	51	37	62	42
23	ENSG00000002549.12	LAP3	344	10	297	645	105	569	285	37	201	167	207	208
24	ENSG00000002586.20	CD99	210	21	188	388	50	370	230	117	190	209	354	234
25	ENSG00000002587.10	HS3ST1	0	0	0	5	0	0	8	18	6	9	24	18
26	ENSG00000002726.20	AOC1	106	9	96	132	21	118	0	26	0	138	262	157
27	ENSG00000002745.13	WNT16	0	0	0	0	0	0	0	0	0	0	0	0
28	ENSG00000002746.15	HECW1	1	3	3	3	14	2	4	6	4	2	6	7
29	ENSG00000002822.15	MAD1L1	237	7	240	176	32	178	104	51	120	79	257	80
30	ENSG00000002834.18	LASP1	1258	62	1166	8773	1877	8091	1646	990	1322	1294	1746	1337
31	ENSG00000002919.14	SNX11	131	24	111	275	38	235	340	147	253	141	116	116
32	ENSG00000002933.9	TMEM176A	0	0	0	0	0	0	0	3	0	1	0	1
33	ENSG00000003056.8	M6PR	900	40	911	4166	434	3656	1506	411	1102	782	851	830
34	ENSG00000003096.14	KLHL13	4	5	8	0	0	0	3	3	4	4	5	4
35	ENSG00000003137.8	CYP26B1	0	0	0	0	0	0	9	0	7	0	0	0
36	ENSG00000003147.19	ICA1	22	1	18	191	33	151	15	1	21	23	37	27
37	ENSG00000003249.14	DBNDD1	1	0	1	0	1	0	1	0	5	0	1	0
38	ENSG00000003393.15	ALS2	598	76	591	245	75	185	270	81	182	328	464	348
39	ENSG00000003400.15	CASP10	83	23	73	232	65	226	275	60	207	88	112	92
40	ENSG00000003402.20	CFLAR	1405	185	1269	3561	932	3068	4193	2975	3120	1859	2440	1846
41	ENSG00000003436.16	TFPI	70	9	66	89	53	76	54	18	30	43	43	42
42	ENSG00000003509.16	NDUFAF7	128	11	129	294	74	290	306	97	232	143	163	143
43	ENSG00000003756.17	RBM5	671	73	686	1493	363	1480	1933	666	1461	646	1181	639
44	ENSG00000003987.14	MTMR7	0	13	0	5	1	4	1	10	3	3	0	2
45	ENSG00000003989.18	SLC7A2	146	11	140	350	38	279	0	14	0	50	32	56
46	ENSG00000004059.11	ARF5	262	41	247	533	60	455	742	324	574	279	461	277
