GO	[-6.80 -4.14]	[-4.14 -3.21]	[-3.21 -2.54]	[-2.54 -2.03]	[-2.03 -1.47]	[-1.47 -0.62]	[-0.62 1.11]	[1.11 1.94]	[1.94 2.79]	[2.79 4.10]	[4.10 6.64]
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-3.498	0.301	-0.961	-0.459	-0.459	0.858	1.733	2.903	0.858	-0.961	-1.331
GOMF_EXONUCLEASE_ACTIVITY GOMF_EXONUCLEASE_ACTIVITY	-0.435	-2.453	0.346	1.077	-0.435	-1.067	-1.611	-0.693	1.415	3.191	0.350
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-1.472	-0.890	-0.257	-0.257	-0.890	-0.257	3.044	4.240	-0.501	-0.674	-1.458
GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS	-0.463	-0.995	-0.463	-0.995	1.214	1.746	2.361	-0.463	-0.995	-0.995	0.429
GOMF_LYASE_ACTIVITY GOMF_LYASE_ACTIVITY	-1.649	-0.369	0.558	-0.560	0.381	-1.175	2.005	3.778	0.242	-1.175	-1.166
GOCC_OXIDOREDUCTASE_COMPLEX GOCC_OXIDOREDUCTASE_COMPLEX	-0.283	-1.619	0.319	-0.927	0.555	-0.283	3.294	0.555	0.858	-1.619	-0.921
GOBP_NUCLEUS_ORGANIZATION GOBP_NUCLEUS_ORGANIZATION	-0.455	-0.691	-0.691	2.756	1.554	-1.015	-2.078	-1.015	0.938	1.226	-0.684
HP_BIPARIETAL_NARROWING HP_BIPARIETAL_NARROWING	2.149	-0.283	-1.619	-0.927	0.319	-0.283	1.659	-0.927	1.659	-0.927	-0.921
GOBP_AMINE_METABOLIC_PROCESS GOBP_AMINE_METABOLIC_PROCESS	-1.786	-0.625	1.425	-0.625	-0.355	1.425	-0.625	1.425	1.041	-0.355	-1.778
GOCC_GOLGI_ASSOCIATED_VESICLE GOCC_GOLGI_ASSOCIATED_VESICLE	0.286	-0.535	-0.317	0.476	-1.365	-2.161	2.700	1.766	-0.867	0.476	-0.531
HP_RENAL_CELL_CARCINOMA HP_RENAL_CELL_CARCINOMA	3.092	1.537	0.784	-0.993	0.284	-1.702	0.284	-0.575	-0.993	-0.575	-0.570
GOBP_GENITALIA_DEVELOPMENT GOBP_GENITALIA_DEVELOPMENT	1.292	-0.663	-0.663	-0.663	-0.663	2.699	0.362	-0.248	-0.663	-0.663	0.766
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	-1.244	0.260	-2.719	-0.495	1.140	-1.630	0.703	-0.346	2.344	0.908	0.385
GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.930	-0.871	-0.378	3.505	0.235	0.235	-0.871	0.235	-0.871	0.235	-0.867
GOCC_CATALYTIC_STEP_2_SPLICEOSOME GOCC_CATALYTIC_STEP_2_SPLICEOSOME	-0.811	-2.077	-0.493	-0.286	0.317	2.347	0.317	1.882	0.522	-1.296	-0.489
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	0.824	-0.622	-0.622	0.824	-0.622	0.396	2.869	-0.223	-0.622	-0.622	-0.619
GOMF_MANNOSYLTRANSFERASE_ACTIVITY GOMF_MANNOSYLTRANSFERASE_ACTIVITY	-0.746	-0.298	0.655	-0.746	2.402	0.655	-0.746	-0.746	-0.298	-0.746	1.134
GOBP_NUCLEOSIDE_METABOLIC_PROCESS GOBP_NUCLEOSIDE_METABOLIC_PROCESS	-1.911	-0.412	2.140	0.389	0.921	0.389	0.625	-0.704	-0.412	-1.911	0.393
GOBP_STEROID_BIOSYNTHETIC_PROCESS GOBP_STEROID_BIOSYNTHETIC_PROCESS	0.539	-2.870	0.357	-1.367	-0.628	0.764	1.340	-0.252	1.687	-0.252	-0.622
GOMF_DNA_DEPENDENT_ATPASE_ACTIVITY GOMF_DNA_DEPENDENT_ATPASE_ACTIVITY	0.509	0.836	2.271	-1.286	-0.672	-0.342	0.264	-1.286	1.242	-0.672	-0.668
GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS	1.089	1.089	-0.241	0.371	-1.078	-0.521	2.151	-1.078	-1.078	-0.241	-0.518
HP_CELIAC_DISEASE HP_CELIAC_DISEASE	-0.497	-0.497	-0.497	-0.497	1.052	-0.497	-0.497	1.732	0.166	-0.497	1.738
GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	3.957	0.894	-0.290	-0.290	-0.289
GOMF_PURINE_RIBONUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_PURINE_RIBONUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-0.497	-0.497	1.052	-0.497	-0.497	-0.497	1.052	-0.497	-0.497	0.524	1.738
HP_RETICULOCYTOSIS HP_RETICULOCYTOSIS	0.434	0.892	-0.580	1.489	-0.580	-0.580	-0.199	1.489	-0.580	-0.580	-0.578
GOBP_SALIVARY_GLAND_DEVELOPMENT GOBP_SALIVARY_GLAND_DEVELOPMENT	1.382	-0.373	2.230	-0.373	-0.373	0.712	-0.373	-0.373	-0.373	-0.373	-0.371
GOBP_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM GOBP_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM	0.795	-0.331	-0.331	-0.331	3.565	-0.331	0.273	-0.331	-0.331	-0.331	-0.330
GOBP_GLUTAMATE_SECRETION GOBP_GLUTAMATE_SECRETION	-0.414	-0.414	-0.414	-0.414	-0.414	-0.414	0.640	0.211	-0.414	2.979	0.643
