FIELD	COUNT	DESC
Stranded_Rule_Code	0	Code for the strandedness rule used. 0 if data is unstranded, 1 if data is fr_firstStrand, 2 if data is fr_secondStrand.
READ_PAIR_OK	2564693	Number of reads or read-pairs that pass initial filters and are processed by QoRTs.
TOTAL_READ_PAIRS	3520937	Total number of reads or read-pairs found in the input file.
DROPPED_NOT_PROPER_PAIR	-1	Number of reads or read-pairs dropped because the 'not proper pair' SAM flag is raised.
DROPPED_READ_FAILS_VENDOR_QC	0	Number of reads or read-pairs that have the 'failed vendor QC' SAM flag raised.
DROPPED_MARKED_NOT_VALID	0	Number of reads or read-pairs dropped because marked 'not valid'
DROPPED_CHROMS_MISMATCH	-1	Number of read-pairs dropped because the paired reads align to different chromosomes
DROPPED_PAIR_STRANDS_MISMATCH	-1	Number of read-pairs dropped because the paired reads align to inconsistent strands
DROPPED_IGNORED_CHROMOSOME	0	Number of reads or read-pairs dropped because they align to chromosomes marked for ignoring
DROPPED_NOT_UNIQUE_ALIGNMENT	956244	Number of reads or read-pairs dropped because they are not uniquely aligned to single genomic locus
DROPPED_NO_ALN_BLOCKS	0	Number of reads or read-pairs dropped because they do not have any alignment blocks (despite being marked as aligned)
DROPPED_NOT_MARKED_RG	-1	Number of reads or read-pairs dropped because they are not in the correct read group (or -1 if read-group filtering is not on)
KEPT_NOT_UNIQUE_ALIGNMENT	0	Number of reads or read-pairs kept despite not being uniquely aligned.
minObservedReadLength	51	The base-pair length of the smallest read
maxObservedReadLength	51	The base-pair length of the largest read
maxLegalPhredScore	41	The largest observed PHRED score.
IS_SINGLE_END	1	0 if data is paired-ended, 1 if data is single-ended
PREALIGNMENT_READ_CT	-1	The number of reads found pre-alignment. Can be set using --seqReadCt or --rawfastq. -1 if unknown.
BENCHMARK_MinutesOnSamIteration	2.62	The number of minutes spent on the SAM iteration step.
BENCHMARK_MinutesPerMillionReads	0.74	The number of minutes per million reads spent on the SAM iteration step
BENCHMARK_MinutesPerMillionGoodReads	1.02	The number of minutes per million reads that passed the initial filtering step.
ReadPairs_AmbigGene	122711	Number of reads or read-pairs that map to a genomic area that includes regions covered by more than one gene.
ReadPairs_UniqueGene	1801702	Number of reads or read-pairs that map to a genomic area covered by exactly one gene
ReadPairs_UniqueGene_CDS	1144049	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, and intersect at least partially with the coding region of that gene.
ReadPairs_UniqueGene_UTR	657653	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, but that only cover the UTR (non-coding) regions.
ReadPairs_NoGene	640280	Number of reads or read-pairs that are not assigned to any gene.
ReadPairs_NoGene_Intron	562848	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	14698	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	33127	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	29607	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	60669	Number of known genes
Genes_WithZeroCounts	40815	Number of genes with zero observed reads
Genes_WithNonzeroCounts	19854	Number of genes with 1 or more observed reads
AVG_GC	0.49595128879389266	Average GC fraction across all reads
AggregateGenes	48934	Number of aggregate genes
AggregateGenes_NoReads	33028	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	15906	Number of aggregate genes with 1 or more observed reads
SpliceLoci	386045	Number of splice loci observed
SpliceLoci_Known	383646	Number of known splice loci
SpliceLoci_Known_NoReads	317194	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	46362	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	20090	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	2399	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	2370	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	29	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	326714	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	323948	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	73315	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	250633	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	2766	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	2582	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	184	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	68455	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	1794730	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	61228	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	640280	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	0	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
