GO	[-1.00 -0.98]	[-0.98 -0.88]	[-0.88 -0.78]	[-0.78 -0.64]	[-0.64 -0.48]	[-0.48 -0.19]	[-0.19 0.38]	[0.38 0.71]	[0.71 0.94]	[0.94 1.00]	[1.00 1.00]
GSE17721_POLYIC_VS_CPG_6H_BMDC_DN GSE17721_POLYIC_VS_CPG_6H_BMDC_DN	-0.412	0.433	0.433	0.580	-1.668	-4.154	1.419	1.986	-0.412	1.419	-1.673
GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP	0.544	-1.218	-0.334	-0.480	-0.480	0.393	-2.681	0.393	-2.078	1.434	4.472
GSE25123_CTRL_VS_IL4_STIM_PPARG_KO_MACROPHAGE_UP GSE25123_CTRL_VS_IL4_STIM_PPARG_KO_MACROPHAGE_UP	-1.510	0.363	0.363	0.716	-2.038	3.421	1.205	0.716	-1.105	-1.105	-0.796
GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_DN GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_DN	0.595	-0.312	1.911	-0.312	-0.661	-3.997	0.796	-1.256	1.292	-0.661	0.593
GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP	3.403	-0.803	-1.324	0.274	0.274	-1.665	2.685	-0.330	-1.039	-1.039	0.659
GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_A3R_INH_AND_TCELL_MEMBRANES_ACT_MAST_CELL_UP GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_A3R_INH_AND_TCELL_MEMBRANES_ACT_MAST_CELL_UP	2.482	-0.381	0.329	0.446	-0.275	-0.684	-0.889	-1.791	-1.436	-0.684	3.525
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	-0.906	0.465	2.310	-0.906	-0.906	-1.493	-1.881	1.444	1.201	1.201	-0.692
GSE20366_TREG_VS_TCONV_UP GSE20366_TREG_VS_TCONV_UP	0.998	0.390	-1.056	-0.522	5.078	-0.351	-0.351	-1.056	0.256	-1.452	-0.524
GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_TREATED_CD4_TCELL_DN GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_TREATED_CD4_TCELL_DN	-0.277	1.483	-0.277	-0.634	0.680	-1.283	-0.634	0.485	1.483	0.680	-3.415
GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_UP GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_UP	1.056	-0.899	-0.899	-0.301	1.325	-1.230	-0.899	-2.204	1.624	1.624	0.300
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	0.713	0.415	1.586	1.586	-0.568	-0.981	-3.744	-0.753	-0.753	0.713	0.550
