GO	[-1.85 -0.28]	[-0.28 -0.14]	[-0.14 -0.06]	[-0.06 0.01]	[0.01 0.07]	[0.07 0.12]	[0.12 0.17]	[0.17 0.24]	[0.24 0.33]	[0.33 0.45]	[0.45 17.21]
GO_CYTOSOLIC_RIBOSOME GO_CYTOSOLIC_RIBOSOME	-0.391	8.686	5.236	0.560	-0.914	-1.338	-1.936	-1.936	-1.936	-1.338	-1.327
GO_NUCLEOSOME_BINDING GO_NUCLEOSOME_BINDING	-1.094	0.239	-1.829	-0.374	-1.094	2.287	3.403	0.684	0.430	-1.094	-1.085
GO_RAN_GTPASE_BINDING GO_RAN_GTPASE_BINDING	-0.954	-0.954	0.457	-0.954	0.199	0.457	1.838	1.838	0.457	-0.954	-0.949
GO_SNRNA_TRANSCRIPTION GO_SNRNA_TRANSCRIPTION	-0.515	3.327	-0.840	-2.121	-0.515	1.058	0.301	-1.333	-0.301	0.301	0.760
GO_MANGANESE_ION_BINDING GO_MANGANESE_ION_BINDING	2.487	0.680	-1.454	-0.219	-0.431	-1.454	-1.454	0.403	-0.219	-0.219	1.041
GO_CLATHRIN_COAT GO_CLATHRIN_COAT	-1.204	0.302	0.572	0.302	-0.300	4.618	-0.300	-0.300	-0.611	-1.204	-0.606
GO_CATALYTIC_STEP_2_SPLICEOSOME GO_CATALYTIC_STEP_2_SPLICEOSOME	-0.629	-0.939	-0.939	2.077	1.033	0.765	0.765	-0.629	0.356	0.356	-2.858
GO_UNFOLDED_PROTEIN_BINDING GO_UNFOLDED_PROTEIN_BINDING	-0.456	-1.017	-0.692	-0.692	-0.289	0.314	2.763	1.923	0.939	-2.081	-0.683
GO_RNA_POLYMERASE_II_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING GO_RNA_POLYMERASE_II_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	-0.830	-0.830	-0.830	-0.351	2.873	0.566	-0.830	-0.351	0.991	-0.351	0.570
GO_RESPONSE_TO_FATTY_ACID GO_RESPONSE_TO_FATTY_ACID	0.794	-0.704	-0.364	-1.329	3.439	-0.704	0.480	0.246	0.246	0.246	-1.321
GO_SPHINGOLIPID_METABOLIC_PROCESS GO_SPHINGOLIPID_METABOLIC_PROCESS	-0.261	-0.261	-0.435	1.799	2.692	-1.613	-1.613	0.346	-1.068	-0.435	0.548
GO_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY GO_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	-0.223	-0.622	-0.622	0.396	-0.622	-0.223	3.778	-0.622	-0.223	-0.622	0.829
GO_REGULATION_OF_PROTEIN_MATURATION GO_REGULATION_OF_PROTEIN_MATURATION	0.457	0.199	0.821	-0.954	0.199	-0.954	1.838	-0.954	-0.954	-0.434	1.293
GO_PROGRAMMED_NECROTIC_CELL_DEATH GO_PROGRAMMED_NECROTIC_CELL_DEATH	0.609	-0.788	1.058	-0.325	-0.788	-0.788	1.615	-0.788	0.279	-0.788	1.064
GO_REGULATION_OF_CYTOPLASMIC_TRANSLATION GO_REGULATION_OF_CYTOPLASMIC_TRANSLATION	2.546	-0.273	-0.705	-0.273	-0.705	1.823	-0.273	-0.273	0.331	-0.705	-0.701
GO_CELLULAR_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION GO_CELLULAR_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	-0.200	0.434	-0.580	-0.580	-0.580	-0.580	2.214	0.892	-0.580	0.892	-0.577
