GO	[-22.20 -0.67]	[-0.67 -0.24]	[-0.24 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.16]	[0.16 0.48]	[0.48 1.01]	[1.01 24.36]
HP_DIALEPTIC_SEIZURE HP_DIALEPTIC_SEIZURE	2.546	3.149	3.473	-2.185	-4.191	-6.740	-5.730	1.761	2.006	0.301	-1.252
HP_NON_MOTOR_SEIZURE HP_NON_MOTOR_SEIZURE	2.822	1.947	2.822	-1.619	-3.410	-5.796	-4.841	1.033	1.947	0.547	-1.057
DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS	3.870	0.659	-4.548	-1.443	-0.921	-1.443	0.292	-1.775	-0.921	0.821	5.962
FAN_EMBRYONIC_CTX_ASTROCYTE_2 FAN_EMBRYONIC_CTX_ASTROCYTE_2	2.536	0.808	-0.593	-0.446	-3.486	-4.221	-4.221	-0.329	1.427	2.229	1.680
DESCARTES_FETAL_SPLEEN_LYMPHOID_CELLS DESCARTES_FETAL_SPLEEN_LYMPHOID_CELLS	2.448	0.827	-1.555	-0.922	-1.555	-3.975	-1.982	-0.922	0.486	3.985	2.123
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	2.237	-0.407	-0.841	-1.042	-2.616	-2.210	-1.545	-1.275	0.622	3.767	3.777
DESCARTES_FETAL_LIVER_LYMPHOID_CELLS DESCARTES_FETAL_LIVER_LYMPHOID_CELLS	2.707	0.787	-1.252	-0.726	-1.252	-2.039	-1.252	-1.606	-0.961	0.989	6.214
GOMF_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2.348	4.884	0.722	-0.663	-4.402	-1.084	-3.032	-0.276	0.439	-0.505	0.330
DESCARTES_FETAL_MUSCLE_SCHWANN_CELLS DESCARTES_FETAL_MUSCLE_SCHWANN_CELLS	3.977	0.593	-1.380	-1.380	-0.581	-1.054	-1.784	-2.284	-0.791	1.477	3.984
DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS	4.012	-0.538	-0.938	-0.395	-3.646	-0.395	-2.390	-0.717	-0.395	0.744	4.440
DESCARTES_FETAL_PLACENTA_PAEP_MECOM_POSITIVE_CELLS DESCARTES_FETAL_PLACENTA_PAEP_MECOM_POSITIVE_CELLS	6.142	0.925	-0.606	-2.272	-2.738	-0.990	-1.530	-0.781	0.468	0.260	2.365
HELLER_SILENCED_BY_METHYLATION_DN HELLER_SILENCED_BY_METHYLATION_DN	3.657	0.419	0.419	-0.868	-3.366	-3.366	-2.006	0.576	1.489	1.489	-0.449
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	3.553	0.692	0.841	-0.737	-2.335	-3.768	-2.335	-0.457	2.921	-0.585	0.845
HP_CARDIAC_ARREST HP_CARDIAC_ARREST	2.321	0.935	0.735	-1.097	-2.346	-2.346	-3.784	0.291	2.671	0.735	-0.310
