GO	[-1.86 -0.20]	[-0.20 -0.14]	[-0.14 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.01]	[-0.01 0.02]	[0.02 0.06]	[0.06 0.10]	[0.10 0.17]	[0.17 0.62]
MIR1304_5P MIR1304_5P	-0.611	-0.611	0.933	-0.611	-0.611	3.145	0.303	-1.206	1.894	-0.611	-1.221
CTCTGGA_MIR520A_MIR525 CTCTGGA_MIR520A_MIR525	-0.285	0.524	0.524	0.318	0.524	2.897	-2.087	0.524	-0.494	-0.814	-2.114
MIR1255B_2_3P MIR1255B_2_3P	2.945	0.398	-1.038	-1.038	-0.492	0.729	-1.038	0.729	-0.222	0.398	-1.052
MIR6728_3P MIR6728_3P	0.647	2.702	-0.551	1.038	-0.551	-0.551	0.347	0.647	-1.122	-1.122	-1.136
MIR6073 MIR6073	1.592	-0.735	0.231	0.231	0.758	-0.735	0.454	-0.735	-1.373	2.114	-1.391
MIR4711_3P MIR4711_3P	0.256	-0.830	4.602	-0.351	-0.351	-0.351	-0.351	0.567	-0.830	-0.830	0.251
MIR4530 MIR4530	-1.247	0.541	-0.320	-1.247	-0.642	0.283	0.541	0.283	0.886	2.385	-1.263
MIR6740_3P MIR6740_3P	0.684	1.038	0.684	-0.799	-0.799	-1.457	-1.457	0.684	1.462	-0.799	0.394
MIR3663_5P MIR3663_5P	1.055	-0.497	1.738	-0.497	-0.497	-0.497	-0.497	-0.497	1.738	0.166	-0.504
MIR6736_5P MIR6736_5P	1.151	-0.456	2.761	0.187	0.579	-0.456	-0.456	-0.456	-0.456	-0.456	-0.462
MIR3151_5P MIR3151_5P	-0.539	1.609	-0.539	-0.176	-0.176	-0.539	-0.539	1.609	-0.539	-0.539	0.958
SNAPC4_TARGET_GENES SNAPC4_TARGET_GENES	0.187	-0.456	-0.456	1.151	-0.456	-0.456	-0.456	1.151	-0.456	-0.456	1.864
