[MIR665,MIR665] was killed by [MIR4650_3P,MIR4650_3P]
[MIR7161_5P,MIR7161_5P] was killed by [MIR548U,MIR548U]
[MIR4677_3P,MIR4677_3P] was killed by [MIR4679,MIR4679]
[MIR223_3P,MIR223_3P] was killed by [MIR6134,MIR6134]
[MIR378A_5P,MIR378A_5P] was killed by [MIR6134,MIR6134]
[MIR3154,MIR3154] was killed by [MIR6882_3P,MIR6882_3P]
[MIR4786_5P,MIR4786_5P] was killed by [MIR548U,MIR548U]
[MIR6716_5P,MIR6716_5P] was killed by [MIR4679,MIR4679]
[MIR3149,MIR3149] was killed by [MIR5681B,MIR5681B]
[MIR4693_5P,MIR4693_5P] was killed by [MIR4679,MIR4679]
[MIR6079,MIR6079] was killed by [MIR6882_3P,MIR6882_3P]
[MIR891B,MIR891B] was killed by [MIR5681B,MIR5681B]
[MIR1285_5P,MIR1285_5P] was killed by [MIR4446_3P,MIR4446_3P]
[MIR4428,MIR4428] was killed by [MIR4797_5P,MIR4797_5P]
[MIR129_1_3P_MIR129_2_3P,MIR129_1_3P_MIR129_2_3P] was killed by [MIR548U,MIR548U]
[MIR4457,MIR4457] was killed by [MIR548U,MIR548U]
