GO	[-6.33 -1.22]	[-1.22 -0.34]	[-0.34 0.42]	[0.42 0.87]	[0.87 1.26]	[1.26 1.59]	[1.59 1.96]	[1.96 2.37]	[2.37 3.09]	[3.09 4.19]	[4.19 6.64]
GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	-0.710	-3.153	-0.710	-2.157	0.407	-0.710	0.678	0.407	0.407	2.269	2.891
GSE19923_WT_VS_E2A_KO_DP_THYMOCYTE_UP GSE19923_WT_VS_E2A_KO_DP_THYMOCYTE_UP	0.800	-0.799	1.355	-1.147	-2.259	-1.616	0.579	2.055	-1.616	0.800	0.797
GSE27896_HDAC6_KO_VS_WT_TREG_UP GSE27896_HDAC6_KO_VS_WT_TREG_UP	-3.349	-0.582	-1.695	-0.582	1.658	0.928	-0.582	-0.424	0.734	2.264	0.418
GSE24574_BCL6_LOW_TFH_VS_TCONV_CD4_TCELL_DN GSE24574_BCL6_LOW_TFH_VS_TCONV_CD4_TCELL_DN	0.270	-0.334	2.044	1.434	0.393	1.169	0.393	-1.600	-2.078	-2.681	0.269
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP	-0.597	-1.047	-0.798	-1.047	0.291	-3.385	0.715	1.914	1.626	1.362	0.290
GSE14308_TH2_VS_TH1_DN GSE14308_TH2_VS_TH1_DN	0.578	-0.813	0.426	-3.768	2.386	0.301	-0.301	-1.823	0.301	0.426	1.193
GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_DN GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_DN	-0.627	-0.461	-1.398	-0.627	-0.331	-1.088	0.680	-0.833	-0.833	3.989	2.466
GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	-1.314	-2.203	-1.711	-0.262	0.648	-0.262	2.214	-1.314	1.310	0.648	1.058
GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP	0.323	-0.812	0.462	2.258	-0.280	2.626	-0.812	-3.270	-0.586	0.323	-0.588
GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP	-0.291	3.180	0.595	0.778	1.487	-2.297	-0.418	-1.388	0.311	-1.059	-1.062
GSE17721_0.5H_VS_12H_POLYIC_BMDC_UP GSE17721_0.5H_VS_12H_POLYIC_BMDC_UP	1.877	0.448	2.214	0.312	0.312	-1.956	-0.425	-0.602	-1.956	1.032	-1.496
GSE14308_TH1_VS_TH17_DN GSE14308_TH1_VS_TH17_DN	-0.582	-2.140	0.565	1.390	-1.328	0.301	-0.424	0.301	-1.026	-0.424	4.156
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_DN GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_DN	0.685	-2.141	-0.704	-2.751	0.885	-0.704	0.885	0.512	1.964	0.885	-0.707
GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP	0.482	-0.538	-0.262	-1.314	-1.314	-1.314	-0.995	-0.262	0.648	0.841	4.671
GSE17974_1H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP GSE17974_1H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP	-1.413	-1.413	-0.872	-0.872	-1.765	0.339	0.763	-0.266	1.387	2.856	1.153
GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_DN GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_DN	-0.452	-0.635	-1.546	0.577	-0.452	1.499	-2.612	-0.635	-0.312	2.861	0.977
GSE31082_DN_VS_DP_THYMOCYTE_DN GSE31082_DN_VS_DP_THYMOCYTE_DN	-0.610	-1.324	-1.665	-1.039	-0.330	0.274	1.255	-0.330	-1.039	2.357	2.678
GSE17721_LPS_VS_POLYIC_4H_BMDC_DN GSE17721_LPS_VS_POLYIC_4H_BMDC_DN	1.334	-0.816	-0.449	-1.747	0.282	0.697	4.047	-0.321	-0.816	0.282	-1.752
GSE21033_1H_VS_12H_POLYIC_STIM_DC_DN GSE21033_1H_VS_12H_POLYIC_STIM_DC_DN	-1.311	-0.442	-1.808	0.658	-1.808	0.313	2.141	-0.289	0.313	-0.442	2.531
GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	-0.371	-1.765	-1.118	-1.765	-0.872	-0.669	-0.266	1.387	1.639	0.949	2.200
GSE42724_NAIVE_VS_MEMORY_BCELL_UP GSE42724_NAIVE_VS_MEMORY_BCELL_UP	-1.412	-0.553	-1.054	0.669	1.675	1.113	-0.773	1.998	-1.412	0.876	-1.415
