GO	[-1.00 -0.98]	[-0.98 -0.88]	[-0.88 -0.78]	[-0.78 -0.65]	[-0.65 -0.48]	[-0.48 -0.19]	[-0.19 0.39]	[0.39 0.71]	[0.71 0.94]	[0.94 1.00]	[1.00 1.00]
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.648	0.381	-1.494	1.867	-0.234	1.867	0.381	-0.829	-1.494	-0.234	-1.501
WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA	3.035	-0.757	0.572	-1.228	-0.451	-0.757	-1.228	-0.451	-0.757	-0.256	3.020
REACTOME_INFLUENZA_INFECTION REACTOME_INFLUENZA_INFECTION	1.009	1.332	-1.683	-0.740	0.316	-0.287	1.332	1.009	-0.287	-0.740	-2.549
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	-0.407	-1.411	-1.411	-0.407	1.082	1.082	0.717	0.427	1.517	-0.407	-1.417
WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER	0.279	-0.324	0.279	-0.787	-0.787	-0.787	2.275	0.609	-0.787	-0.787	1.610
REACTOME_NETRIN_1_SIGNALING REACTOME_NETRIN_1_SIGNALING	-0.247	-0.663	1.943	-0.663	-0.247	0.362	-0.663	-0.663	2.703	-0.663	-0.249
REACTOME_SELECTIVE_AUTOPHAGY REACTOME_SELECTIVE_AUTOPHAGY	1.686	2.146	-0.703	-0.703	0.923	-0.412	0.626	-1.911	-1.160	-0.412	-0.415
BIOCARTA_NO1_PATHWAY BIOCARTA_NO1_PATHWAY	0.187	2.753	-0.456	-0.456	-0.456	1.878	0.187	-0.456	-0.456	-0.456	-0.457
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	-0.912	-0.912	-0.912	-0.406	-0.912	0.491	1.938	0.491	0.491	1.360	-0.408
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	-0.248	-0.248	-0.248	1.917	-0.248	-0.248	-0.248	1.917	-0.248	-0.248	-0.249
