GO	[-19.75 -4.15]	[-4.15 -3.21]	[-3.21 -2.55]	[-2.55 -2.03]	[-2.03 -1.49]	[-1.49 -0.64]	[-0.64 1.05]	[1.05 1.91]	[1.91 2.76]	[2.76 4.07]	[4.07 19.62]
HOSHIDA_LIVER_CANCER_SUBCLASS_S2 HOSHIDA_LIVER_CANCER_SUBCLASS_S2	6.387	0.766	-0.626	-0.626	-1.966	-0.251	-0.936	1.341	-0.405	-1.966	-0.634
DANG_MYC_TARGETS_UP DANG_MYC_TARGETS_UP	-0.860	-1.858	0.250	0.250	0.250	0.605	1.465	3.685	-0.860	0.250	-2.756
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	-0.870	0.527	0.527	-0.378	-0.870	-0.870	2.040	0.236	2.040	-0.870	-0.875
MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_UP MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_UP	-0.315	2.422	-1.750	-2.616	-0.508	0.288	0.677	1.599	-0.508	0.460	-0.514
PHONG_TNF_RESPONSE_VIA_P38_PARTIAL PHONG_TNF_RESPONSE_VIA_P38_PARTIAL	-0.986	1.200	0.731	-0.506	-0.715	0.259	-1.773	-1.332	-0.986	1.790	2.471
RIZKI_TUMOR_INVASIVENESS_2D_DN RIZKI_TUMOR_INVASIVENESS_2D_DN	1.724	-0.671	0.837	-1.285	-1.285	-1.285	0.509	1.724	0.264	-0.341	-0.345
BROWNE_HCMV_INFECTION_30MIN_DN BROWNE_HCMV_INFECTION_30MIN_DN	2.360	-0.527	0.909	-0.329	-1.786	0.441	-0.811	-0.811	-1.786	1.210	0.645
MARTINEZ_RESPONSE_TO_TRABECTEDIN_UP MARTINEZ_RESPONSE_TO_TRABECTEDIN_UP	2.254	-1.036	0.398	-1.036	-1.036	-0.491	1.151	-0.491	1.151	-0.491	-0.224
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	0.287	1.020	-2.158	2.212	-0.316	-0.865	0.477	-1.363	-0.865	0.722	0.472
KYNG_DNA_DAMAGE_BY_UV KYNG_DNA_DAMAGE_BY_UV	-0.610	-1.202	-0.610	-0.610	0.573	-0.299	0.573	0.930	3.119	-1.202	-0.302
VALK_AML_WITH_FLT3_ITD VALK_AML_WITH_FLT3_ITD	-0.704	-0.704	-0.272	-0.704	2.546	-0.704	0.707	1.208	-0.272	0.332	-0.708
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	-0.222	-1.036	-0.491	-1.036	1.151	1.151	0.727	1.662	-0.491	-0.491	-1.041
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP	-0.199	-0.199	-0.199	1.490	-0.199	-0.580	-0.580	-0.580	-0.580	-0.580	3.046
DAVIES_MULTIPLE_MYELOMA_VS_MGUS_DN DAVIES_MULTIPLE_MYELOMA_VS_MGUS_DN	0.477	-0.538	-0.176	-0.538	-0.538	4.281	-0.176	-0.538	-0.538	-0.176	-0.178
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP	1.605	-0.538	-0.538	-0.538	-0.538	-0.538	-0.538	2.373	-0.176	-0.176	0.474
MULLIGAN_NTF3_SIGNALING_VIA_INSR_AND_IGF1R_UP MULLIGAN_NTF3_SIGNALING_VIA_INSR_AND_IGF1R_UP	-0.580	0.892	-0.580	2.215	0.892	-0.580	0.434	-0.580	-0.580	-0.580	-0.201
RAHMAN_TP53_TARGETS_PHOSPHORYLATED RAHMAN_TP53_TARGETS_PHOSPHORYLATED	-0.373	-0.373	0.240	-0.373	-0.373	-0.373	4.438	0.240	0.240	-0.373	-0.375
