symbol	meth.diff	pvalue
ABCA1	9.09090909090909	0.379310344827586
ABCG2	-9.67741935483871	0.547848634632526
ACAD9	10.9523809523809	0.266111625038545
ACP5	-10	0.682128166685888
ADAM12	-17.6470588235294	0.257936507936508
ADAMTS3	-30	0.0295566502463054
ADAMTS7P1	-40	0.0350877192982456
ADCYAP1	-31.6017316017316	0.0367074527252503
ADGRB3-DT	28.5714285714286	0.105217391304348
ADORA1	25	0.234116912835448
ADPRS	10	0.344827586206897
AGTR1	-48.2051282051282	0.016323417238749
AHNAK2	-27.2727272727273	0.0406403940886699
AKAP11	25.7692307692308	0.0656748238783834
ALDH3B1	-30	0.0241935483870968
ALDOC	-30	0.0521739130434783
ALPG	29.4545454545455	0.0961625195128107
AMPD3	-16.6666666666667	0.125
ANKRD24	9.25925925925926	0.31578947368421
ANKRD30B	-15.3846153846154	0.110953058321479
AQP4	-50	0.0697785186949273
AQP4-AS1	-56.6666666666667	0.00602593440122044
ARHGAP45	-22.2727272727273	0.115366279993644
ARHGEF1	-8.69565217391304	0.509246088193457
ARHGEF11	17.5	0.340224992398905
ARHGEF37	-12.4401913875598	0.706520073296685
ARL6IP6	10	0.24390243902439
ATOH7	-30	0.0900291575937627
ATP13A3-DT	10	0.303030303030303
ATP2B2	-27.4509803921569	0.129636646878026
ATP8B1	-24.1758241758242	0.112932686518732
ATP8B2	-17.6470588235294	0.273504273504274
AVPI1	-25.4545454545455	0.0792547274749722
BATF2	-19.1176470588235	0.278514588859416
BEST1	-21.4285714285714	0.402846951137435
BEST3	-25	0.0671550671550672
BHLHE40	9.09090909090909	0.289473684210526
BIN2	-39.2045454545455	0.0265328874024526
BMP2	-30	0.0521739130434783
BMS1	-40	0.00452820424357427
BMS1P22	18.1818181818182	0.308653850254591
BMS1P23	4.77272727272727	0.529597865446922
BNIP1	-10.7142857142857	0.551920341394026
C10orf71-AS1	-9.09090909090909	0.314285714285714
C12orf75	-12.2222222222222	0.626373626373626
C18orf15	-24.7368421052632	0.104837691044588
C18orf63	-16.2962962962963	0.171814671814672
C2CD2	21.0227272727273	0.272934472934473
C4orf33	10	0.357142857142857
C9orf129	-43.3333333333333	0.0346262433218955
CABLES1	-46.8013468013468	0.011705228217297
CABLES2	-20.9090909090909	0.31077694235589
CACNA1C-AS1	41.6666666666667	0.00466126383812702
CACNA2D1	-20	0.628482972136223
CAMK2D	18.1818181818182	0.169230769230769
CASC11	-15.3383458646616	0.0603116886570686
CAV1	-21.4285714285714	0.239130434782609
CCAT1	-26.268115942029	0.00404019986740189
CCBE1	-14.5161290322581	0.472380418918212
CCDC142	4.48717948717949	0.537695590327169
CCDC185	-22.8571428571429	0.272068511198946
CCDC40	-46.25	0.00790855793999385
CCN6	-18.1818181818182	0.135467980295567
CCT6P3	-17.0588235294118	0.124584717607973
CD70	14.4736842105263	0.349859632395784
CDC42BPB	8.57142857142857	0.66533180778032
CDCP2	-11.6666666666667	0.295247724974722
CDH23	15.2406417112299	0.143410852713178
CDK2AP2	13.3333333333333	0.646174259177355
CDK8	9.09090909090909	0.297297297297297
CDKN1A	9.09090909090909	0.224489795918367
CEBPZOS	10	0.294117647058823
CELF4	-36.8181818181818	0.0656395304651821
CENPA	-15.3846153846154	0.486166007905138
CERS2	-10.3448275862069	0.547975708502024
CFAP43	4.92424242424243	0.536134453781513
