GO	[-6.16 -1.22]	[-1.22 -0.37]	[-0.37 0.39]	[0.39 0.85]	[0.85 1.24]	[1.24 1.57]	[1.57 1.92]	[1.92 2.34]	[2.34 3.05]	[3.05 4.14]	[4.14 6.64]
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	1.839	2.478	-0.953	-0.953	-0.953	-0.953	1.839	0.200	-0.953	-0.434	-0.437
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	2.215	2.215	-0.580	-0.580	-0.580	-0.580	1.490	-0.580	-0.580	-0.580	-0.583
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	1.716	1.716	-0.746	-0.746	-0.298	-0.746	1.716	0.304	-0.746	-0.746	-0.749
GOBP_POSITIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY GOBP_POSITIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY	-0.204	-0.204	-0.204	1.748	3.057	-0.995	-0.995	-0.995	0.427	-0.995	-0.465
GOBP_SMOOTH_MUSCLE_CELL_MIGRATION GOBP_SMOOTH_MUSCLE_CELL_MIGRATION	-0.434	-0.953	-0.953	-0.953	0.200	-0.434	2.478	0.200	-0.953	1.839	0.817
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	2.312	2.312	-0.861	-0.477	-0.861	-1.535	0.942	0.359	-0.861	-0.250	-0.867
GOBP_REGULATION_OF_CELL_KILLING GOBP_REGULATION_OF_CELL_KILLING	1.304	1.801	-1.244	-1.244	0.283	-0.320	1.801	-0.320	-1.244	-0.320	-0.645
GOBP_MIDBRAIN_DEVELOPMENT GOBP_MIDBRAIN_DEVELOPMENT	0.339	-1.576	-0.501	0.900	0.585	-0.501	-1.576	0.900	-1.576	0.900	1.273
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	0.681	-1.452	-0.430	1.033	1.453	-1.452	-0.218	-0.218	-0.430	1.453	-1.459
GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY	0.572	-0.256	-0.256	1.571	2.496	0.352	-1.227	-1.227	0.352	-1.993	-0.762
GOBP_REGULATION_OF_FATTY_ACID_BETA_OXIDATION GOBP_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	-0.538	-0.538	-0.538	-0.176	-0.176	-0.538	4.282	-0.176	-0.538	-0.538	0.964
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	0.396	2.871	1.387	0.396	-0.621	-0.621	-0.223	-0.621	-0.621	-0.621	-0.624
GOBP_MEIOTIC_CELL_CYCLE_PROCESS GOBP_MEIOTIC_CELL_CYCLE_PROCESS	1.691	-0.541	0.397	1.357	0.580	-3.204	-1.147	0.580	-0.541	0.580	-0.807
GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS	1.141	-0.783	0.334	1.946	1.141	-2.034	-0.783	0.334	-0.783	0.547	-1.269
GOBP_T_CELL_MEDIATED_CYTOTOXICITY GOBP_T_CELL_MEDIATED_CYTOTOXICITY	0.396	2.871	-0.621	-0.223	-0.621	-0.621	0.824	0.824	-0.621	-0.621	-0.624
GOBP_PROTEIN_ACETYLATION GOBP_PROTEIN_ACETYLATION	-3.317	-0.567	-0.763	-0.763	0.952	-0.412	-0.412	2.311	-0.412	1.423	0.743
GOBP_REGULATION_OF_FATTY_ACID_OXIDATION GOBP_REGULATION_OF_FATTY_ACID_OXIDATION	-0.298	0.304	-0.746	-0.298	-0.298	-0.746	4.068	0.304	-0.746	-0.746	0.652
GOBP_MUSCLE_CELL_MIGRATION GOBP_MUSCLE_CELL_MIGRATION	-0.671	-0.671	-0.671	-0.671	-0.341	-0.671	1.724	0.264	-1.285	2.274	1.236
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	-0.204	-0.204	-0.462	-0.462	-0.995	3.057	0.427	1.216	-0.995	-0.204	-0.999
GOBP_TRANSLATIONAL_ELONGATION GOBP_TRANSLATIONAL_ELONGATION	0.893	1.145	0.337	1.429	0.489	-1.569	-0.590	0.675	-1.155	-2.818	0.332
GOBP_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY GOBP_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	0.509	-1.285	-1.285	-0.671	0.509	0.837	0.264	-1.285	0.837	-0.341	1.714
GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.352	0.572	0.352	-0.256	-1.993	-0.451	3.608	-0.756	0.572	-0.756	-0.762
GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	-0.538	0.968	-0.538	-0.176	-0.538	0.477	-0.538	-0.176	-0.538	3.267	-0.541
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	2.042	1.258	-0.414	-0.414	-0.414	-0.414	1.258	-0.414	-0.414	-0.414	-0.416
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	2.042	1.258	-0.414	-0.414	-0.414	-0.414	1.258	-0.414	-0.414	-0.414	-0.416
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM	-0.272	3.369	-0.272	-0.704	-0.272	-0.704	-0.704	0.707	-0.704	0.707	-0.274
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE	0.187	3.768	-0.455	0.187	-0.455	-0.455	0.579	0.187	-0.455	-0.455	-0.458
GOBP_TAIL_ANCHORED_MEMBRANE_PROTEIN_INSERTION_INTO_ER_MEMBRANE GOBP_TAIL_ANCHORED_MEMBRANE_PROTEIN_INSERTION_INTO_ER_MEMBRANE	0.211	4.076	-0.414	0.211	-0.414	-0.414	0.211	0.211	-0.414	-0.414	-0.416
GOBP_REGULATION_OF_RESPONSE_TO_EXTRACELLULAR_STIMULUS GOBP_REGULATION_OF_RESPONSE_TO_EXTRACELLULAR_STIMULUS	2.551	-0.497	0.167	-0.497	0.167	1.053	0.525	-0.497	-0.497	-0.497	-0.499
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	0.579	1.877	-0.455	-0.455	-0.455	-0.455	1.149	0.579	-0.455	-0.455	-0.458
