Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),induction,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time
SRR3214253,RNA-Seq,86,1486841616,PRJNA314802,SAMN04543575,647290289,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1621718,GSM2084371,None,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:17:00Z,1,GSM2084371,HL-60,SRP071547,0 hr
SRR3214254,RNA-Seq,86,349108228,PRJNA314802,SAMN04543576,147787366,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1621719,GSM2084372,None,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:14:00Z,1,GSM2084372,HL-60,SRP071547,0 hr
SRR3214255,RNA-Seq,86,1381510364,PRJNA314802,SAMN04543577,583734234,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1621720,GSM2084373,None,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:16:00Z,1,GSM2084373,HL-60,SRP071547,0 hr
SRR3214256,RNA-Seq,86,1549654382,PRJNA314802,SAMN04543578,678918306,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1621721,GSM2084374,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:15:00Z,1,GSM2084374,Macrophage,SRP071547,3 hr
SRR3214257,RNA-Seq,86,2647714250,PRJNA314802,SAMN04543579,1118444995,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1621722,GSM2084375,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:18:00Z,1,GSM2084375,Macrophage,SRP071547,3 hr
SRR3214258,RNA-Seq,86,1112019732,PRJNA314802,SAMN04543580,475841695,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1621723,GSM2084376,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:14:00Z,1,GSM2084376,Macrophage,SRP071547,3 hr
SRR3214259,RNA-Seq,86,1587293572,PRJNA314802,SAMN04543581,687427220,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1621724,GSM2084377,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:15:00Z,1,GSM2084377,Macrophage,SRP071547,6 hr
SRR3214260,RNA-Seq,86,1556895926,PRJNA314802,SAMN04543582,686340004,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1621725,GSM2084378,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:14:00Z,1,GSM2084378,Macrophage,SRP071547,6 hr
SRR3214261,RNA-Seq,86,1340767434,PRJNA314802,SAMN04543583,565120518,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX1621726,GSM2084379,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:14:00Z,1,GSM2084379,Macrophage,SRP071547,6 hr
SRR3214262,RNA-Seq,86,2033268502,PRJNA314802,SAMN04543584,887212823,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1621727,GSM2084380,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:14:00Z,1,GSM2084380,Macrophage,SRP071547,12 hr
SRR3214263,RNA-Seq,86,703633768,PRJNA314802,SAMN04543585,304446756,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1621728,GSM2084381,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:11:00Z,1,GSM2084381,Macrophage,SRP071547,12 hr
SRR3214264,RNA-Seq,86,953489138,PRJNA314802,SAMN04543586,404835609,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1621729,GSM2084382,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T20:11:00Z,1,GSM2084382,Macrophage,SRP071547,12 hr
