GO	[-15.83 -0.95]	[-0.95 -0.45]	[-0.45 -0.09]	[-0.09 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.58]	[0.58 0.66]	[0.66 1.74]	[1.74 26.66]
MEK_UP.V1_UP MEK_UP.V1_UP	-0.407	-0.407	-0.309	-1.855	-5.768	-5.768	-1.545	1.977	-1.042	8.373	5.266
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	-0.737	-0.351	-0.585	-2.335	-4.390	-5.955	-0.585	1.390	-0.264	10.010	2.929
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	-0.607	1.479	0.344	-3.094	-3.668	-5.136	0.882	-0.262	-1.208	2.523	6.275
GSE3982_NKCELL_VS_TH1_UP GSE3982_NKCELL_VS_TH1_UP	-0.658	0.396	2.840	-4.191	-3.052	-5.730	0.396	0.780	-0.658	4.165	2.013
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.457	-0.474	-1.258	-1.007	-3.960	-2.767	-1.897	-0.796	1.531	4.782	6.088
DURAND_STROMA_NS_UP DURAND_STROMA_NS_UP	-0.356	-0.261	2.624	-4.731	-4.731	-2.767	-0.620	0.587	-0.356	3.997	2.631
GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP	-0.886	0.359	5.903	-2.697	-5.039	-2.697	0.271	1.656	-1.331	1.045	2.152
DESCARTES_FETAL_LIVER_MEGAKARYOCYTES DESCARTES_FETAL_LIVER_MEGAKARYOCYTES	0.347	-1.046	-1.315	-2.007	-2.007	-2.449	-1.633	0.347	0.599	6.844	5.013
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	-0.545	-2.045	-1.687	-0.415	-4.952	-1.379	-1.115	0.800	2.706	3.708	3.717
GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP	-0.351	-0.351	0.341	-0.737	-2.335	-3.226	-2.335	-0.585	0.341	2.349	9.003
FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON	0.630	-0.580	0.630	-4.621	-4.621	-3.220	0.630	0.964	0.787	2.139	2.437
GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_UP GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_UP	2.432	1.034	-1.423	-2.457	-2.909	-1.720	-0.755	-0.595	0.343	1.432	4.416
PTEN_DN.V1_UP PTEN_DN.V1_UP	1.530	0.379	-0.699	-1.633	-1.633	-3.305	-0.421	-0.699	0.619	0.490	6.273
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP	0.750	-1.363	-0.713	0.370	-1.111	-4.617	-1.111	-0.559	1.986	2.252	2.840
chrXp21 chrXp21	0.357	-1.961	-1.361	1.335	0.539	0.539	-1.961	-1.961	-0.251	-0.405	5.086
GOMF_METALLOPEPTIDASE_ACTIVITY GOMF_METALLOPEPTIDASE_ACTIVITY	-0.535	-0.309	1.555	-1.324	-3.275	-2.767	-1.076	1.335	0.389	1.555	2.916
MADAN_DPPA4_TARGETS MADAN_DPPA4_TARGETS	-0.714	-0.452	1.038	-2.486	-1.092	-1.640	-0.273	-0.714	2.151	-0.273	4.195
LIEN_BREAST_CARCINOMA_METAPLASTIC LIEN_BREAST_CARCINOMA_METAPLASTIC	-1.367	-0.733	-1.367	-0.733	-0.733	-0.733	-0.385	-0.385	1.130	3.997	2.094
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	-1.524	-1.256	-0.398	-1.524	-0.516	0.396	-1.524	-0.398	1.531	0.780	5.730
GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	-0.311	0.561	0.935	-2.346	-1.097	-1.840	-0.311	-1.097	-0.612	2.321	3.446
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	0.283	-0.973	-1.232	-0.973	0.283	-1.232	-2.335	0.388	2.903	1.224	2.271
