GO	[-20.08 -1.29]	[-1.29 -0.42]	[-0.42 0.32]	[0.32 0.81]	[0.81 1.21]	[1.21 1.56]	[1.56 1.92]	[1.92 2.35]	[2.35 3.06]	[3.06 4.17]	[4.17 20.81]
MIR3925_3P MIR3925_3P	-1.985	-1.985	-0.438	-1.147	-0.851	-0.851	-0.851	0.301	1.005	2.525	5.721
MIR3064_3P MIR3064_3P	-0.792	-1.077	-1.438	-0.792	-0.570	-1.077	-1.438	0.477	2.300	0.334	6.540
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	1.284	3.193	-0.953	-0.953	-0.953	-0.953	1.837	0.199	-0.953	-0.434	-0.433
GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_UP GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_UP	-1.077	0.334	-2.474	0.852	0.477	-0.570	1.954	-0.570	-1.894	3.942	-0.790
GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	-0.710	-3.150	-1.148	-2.155	0.532	-0.710	0.532	0.677	0.406	1.979	3.242
chr9q21 chr9q21	0.359	-0.861	-0.477	-0.250	1.334	-1.535	4.923	-0.477	0.359	-1.535	-0.860
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	1.489	3.056	-0.580	-0.580	-0.580	-0.580	1.489	-0.580	-0.580	-0.580	-0.579
GSE27896_HDAC6_KO_VS_WT_TREG_UP GSE27896_HDAC6_KO_VS_WT_TREG_UP	-3.347	-1.026	-1.694	-0.582	0.927	1.946	-0.582	-0.301	0.420	2.955	0.422
HP_WIDE_NOSE HP_WIDE_NOSE	-2.076	-0.493	-0.811	2.345	-0.811	-0.285	-2.076	0.317	0.317	1.097	1.884
chr19p12 chr19p12	-0.703	-1.327	0.794	-1.327	-0.363	-0.363	-0.703	-0.703	0.247	0.794	4.926
GSE21063_3H_VS_16H_ANTI_IGM_STIM_BCELL_DN GSE21063_3H_VS_16H_ANTI_IGM_STIM_BCELL_DN	-4.541	-0.396	0.937	0.439	0.581	0.320	1.645	-0.283	-0.721	-1.934	1.649
