GO	[-5.47 -0.84]	[-0.84 -0.26]	[-0.26 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.73]	[0.73 6.80]
GO:0017053 transcriptional repressor complex	-0.913	0.877	-0.913	2.615	-0.406	-0.913	-0.913	-0.406	0.217	1.364	0.212
GO:0034314 Arp2/3 complex-mediated actin nucleation	-0.373	-0.373	3.258	-0.373	1.386	-0.373	0.240	-0.373	-0.373	-0.373	-0.377
GO:0061631 ubiquitin conjugating enzyme activity	-0.414	-0.414	-0.414	2.991	-0.414	0.211	1.260	-0.414	0.211	-0.414	-0.419
GO:0031338 regulation of vesicle fusion	-0.456	-0.456	0.579	-0.456	-0.456	0.579	-0.456	-0.456	2.761	-0.456	0.572
GO:0001772 immunological synapse	-0.414	-0.414	-0.414	-0.414	0.641	-0.414	-0.414	2.991	0.211	0.641	-0.419
GO:0034080 CENP-A containing nucleosome assembly	-0.373	-0.373	-0.373	0.240	3.258	0.240	-0.373	-0.373	0.713	-0.373	-0.377
GO:0007612 learning	-0.248	3.065	1.016	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.251
GO:0006361 transcription initiation from RNA polymerase I promoter	2.729	-0.290	-0.290	-0.290	-0.290	-0.290	0.896	-0.290	0.313	-0.290	-0.293
GO:0043304 regulation of mast cell degranulation	-0.165	-0.165	4.177	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.168
GO:0030516 regulation of axon extension	-0.207	-0.207	-0.207	-0.207	-0.207	0.421	-0.207	3.510	-0.207	-0.207	-0.209
