GO	[-6.29 -0.68]	[-0.68 -0.17]	[-0.17 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.34]	[0.34 0.99]	[0.99 4.75]
GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN	-0.759	-0.759	0.855	-0.759	0.574	-1.233	-0.255	-0.759	4.963	0.855	-2.029
GSE17721_4H_VS_24H_POLYIC_BMDC_UP GSE17721_4H_VS_24H_POLYIC_BMDC_UP	-0.227	0.928	-1.919	-1.919	0.928	-0.227	1.699	-0.412	1.285	-1.919	-0.235
GSE8515_CTRL_VS_IL1_4H_STIM_MAC_UP GSE8515_CTRL_VS_IL1_4H_STIM_MAC_UP	-0.392	-0.679	-1.877	0.410	1.334	0.226	3.344	-1.877	0.410	-0.679	-0.221
GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP	-0.301	-0.491	2.075	0.302	-0.491	-2.594	0.708	-2.594	0.481	0.708	0.688
GSE21380_NON_TFH_VS_TFH_CD4_TCELL_DN GSE21380_NON_TFH_VS_TFH_CD4_TCELL_DN	-0.549	-0.549	-0.841	-2.722	-0.841	-0.549	1.527	0.632	1.911	-0.549	1.871
GSE45837_WT_VS_GFI1_KO_PDC_DN GSE45837_WT_VS_GFI1_KO_PDC_DN	1.954	-0.218	-0.431	-1.457	-0.799	0.684	-1.457	-1.457	0.684	1.463	0.394
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP	0.954	1.291	-0.348	-0.926	-0.580	0.437	-1.442	0.437	-0.580	2.589	-2.285
GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_DN GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_DN	0.274	2.869	-0.816	0.274	0.656	-2.679	0.274	1.223	0.274	-0.816	-1.247
GSE17721_LPS_VS_CPG_1H_BMDC_DN GSE17721_LPS_VS_CPG_1H_BMDC_DN	-0.898	-0.558	1.336	0.272	-0.898	-2.214	3.196	-0.332	0.990	-0.332	-0.573
GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP	1.345	1.345	0.617	-1.541	0.617	-0.864	-1.541	-1.541	0.360	0.360	0.350
GSE17721_LPS_VS_POLYIC_24H_BMDC_DN GSE17721_LPS_VS_POLYIC_24H_BMDC_DN	0.334	-1.268	1.149	-2.045	-0.270	1.532	1.149	1.149	-0.786	-1.268	-0.485
GSE13547_WT_VS_ZFX_KO_BCELL_DN GSE13547_WT_VS_ZFX_KO_BCELL_DN	-0.255	0.855	-0.255	1.193	-0.452	3.067	-0.759	0.352	-0.759	-2.003	-1.254
GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP	2.377	2.897	-1.302	-0.814	-0.814	0.788	-0.814	0.318	-0.814	-0.494	-0.507
GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_UP GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_UP	0.428	-1.415	-1.415	0.428	0.215	1.526	-1.415	-0.767	1.526	0.428	0.418
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_POSITIVE ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_POSITIVE	-1.457	-0.799	-0.799	0.684	-0.799	1.954	-1.457	1.038	0.684	0.684	-0.225
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP	0.758	0.231	0.758	3.349	0.231	-0.736	-0.736	-1.373	-0.385	-1.373	0.224
GSE3982_BASOPHIL_VS_TH1_DN GSE3982_BASOPHIL_VS_TH1_DN	-0.392	0.658	0.410	-0.679	0.226	4.640	-0.392	-0.679	-0.392	-0.392	-1.901
GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP	-0.788	-0.788	0.279	-0.788	-0.788	-0.324	0.279	1.062	1.623	1.623	-0.799
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	-0.759	0.352	0.855	-2.003	0.855	-0.452	-1.233	-0.452	-0.759	0.855	2.482
