# gene_id	Estimate_treatmentDRUG
ENSG00000004059	-0.30937381135719
ENSG00000003056	0.329650648633987
ENSG00000173153	-0.36779221165875
ENSG00000004478	0.356873418480736
ENSG00000003509	-0.46954853836529
ENSG00000001036	-0.279067331034467
ENSG00000001630	0.193693775022583
ENSG00000048028	0.286346665771822
ENSG00000003989	0.238456326026129
ENSG00000006451	0.05079239857889
ENSG00000004975	-0.052450945004976
ENSG00000005175	0.022313496557932
ENSG00000006652	0.101923516831161
ENSG00000007376	0.549736771959896
ENSG00000007520	0.023235231475777
ENSG00000004779	0.41418533868478
ENSG00000008405	0.261799708628171
ENSG00000010270	0.340515037007279
ENSG00000008394	0.196374553778168
ENSG00000008282	0.194629034048974
ENSG00000010017	0.299218901708782
ENSG00000010610	0.283692542937013
ENSG00000008324	-0.504599487845366
ENSG00000011478	0.662723848338997
ENSG00000011485	0.168610088184499
ENSG00000239672	0.036837188364501
ENSG00000012061	0.113940493210876
ENSG00000013583	-0.194285738352061
ENSG00000014919	-0.080513698231409
ENSG00000015532	0.265559246723612
ENSG00000017797	0.086726592931746
ENSG00000022277	0.077182237609689
ENSG00000023287	0.371909931552757
ENSG00000023516	0.258605447014258
ENSG00000007541	0.082654914938533
ENSG00000031003	0.404668956555308
ENSG00000033100	0.052315689284152
ENSG00000034713	0.29066159316548
ENSG00000052841	0.216806436756069
ENSG00000037757	-0.545679706316575
ENSG00000038219	-0.065828368086954
ENSG00000059588	0.351553547211632
ENSG00000041357	-0.028069739131807
ENSG00000043462	0.179087687688488
ENSG00000048544	-0.056009918175186
ENSG00000030582	-0.17382624750863
ENSG00000049541	-0.122638427606297
ENSG00000054967	-0.591374741844585
ENSG00000040933	0.179731927406952
ENSG00000059804	0.277688568527423
ENSG00000060642	0.72477798738545
ENSG00000061794	0.434315898867992
ENSG00000062725	-0.643190390827388
ENSG00000063241	0.206132663914893
ENSG00000068308	0.284468317648177
ENSG00000068394	-0.481510350095609
ENSG00000021776	0.094344451928713
ENSG00000072818	0.17134421303331
ENSG00000076662	0.329146172802314
ENSG00000079616	0.218196115666748
ENSG00000047188	-0.103821698909012
ENSG00000064545	-0.076339295818736
ENSG00000067182	0.274308399924595
ENSG00000066455	0.057829432842748
ENSG00000071539	-0.029082176200661
ENSG00000072506	-0.101517562555203
ENSG00000073849	-0.153347455846228
ENSG00000075336	0.157819413924585
ENSG00000079313	0.354109706309753
ENSG00000075975	0.454384503682077
ENSG00000076650	-0.060882474822063
ENSG00000079999	0.277990783023507
ENSG00000070444	0.414661099769126
ENSG00000070718	-0.056701845744961
ENSG00000068697	-0.839759737385933
ENSG00000070669	-0.130093532996937
ENSG00000072135	-0.258045181715779
ENSG00000072786	0.285581215521842
ENSG00000073331	0.109653584084361
ENSG00000074071	0.370626745179031
ENSG00000137764	-0.440879564287073
ENSG00000065809	0.030372402729176
ENSG00000065883	0.084769127192734
ENSG00000064201	0.292913343874925
ENSG00000064763	-0.500165405668839
ENSG00000065518	-0.332630056888018
ENSG00000068097	-0.308476921969964
ENSG00000068912	0.136694341389145
ENSG00000075568	0.063920726472529
ENSG00000075089	-0.003118129141297
ENSG00000065060	0.045060369830449
ENSG00000081087	0.432339836495241
ENSG00000081791	-0.395013119133088
ENSG00000083444	0.16925904309137
ENSG00000083720	0.309193812138552
ENSG00000084444	0.484527089832971
ENSG00000085514	0.981501319886334
ENSG00000086189	-0.201305397179668
ENSG00000086232	-0.115530353335778
ENSG00000086504	0.22430431831572
ENSG00000086548	-0.38485576649153
ENSG00000086589	0.050089665179246
ENSG00000086827	-0.222398775105825
ENSG00000087077	0.052320007650982
ENSG00000088356	1.13280875298229
ENSG00000188559	0.299137254443471
ENSG00000089009	-0.195984279223085
ENSG00000089048	0.369460841547047
ENSG00000089060	-0.016055514187206
ENSG00000089195	-0.417187633868323
ENSG00000249115	0.075609613307628
ENSG00000010256	0.200048447176298
ENSG00000089639	-0.019573691964257
ENSG00000089693	-0.215130315045915
ENSG00000090447	-0.1383727128987
ENSG00000090470	0.216724974533044
ENSG00000090487	0.680286600952761
ENSG00000090581	0.667645383692177
ENSG00000090615	0.18459603495788
ENSG00000090863	0.124468225353533
ENSG00000157426	-1.07538888489297
ENSG00000091140	0.107227455458905
ENSG00000091640	-0.995541742805098
ENSG00000091947	-0.296944482961721
ENSG00000092036	-0.377092502671305
ENSG00000092067	-0.38152577726843
ENSG00000092094	-0.105035213256336
ENSG00000094804	-0.303158346984373
ENSG00000094914	-0.088312795941789
ENSG00000094916	0.13943009385353
ENSG00000076321	-0.116609687677249
ENSG00000095261	-0.074495702487899
ENSG00000095380	-0.122080092516564
ENSG00000096654	0.485267465793505
ENSG00000035403	0.162332754754804
ENSG00000096717	-0.000308870295805
ENSG00000099203	0.063864980150837
ENSG00000099341	0.157627563851362
ENSG00000099624	0.038156131696559
ENSG00000099795	-0.125322384343566
ENSG00000099797	-0.017776983517615
ENSG00000099804	0.863929272753856
ENSG00000188130	0.164987659531816
ENSG00000099940	-0.177881523683897
ENSG00000099949	0.150755830447657
ENSG00000184436	0.420669487455023
ENSG00000099995	0.028340123422967
ENSG00000100030	-0.323487897104123
ENSG00000100075	-0.057449502698324
ENSG00000241360	-0.356527898085381
ENSG00000100097	-0.255157950326723
ENSG00000100104	0.161932375870234
ENSG00000100162	0.048442501361948
ENSG00000100216	-0.129996437852241
ENSG00000100220	0.128902400451037
ENSG00000100226	-0.256034783379785
ENSG00000100263	0.137250701137903
ENSG00000100281	0.505594880175067
ENSG00000100290	-0.340527914295737
ENSG00000184117	0.270513520292328
ENSG00000100297	0.073960821169646
ENSG00000100299	-0.012352591013771
ENSG00000100304	0.06448713854612
ENSG00000100316	-0.234516031813675
ENSG00000100324	0.364740906792275
ENSG00000100345	0.162245961847373
ENSG00000100348	0.495781739258271
ENSG00000100350	0.500318002123142
ENSG00000100353	-0.077716741323353
ENSG00000100376	0.709809141138531
ENSG00000100380	0.094681292209511
ENSG00000100387	0.379471885441681
ENSG00000100395	0.020045613860063
ENSG00000100410	0.210113779246517
ENSG00000100417	-0.565510382281875
ENSG00000100422	0.065663651330334
ENSG00000100426	-0.000779508599657
ENSG00000100429	-0.010661234914618
ENSG00000090060	0.430589750527436
ENSG00000092201	0.134862125293053
ENSG00000100442	0.372627559407402
ENSG00000100448	0.017470999336372
ENSG00000100473	-0.213846605227552
ENSG00000100479	0.366294982324959
ENSG00000100485	-0.24772747214563
ENSG00000100504	0.170788376075247
