GO	[-1.00 -0.98]	[-0.98 -0.88]	[-0.88 -0.78]	[-0.78 -0.64]	[-0.64 -0.48]	[-0.48 -0.20]	[-0.20 0.38]	[0.38 0.71]	[0.71 0.93]	[0.93 1.00]	[1.00 1.00]
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.647	0.381	-1.492	1.864	-0.234	1.864	0.381	-0.828	-1.492	-0.234	-1.502
TCGA_GLIOBLASTOMA_COPY_NUMBER_UP TCGA_GLIOBLASTOMA_COPY_NUMBER_UP	0.431	0.240	2.818	-0.650	-1.825	-1.091	0.240	0.431	1.374	-1.825	0.236
WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA	3.027	-0.756	0.572	-1.226	-0.451	-0.756	-1.226	-0.451	-0.756	-0.256	3.003
MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP	-0.745	-0.298	3.189	-0.298	-0.745	0.656	-0.745	-0.745	1.130	0.304	-0.750
KAN_RESPONSE_TO_ARSENIC_TRIOXIDE KAN_RESPONSE_TO_ARSENIC_TRIOXIDE	-0.599	0.477	-0.335	0.269	1.482	-0.599	-1.742	1.934	-0.599	-1.742	1.075
REACTOME_INFLUENZA_INFECTION REACTOME_INFLUENZA_INFECTION	1.007	1.330	-1.679	-0.738	0.316	-0.286	1.330	1.007	-0.286	-0.738	-2.549
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	-0.407	-1.409	-1.409	-0.407	1.081	1.081	0.428	0.717	1.516	-0.407	-1.419
LEE_AGING_CEREBELLUM_DN LEE_AGING_CEREBELLUM_DN	0.573	-1.202	-1.202	1.881	-0.299	-0.610	1.881	0.573	-0.299	-1.202	-0.303
REACTOME_NETRIN_1_SIGNALING REACTOME_NETRIN_1_SIGNALING	-0.247	-0.662	1.942	-0.662	-0.247	0.363	-0.662	-0.662	2.701	-0.662	-0.250
YU_MYC_TARGETS_DN YU_MYC_TARGETS_DN	0.837	0.509	-0.671	-0.341	-1.285	2.273	0.837	0.264	-1.285	-1.285	0.261
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_UP PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_UP	0.850	-0.451	0.572	1.184	0.850	-1.991	-0.256	-0.756	1.184	-0.451	-2.005
REACTOME_SELECTIVE_AUTOPHAGY REACTOME_SELECTIVE_AUTOPHAGY	1.683	2.142	-0.702	-0.702	0.922	-0.411	0.626	-1.908	-1.158	-0.411	-0.417
WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER	0.279	-0.324	0.279	-0.787	-0.787	-0.787	1.616	1.058	-0.787	-0.787	1.605
BIOCARTA_NO1_PATHWAY BIOCARTA_NO1_PATHWAY	0.187	2.751	-0.455	-0.455	-0.455	1.877	0.187	-0.455	-0.455	-0.455	-0.458
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	-0.911	-0.911	-0.911	-0.405	-0.911	0.491	1.936	0.491	0.491	1.359	-0.409
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	-1.742	2.999	0.477	0.269	0.477	-0.599	0.477	-0.335	-1.742	0.269	-0.340
KAMIKUBO_MYELOID_CEBPA_NETWORK KAMIKUBO_MYELOID_CEBPA_NETWORK	-0.662	0.763	-0.247	-0.662	-0.662	-0.247	-0.247	-0.247	3.563	-0.662	0.359
