GO	[-4.56 -0.39]	[-0.39 -0.12]	[-0.12 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.02]	[0.02 0.30]	[0.30 7.02]
GOBP_CELLULAR_PIGMENTATION GOBP_CELLULAR_PIGMENTATION	-0.498	-0.498	-0.498	2.558	-0.498	2.558	-0.498	-0.498	-0.498	-0.498	0.524
HP_ABNORMAL_ATRIOVENTRICULAR_VALVE_MORPHOLOGY HP_ABNORMAL_ATRIOVENTRICULAR_VALVE_MORPHOLOGY	-0.342	-0.674	0.263	0.509	4.341	0.509	-0.674	0.263	-0.342	-1.291	-1.291
GOBP_AUTOPHAGY_OF_MITOCHONDRION GOBP_AUTOPHAGY_OF_MITOCHONDRION	-0.352	-0.831	0.566	3.701	-0.352	-0.352	0.566	-0.831	-0.831	0.566	-0.831
GOBP_POSITIVE_REGULATION_OF_PEPTIDE_SECRETION GOBP_POSITIVE_REGULATION_OF_PEPTIDE_SECRETION	2.162	-0.352	0.566	-0.831	-0.352	-0.831	0.256	-0.352	-0.831	2.162	-0.831
HP_ALOPECIA HP_ALOPECIA	-0.204	0.774	1.219	1.219	-0.998	-0.998	-0.998	1.219	-0.998	-0.464	-0.204
GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY	-0.539	-0.539	1.608	-0.539	0.969	1.608	-0.539	0.476	-0.539	-0.539	-0.539
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	-1.207	0.573	0.573	1.892	0.302	-0.300	-1.207	-0.300	-0.612	1.373	-1.207
HP_ABNORMAL_ASTROCYTE_MORPHOLOGY HP_ABNORMAL_ASTROCYTE_MORPHOLOGY	0.362	-0.664	-0.664	1.296	-0.248	2.711	-0.664	-0.248	-0.664	0.362	-0.664
GOBP_LYMPHOCYTE_COSTIMULATION GOBP_LYMPHOCYTE_COSTIMULATION	-0.176	-0.539	2.380	-0.176	1.608	-0.539	-0.539	-0.539	-0.539	0.476	-0.539
GOCC_RNA_POLYMERASE_II_HOLOENZYME GOCC_RNA_POLYMERASE_II_HOLOENZYME	-0.298	0.656	-0.298	-0.748	-0.748	0.304	0.656	-0.748	3.205	-0.748	-0.298
HP_ABNORMALITY_OF_VISUAL_EVOKED_POTENTIALS HP_ABNORMALITY_OF_VISUAL_EVOKED_POTENTIALS	-0.581	-0.581	-0.581	1.493	-0.581	1.493	-0.581	-0.199	-0.581	0.434	0.893
GOBP_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS GOBP_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS	-0.415	2.989	-0.415	0.211	0.211	-0.415	1.259	-0.415	-0.415	-0.415	-0.415
GOBP_PROTEIN_DNA_COMPLEX_DISASSEMBLY GOBP_PROTEIN_DNA_COMPLEX_DISASSEMBLY	-0.373	-0.373	-0.373	-0.373	-0.373	2.236	-0.373	1.385	-0.373	0.712	-0.373
