GO	[-19.75 -4.13]	[-4.13 -3.18]	[-3.18 -2.52]	[-2.52 -2.01]	[-2.01 -1.44]	[-1.44 -0.57]	[-0.57 1.08]	[1.08 1.93]	[1.93 2.79]	[2.79 4.08]	[4.08 20.81]
MIR3064_3P MIR3064_3P	3.070	-0.270	-0.570	-1.439	-0.399	-1.896	-1.078	-1.078	0.334	0.334	3.973
MIR671_5P MIR671_5P	-0.628	1.686	-0.937	-1.968	-1.366	-0.628	1.031	0.357	-0.937	-0.252	3.993
CTCAAGA_MIR526B CTCAAGA_MIR526B	-0.959	-0.550	1.177	-1.660	-0.550	0.301	0.527	1.596	2.073	-1.660	-0.545
MIR421 MIR421	2.723	-0.386	-2.442	0.346	-0.554	-2.442	0.346	0.492	0.874	1.111	-0.764
MIR4680_5P MIR4680_5P	0.546	-2.035	1.138	-0.784	-0.472	0.546	-0.271	-2.035	-0.472	1.942	0.822
GCATTTG_MIR105 GCATTTG_MIR105	-0.281	-0.412	1.314	0.828	-0.586	-0.586	0.828	-2.510	-2.510	0.461	1.933
MIR6719_3P MIR6719_3P	1.026	1.026	0.242	-1.175	-0.560	-0.560	-1.648	1.316	-2.296	0.381	1.658
CCAWNWWNNNGGC_UNKNOWN CCAWNWWNNNGGC_UNKNOWN	0.415	3.524	-0.365	0.638	-0.951	-2.285	0.245	0.638	-0.951	-0.601	0.248
MIR4641 MIR4641	0.680	-0.798	0.403	-1.452	3.088	-0.219	-0.798	-1.452	0.680	-0.219	-0.216
MIR208B_3P MIR208B_3P	-0.521	2.796	-0.241	-0.241	1.089	0.371	-0.521	-1.078	0.684	-1.078	-1.073
MIR7158_3P MIR7158_3P	-1.535	-0.862	-0.250	1.791	0.940	0.359	-1.535	-0.862	0.359	-0.250	1.343
MIR223_5P MIR223_5P	-0.626	-0.878	2.748	0.632	-1.627	-1.627	-0.290	-0.626	1.083	1.083	-0.285
MIR8074 MIR8074	-0.456	1.148	-0.456	-0.456	-0.456	0.187	-0.456	0.187	0.187	-0.456	2.759
