GO	[-6.16 -1.22]	[-1.22 -0.37]	[-0.37 0.41]	[0.41 0.85]	[0.85 1.26]	[1.26 1.59]	[1.59 1.93]	[1.93 2.35]	[2.35 3.05]	[3.05 4.20]	[4.20 6.60]
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	-0.787	-0.787	1.059	-0.324	-0.324	-0.787	3.873	0.279	0.610	-0.787	-0.793
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	0.398	1.153	-0.491	-0.491	1.153	1.665	-1.037	0.728	-1.037	-1.037	-1.044
REACTOME_RHOC_GTPASE_CYCLE REACTOME_RHOC_GTPASE_CYCLE	-0.431	-1.195	-0.730	0.599	-1.195	-0.431	0.370	0.887	-1.954	1.630	2.061
REACTOME_INFLUENZA_INFECTION REACTOME_INFLUENZA_INFECTION	-0.740	0.316	1.010	1.010	0.500	2.113	0.316	-1.684	-0.287	-0.740	-2.558
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	0.796	-0.703	-0.363	-1.328	0.481	-0.703	2.787	-0.363	1.189	-0.363	-1.338
REACTOME_PROTEIN_FOLDING REACTOME_PROTEIN_FOLDING	1.232	0.320	-0.927	0.861	2.706	-0.283	-1.620	-0.927	-0.525	-0.927	0.315
REACTOME_SIGNALING_BY_PDGF REACTOME_SIGNALING_BY_PDGF	-1.078	-0.240	0.685	0.372	-0.240	-0.521	3.526	-0.240	0.372	-1.078	-1.086
REACTOME_ABC_TRANSPORTER_DISORDERS REACTOME_ABC_TRANSPORTER_DISORDERS	0.324	0.981	-0.279	-0.580	1.437	1.437	-1.162	0.608	-1.162	-1.162	-0.586
REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC	-0.247	-0.663	-0.663	-0.247	4.535	0.362	-0.247	-0.663	-0.663	-0.247	0.359
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.527	-0.378	0.932	3.514	-0.378	-0.378	-0.871	0.236	-0.871	-0.871	-0.382
REACTOME_REGULATION_OF_SIGNALING_BY_CBL REACTOME_REGULATION_OF_SIGNALING_BY_CBL	-0.272	-0.272	-0.272	-0.704	0.332	-0.272	3.374	-0.704	1.209	-0.704	-0.709
REACTOME_HCMV_INFECTION REACTOME_HCMV_INFECTION	0.606	0.851	1.140	-0.359	1.471	1.140	-0.567	-1.863	-0.567	-0.862	-1.880
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	2.217	-0.199	-0.580	-0.580	-0.199	-0.580	2.217	-0.199	-0.199	-0.580	-0.584
REACTOME_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA REACTOME_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA	-0.290	-0.290	-0.290	-0.290	0.313	3.963	-0.290	-0.290	0.313	-0.290	-0.292
REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING	3.061	-0.248	-0.248	-0.248	-0.248	-0.248	1.015	-0.248	-0.248	-0.248	-0.250
