GO	[-1.00 -0.98]	[-0.98 -0.87]	[-0.87 -0.77]	[-0.77 -0.63]	[-0.63 -0.46]	[-0.46 -0.17]	[-0.17 0.40]	[0.40 0.71]	[0.71 0.94]	[0.94 1.00]	[1.00 1.00]
HOXC13_TARGET_GENES HOXC13_TARGET_GENES	1.686	1.686	1.686	-0.627	-0.627	-1.967	-0.252	-2.868	1.031	-1.967	0.359
GSE17721_POLYIC_VS_CPG_6H_BMDC_DN GSE17721_POLYIC_VS_CPG_6H_BMDC_DN	-0.412	0.432	0.948	-0.292	-1.668	-4.152	1.417	1.982	-0.412	1.417	-1.660
GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP	0.543	-1.218	-0.334	-0.480	-0.334	0.270	-2.681	0.392	-2.078	1.431	4.489
HP_ABNORMALLY_LAX_OR_HYPEREXTENSIBLE_SKIN HP_ABNORMALLY_LAX_OR_HYPEREXTENSIBLE_SKIN	2.181	1.099	0.582	-2.784	-0.375	-2.784	-0.375	0.238	-0.886	0.388	1.104
TCGA_GLIOBLASTOMA_COPY_NUMBER_UP TCGA_GLIOBLASTOMA_COPY_NUMBER_UP	0.430	0.239	3.394	-1.092	-1.826	-1.092	0.430	0.239	1.372	-1.826	0.241
MIR4273 MIR4273	-0.669	-0.669	-1.036	1.849	0.564	-1.574	1.114	-2.409	-0.417	0.362	2.290
chr19p12 chr19p12	0.247	0.247	-0.363	-1.327	-1.327	-0.703	-0.703	0.247	-0.363	0.480	5.758
GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_DN GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_DN	0.594	-0.313	2.261	-0.462	-0.661	-3.996	0.795	-1.256	1.290	-0.661	0.599
MIR6719_3P MIR6719_3P	-0.821	0.381	2.398	-1.647	0.381	-0.560	-2.295	0.774	-1.647	0.774	1.650
GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP	3.395	-0.803	-1.324	0.661	-0.454	-1.665	2.680	-0.454	-1.039	-1.039	0.666
GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP	4.014	0.777	0.594	-0.418	-0.291	-2.924	-2.297	-0.418	-0.291	-0.418	0.599
