GO	[-6.06 -0.65]	[-0.65 -0.14]	[-0.14 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.33]	[0.33 0.98]	[0.98 4.64]
GO_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY GO_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	-0.736	0.758	-0.385	-1.373	-0.385	1.139	4.058	-0.385	-0.736	-1.373	0.224
GO_REGULATION_OF_MRNA_PROCESSING GO_REGULATION_OF_MRNA_PROCESSING	2.020	0.461	-2.637	-1.192	-0.315	-1.192	-0.792	0.461	0.949	1.620	-0.326
GO_GDP_BINDING GO_GDP_BINDING	-0.747	-0.747	-0.298	1.134	-0.747	0.304	0.657	3.208	-0.298	-0.747	-0.757
GO_CELL_CELL_JUNCTION_ASSEMBLY GO_CELL_CELL_JUNCTION_ASSEMBLY	-0.997	-0.997	-0.997	-0.997	0.775	-0.463	0.427	2.378	1.221	-0.203	-0.209
GO_POSITIVE_REGULATION_OF_VIRAL_PROCESS GO_POSITIVE_REGULATION_OF_VIRAL_PROCESS	0.798	0.247	0.798	-0.704	-1.331	-0.704	-0.363	2.201	-1.331	1.193	-0.717
GO_REGULATION_OF_PHOSPHATASE_ACTIVITY GO_REGULATION_OF_PHOSPHATASE_ACTIVITY	-1.029	0.478	-0.601	-0.601	-0.601	-1.751	0.478	2.468	-0.336	1.953	-0.346
GO_U2_TYPE_SPLICEOSOMAL_COMPLEX GO_U2_TYPE_SPLICEOSOMAL_COMPLEX	2.493	0.458	-0.434	-0.955	-0.955	0.458	-0.955	0.199	0.458	-0.955	0.810
GO_DETERMINATION_OF_HEART_LEFT_RIGHT_ASYMMETRY GO_DETERMINATION_OF_HEART_LEFT_RIGHT_ASYMMETRY	-0.456	-0.456	-0.456	-0.456	-0.456	0.187	0.579	0.579	-0.456	-0.456	3.752
GO_BLASTOCYST_DEVELOPMENT GO_BLASTOCYST_DEVELOPMENT	-0.272	0.332	-0.705	0.332	-0.705	-0.705	4.314	-0.272	-0.272	0.332	-0.714
GO_VIRAL_RNA_GENOME_REPLICATION GO_VIRAL_RNA_GENOME_REPLICATION	-0.223	-0.622	1.391	-0.622	-0.622	-0.622	-0.622	0.826	0.826	1.391	-0.630
GO_CELL_CORTEX_REGION GO_CELL_CORTEX_REGION	-0.456	-0.456	-0.456	1.883	-0.456	-0.456	-0.456	0.187	1.883	-0.456	0.571
GO_POSITIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION GO_POSITIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	-0.414	0.211	2.047	-0.414	-0.414	-0.414	-0.414	-0.414	2.047	-0.414	0.208
GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	-0.373	-0.373	0.713	2.237	-0.373	-0.373	-0.373	-0.373	-0.373	1.386	-0.378
