hl60_120h_t_1	hl60_120h_t_2	hl60_120h_u_1	hl60_120h_u_2	hl60_6h_t_1	hl60_6h_t_2	hl60_6h_u_1	hl60_6h_u_2	hl60_72h_t_1	hl60_72h_t_2	hl60_72h_u_1	hl60_72h_u_2	kg1_t_1	kg1_t_2	kg1_t_3	kg1_u_1	kg1_u_2	kg1_u_3	molm13_t_1	molm13_t_2	molm13_t_3	molm13_u_1	molm13_u_2	molm13_u_3	molm14_t_1	molm14_t_2	molm14_t_3	molm14_u_1	molm14_u_2	molm14_u_3	ociaml3_t_1	ociaml3_t_2	ociaml3_t_3	ociaml3_u_1	ociaml3_u_2	ociaml3_u_3	skm1_t_1	skm1_t_2	skm1_t_3	skm1_u_1	skm1_u_2	skm1_u_3
DAC.3.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.787420521175227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.59192093240707	6.63271253342009	7.57000869710185	0	0	0
DAC.4.1-x1-0	85.0014482343557	65.6820420046553	18.1267915307432	18.573542247806	0	19.208816329652	0	11.4741461699496	45.033716630247	9.41423247530397	11.5065538400862	16.2662101449179	0	0	0	1.03391836059642	0	0	0	0	0	0	0	0	0	0	0	1.2527856193791	0	0	0	0	0	0	0	0	0	1.56063824315767	0	0	0	0
DAC.4.2-x1-0	0	10.1920410007224	0	0	10.4354404089086	0	0	0	0	0	0	0	2.52317813540998	0	0	0	0	0	0	0	0	0	0	0	3.87709184073406	0	0	0	0	0	0	0	0	0	0	0	1.89798023310177	0.780319121578835	0	0	0.641195244766408	0
DAC.8.1-x1-0	68.2405992867362	82.6687770058593	62.8395439732431	49.5294459941492	40.437331584521	51.2235102124053	44.215273932174	45.8965846797982	67.0013832791481	82.3745341589097	38.3551794669541	39.5036532090864	12.6158906770499	22.613651482929	5.20614907881829	13.4409386877534	13.5193138009527	8.98843955082245	23.6063549293861	14.9609899023293	14.4758437929508	9.86220165706296	9.68995944670415	9.40785334297571	5.16945578764542	0	6.02839819378485	5.01114247751641	0	2.22184548766421	14.2468094615605	22.979166899278	11.0991622050574	31.2707501706064	49.5378445740693	22.3254447075864	11.767477445231	17.1670206747344	13.6981109757081	7.85314986223389	10.9003191610289	4.74836516093481
DAC.11.1-x1-0	21.5496629326535	26.0463270018461	9.66762214972971	28.4794314466358	40.437331584521	32.6549877604084	23.5814794304928	18.7758755508266	14.2789833217857	62.3692901488888	23.7802112695116	12.1996576086885	0	0	0	0	20.2789707014291	2.39691721355265	0	1.57484104235045	0.391239021431104	0	0	0	0	10.3068198253321	0	1.2527856193791	0	0	15.8297882906227	0	0	0	0	0.970671509025496	0	1.17047868236825	0	0	0	0
DAC.17.1-x1-0	2.39440699251706	5.66224500040132	3.62535830614864	7.42941689912239	2.60886010222716	1.9208816329652	2.9476849288116	3.12931259180443	3.29514999733515	0	0	1.16187215320842	6.72847502775995	0	0.867691513136381	1.03391836059642	0	0	0	0.393710260587613	0	0	0	0.806387429397918	2.58472789382271	0	1.20567963875697	1.2527856193791	10.0103318143515	2.22184548766421	1.58297882906227	0	4.43966488202297	1.42139773502756	0	0	0.759192093240707	2.73111692552592	0.360476604623898	0.314125994489356	0.320597622383204	0
DAC.5.1-x1-0	7.18322097755118	6.79469400048159	7.25071661229728	6.19118074926866	1.30443005111358	3.8417632659304	2.9476849288116	4.17241678907257	3.29514999733515	4.70711623765198	6.13682871471266	4.6474886128337	5.04635627081996	4.5227302965858	7.80922361822743	1.03391836059642	0	4.19460512371714	0.983598122057756	1.57484104235045	0.391239021431104	0.365266728039369	1.46817567374305	0.806387429397918	0	0	1.20567963875697	5.01114247751641	0	4.44369097532841	9.49787297437364	7.65972229975933	9.98924598455169	4.26419320508269	0	0	1.13878813986106	1.56063824315767	2.88381283699118	2.19888196142549	0.641195244766408	1.11726239080819
DAC.5.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.87709184073406	0	0	0	0	0	0	0	0	0	0	5.82402905415297	0	0	0	0	0	0
DAC.9.1-x1-0	1.19720349625853	16.986735001204	0	0	0	0	0	1.04310419726814	3.29514999733515	10.591011534717	0	0.580936076604212	0	0	0	3.10175508178925	0	4.7938344271053	3.44259342720215	1.18113078176284	3.91239021431104	1.46106691215748	0.587270269497221	0.537591619598612	9.04654762837948	0	4.82271855502788	0	0	0	1.58297882906227	0	2.21983244101149	0	0	0	0	0.780319121578834	1.08142981387169	0	0	0.837946793106142
DAC.10.1-x1-0	1.19720349625853	0	0	0	0	0	0	1.04310419726814	0	0	0.767103589339083	1.16187215320842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379596046620353	0	0	0	0	0
