[MIR1288_3P,MIR1288_3P] was killed by [MIR6816_3P,MIR6816_3P]
[GGCACAT_MIR455,GGCACAT_MIR455] was killed by [MIR6824_3P,MIR6824_3P]
[MIR571,MIR571] was killed by [MIR4432,MIR4432]
[FOXQ1_TARGET_GENES,FOXQ1_TARGET_GENES] was killed by [ZSCAN23_TARGET_GENES,ZSCAN23_TARGET_GENES]
[MIR6764_3P,MIR6764_3P] was killed by [MIR6824_3P,MIR6824_3P]
[ACATATC_MIR190,ACATATC_MIR190] was killed by [MIR4684_3P,MIR4684_3P]
[TCTCTCC_MIR185,TCTCTCC_MIR185] was killed by [MIR6799_3P,MIR6799_3P]
[MIR4717_3P,MIR4717_3P] was killed by [MIR6799_3P,MIR6799_3P]
[MIR3173_5P,MIR3173_5P] was killed by [MIR6799_3P,MIR6799_3P]
[MIR490_3P,MIR490_3P] was killed by [MIR4432,MIR4432]
[MIR212_5P,MIR212_5P] was killed by [GCTCTTG_MIR335,GCTCTTG_MIR335]
[ZNF19_TARGET_GENES,ZNF19_TARGET_GENES] was killed by [ZSCAN23_TARGET_GENES,ZSCAN23_TARGET_GENES]
[MIR3191_5P,MIR3191_5P] was killed by [MIR6824_3P,MIR6824_3P]
[MIR3606_5P,MIR3606_5P] was killed by [MIR6824_3P,MIR6824_3P]
[MIR6768_5P,MIR6768_5P] was killed by [MIR4776_5P,MIR4776_5P]
[MIR8076,MIR8076] was killed by [MIR4432,MIR4432]
[MIR7113_5P,MIR7113_5P] was killed by [MIR7108_3P,MIR7108_3P]
