GO	[-1.00 -0.98]	[-0.98 -0.88]	[-0.88 -0.78]	[-0.78 -0.64]	[-0.64 -0.48]	[-0.48 -0.19]	[-0.19 0.39]	[0.39 0.72]	[0.72 0.94]	[0.94 1.00]	[1.00 1.00]
GSE17721_POLYIC_VS_CPG_6H_BMDC_DN GSE17721_POLYIC_VS_CPG_6H_BMDC_DN	-0.412	0.434	0.581	0.434	-1.667	-4.152	1.420	1.987	-0.412	1.420	-1.684
GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP	0.544	-1.217	-0.334	-0.479	-0.479	0.393	-2.680	0.393	-2.077	1.435	4.446
GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP	3.404	-0.802	-1.322	0.274	0.274	-1.663	3.035	-0.453	-1.038	-1.038	0.651
GSE25123_CTRL_VS_IL4_STIM_PPARG_KO_MACROPHAGE_UP GSE25123_CTRL_VS_IL4_STIM_PPARG_KO_MACROPHAGE_UP	-1.509	0.363	0.363	0.717	-2.036	3.422	1.205	0.717	-1.104	-1.104	-0.802
GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_DN GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_DN	0.596	-0.312	1.912	-0.312	-0.660	-3.995	0.797	-1.255	1.293	-0.660	0.587
GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP	4.023	0.778	0.596	-0.417	-0.417	-2.296	-2.296	-0.417	0.312	-0.582	0.586
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	-0.905	0.466	2.311	-0.905	-0.905	-1.492	-1.879	1.445	1.202	1.202	-0.699
GSE20366_TREG_VS_TCONV_UP GSE20366_TREG_VS_TCONV_UP	0.999	0.391	-1.055	-0.522	5.079	-0.351	-0.351	-1.055	0.257	-1.451	-0.529
GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN	-3.028	0.919	0.547	-2.390	-0.321	0.401	0.919	1.975	0.401	-0.321	-0.639
GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_UP GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_UP	1.057	-0.898	-0.898	-0.301	1.325	-1.229	-0.898	-2.203	1.625	1.625	0.296
GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_TREATED_CD4_TCELL_DN GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_TREATED_CD4_TCELL_DN	-0.277	1.484	-0.277	-0.633	0.681	-1.282	-0.633	0.681	1.181	0.681	-3.427
ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_DN ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_DN	-0.351	2.152	-0.828	-0.351	0.567	-0.828	-0.351	0.256	-0.828	-0.828	2.142
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	-0.241	-1.950	-0.431	0.885	-0.241	-0.729	3.704	-0.241	-0.431	-1.192	0.592
GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_UP GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_UP	0.703	-0.614	-1.255	1.214	-2.405	0.941	-0.614	-0.889	-0.614	0.941	1.848
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_IFN_SUBSET_UP NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_IFN_SUBSET_UP	-0.953	-0.953	0.458	0.822	0.458	-0.953	-0.953	0.200	2.477	-0.434	0.454
GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	1.174	-0.572	0.506	-0.257	-2.070	-1.538	-0.390	0.695	1.463	1.463	-1.551
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP	1.435	0.933	-1.217	-0.479	-1.599	0.544	-2.077	-0.911	0.393	1.727	0.713
GSE46242_CTRL_VS_EGR2_DELETED_TH1_CD4_TCELL_UP GSE46242_CTRL_VS_EGR2_DELETED_TH1_CD4_TCELL_UP	-0.850	-0.850	-1.985	1.007	0.595	0.786	1.256	-0.301	-2.576	1.007	0.586
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	-0.360	3.248	-1.803	0.372	1.171	-0.521	-0.734	0.526	-1.358	-1.008	0.700
GSE17721_LPS_VS_PAM3CSK4_4H_BMDC_DN GSE17721_LPS_VS_PAM3CSK4_4H_BMDC_DN	0.266	3.355	-0.819	0.266	-0.819	-0.624	-2.098	-0.339	1.732	0.647	-0.832
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	2.293	0.515	-1.239	0.284	-0.761	0.515	-3.478	-0.581	0.284	0.663	1.007
GSE3982_MAC_VS_NKCELL_UP GSE3982_MAC_VS_NKCELL_UP	-0.311	-0.870	1.500	0.420	1.801	-1.545	0.765	-0.311	0.765	-0.635	-2.630
GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	-0.641	-2.256	0.663	0.663	-0.341	-0.341	-0.473	-1.799	0.845	0.264	3.110
