	[-0.72 -0.58]	[-0.58 -0.24]	[-0.24 -0.11]	[-0.11 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.18]	[0.18 0.32]	[0.32 0.67]	[0.67 0.81]
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	4.402	0.9079999999999999	-1.0090000000000001	-1.556	-1.901	-0.7979999999999999	-2.7739999999999996	-1.556	-1.556	2.048	4.81
GOMF_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	4.785	0.597	-0.873	-1.591	-0.698	0.278	-1.3159999999999998	-1.906	-3.6860000000000004	1.2570000000000001	3.7030000000000003
GOCC_ANCHORED_COMPONENT_OF_MEMBRANE	3.5060000000000002	0.318	-2.386	-4.074	0.423	0.8540000000000001	-1.976	0.691	-1.063	0.423	1.956
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	3.0810000000000004	-0.586	-2.778	-1.301	1.097	2.175	-1.301	-0.884	-0.586	0.38799999999999996	0.389
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	2.522	1.036	-2.863	-1.063	-0.285	-0.285	-1.976	-0.845	0.318	-0.285	2.8369999999999997
HP_ABNORMAL_DARK_ADAPTED_ELECTRORETINOGRAM	2.4	-0.298	0.655	-0.745	-0.745	-0.745	-0.745	-0.298	-0.745	-0.298	2.401
GOBP_BLOOD_COAGULATION_INTRINSIC_PATHWAY	2.4	-0.745	-0.745	-0.745	0.655	-0.745	-0.298	-0.298	-0.745	0.304	1.714
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	3.049	-0.462	-0.462	-0.9940000000000001	-0.9940000000000001	-0.9940000000000001	1.214	-0.204	-0.462	0.426	0.42700000000000005
GOMF_HORMONE_ACTIVITY	1.8519999999999999	-0.904	-3.122	-1.9569999999999999	5.95	4.965	-3.944	-2.477	-2.477	-1.186	2.501
GOBP_NEGATIVE_CHEMOTAXIS	0.625	0.389	0.625	-1.9069999999999998	-0.41100000000000003	-1.9069999999999998	-1.9069999999999998	-1.157	0.389	1.6780000000000002	2.6430000000000002
GOBP_HEAT_GENERATION	-0.247	-0.6629999999999999	-0.247	-0.247	-0.6629999999999999	-0.6629999999999999	-0.6629999999999999	-0.6629999999999999	-0.247	1.2919999999999998	4.52
GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS	1.17	0.451	-0.27399999999999997	-0.9209999999999999	-0.9209999999999999	0.596	-1.899	-1.188	-0.7020000000000001	0.451	3.682
GOBP_PYRIMIDINE_NUCLEOSIDE_CATABOLIC_PROCESS	0.821	0.457	0.2	-0.953	-0.434	-0.434	-0.953	-0.434	-0.953	0.457	3.1910000000000003
GOMF_BETA_1_3_GALACTOSYLTRANSFERASE_ACTIVITY	-0.373	-0.373	1.382	0.24	-0.373	-0.373	0.24	-0.373	-0.373	-0.373	2.23
