GO	[-8.26 -0.85]	[-0.85 -0.27]	[-0.27 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.37]	[0.37 1.02]	[1.02 10.22]
GO:0043123 positive regulation of I-kappaB kinase/NF-kappaB signaling	-3.248	0.480	4.889	-5.596	-3.888	-6.840	-3.888	-2.706	8.678	3.719	3.024
GO:0051092 positive regulation of NF-kappaB transcription factor activity	-1.530	0.744	1.631	-4.510	-2.953	-3.643	-3.643	-2.953	9.563	1.909	3.231
GO:0043202 lysosomal lumen	-0.247	-0.377	-0.790	-3.729	-2.028	-2.728	-2.728	-2.028	1.489	9.127	4.346
GO:0012505 endomembrane system	-0.292	1.079	1.079	-3.349	-4.073	-4.073	-4.073	-1.170	4.154	4.154	2.077
GO:0032496 response to lipopolysaccharide	0.309	0.405	0.405	-3.547	-3.547	-1.807	-4.857	-1.807	3.850	5.767	3.513
GO:0030426 growth cone	0.500	0.500	2.156	-3.114	-3.114	-3.934	-3.934	-0.902	6.976	0.364	2.158
GO:0005516 calmodulin binding	-0.619	1.182	3.264	-3.485	-1.763	-3.485	-3.485	-2.962	1.841	3.595	2.951
GO:0005089 Rho guanyl-nucleotide exchange factor activity	0.538	0.994	0.994	-3.272	-3.272	-2.322	-3.272	-2.322	4.179	0.994	2.749
GO:0030667 secretory granule membrane	-2.326	0.541	2.472	-2.326	-2.326	-2.326	-4.102	-0.713	5.174	1.470	2.112
GO:0035023 regulation of Rho protein signal transduction	0.678	0.678	0.909	-3.397	-3.397	-2.432	-3.397	-1.278	4.460	0.678	3.004
GO:0006869 lipid transport	-1.251	0.331	3.070	-3.219	-2.566	-2.038	-2.038	-2.038	4.292	2.361	2.042
GO:0005923 bicellular tight junction	-0.281	0.795	1.508	-3.668	-2.251	-1.755	-3.668	-1.355	2.111	3.198	2.113
GO:0007411 axon guidance	1.339	0.648	2.298	-2.560	-1.237	-4.153	-3.020	-2.560	1.786	2.034	2.036
GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway	0.735	1.162	-0.612	-1.429	-2.345	-2.975	-1.839	-2.975	4.290	1.692	2.671
GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules	0.613	0.773	-1.027	-2.935	-1.608	-1.980	-2.418	-1.608	2.157	2.457	5.500
GO:0002576 platelet degranulation	-0.332	0.530	0.530	-3.045	-2.408	-1.895	-2.408	-1.479	4.164	2.941	2.238
GO:0022617 extracellular matrix disassembly	-1.116	0.598	0.265	0.412	-2.213	-1.578	-3.148	-0.522	-1.116	3.900	4.987
GO:0043235 receptor complex	-0.256	-0.256	0.351	-2.300	-0.882	-2.300	-2.300	-2.300	2.654	1.726	5.527
GO:0005604 basement membrane	-0.338	0.267	0.576	-2.617	-3.604	-1.930	-0.504	-0.729	0.404	1.602	6.866
GO:0005546 phosphatidylinositol-4,5-bisphosphate binding	-0.260	0.784	2.672	-1.604	-2.444	-2.444	-2.444	-1.062	0.541	1.074	3.174
GO:0000902 cell morphogenesis	0.675	-0.315	3.912	-2.609	-2.609	-1.180	-1.746	-1.746	0.937	0.675	2.409
GO:0072659 protein localization to plasma membrane	-0.240	-0.908	0.560	-1.924	-1.330	-1.924	-2.817	-0.908	2.542	3.003	3.005
GO:0008201 heparin binding	-0.377	0.894	-0.505	-3.651	-2.504	-1.356	-1.356	-0.853	1.784	2.346	4.881
GO:0035580 specific granule lumen	-1.675	0.316	1.324	-1.675	-1.675	-1.121	-0.737	-2.526	0.498	3.019	4.095
GO:0008081 phosphoric diester hydrolase activity	0.259	0.944	-0.348	-1.430	-2.236	-0.920	-2.236	-2.236	1.274	2.540	3.050
GO:1904724 tertiary granule lumen	-1.430	-2.236	1.274	-1.430	-1.430	-0.348	-0.920	-1.430	0.664	4.184	3.050
GO:0006935 chemotaxis	-1.101	-0.870	1.275	-2.532	-1.702	-1.377	-2.084	-0.387	1.505	4.017	3.284
GO:0008237 metallopeptidase activity	-1.159	0.821	1.426	-1.159	-2.619	-2.619	-2.163	-0.720	1.426	1.667	4.252
GO:0019221 cytokine-mediated signaling pathway	-2.333	-0.757	0.659	-0.319	-0.972	-1.231	-2.843	-1.538	3.247	3.247	2.575
GO:0097110 scaffold protein binding	-0.300	-1.326	1.055	-0.836	-2.112	-1.326	-2.112	-0.836	3.303	0.750	3.305
GO:0030139 endocytic vesicle	-0.948	0.416	0.910	-2.278	-2.278	-1.464	-1.464	-0.599	0.910	2.969	2.970
GO:0009887 animal organ morphogenesis	-0.311	1.414	1.692	-2.345	-0.827	-1.096	-2.975	-2.975	2.320	0.561	2.322
GO:0050839 cell adhesion molecule binding	-0.585	1.415	0.388	-1.300	-1.300	-1.300	-1.888	-2.775	0.581	2.171	4.115
GO:0031514 motile cilium	0.246	3.454	0.736	-1.474	-1.995	-3.687	-1.474	-0.537	0.376	0.539	3.014
GO:0010508 positive regulation of autophagy	-1.089	0.431	0.240	-1.822	-0.650	-1.822	-1.822	-0.650	4.670	0.684	2.277
GO:0048306 calcium-dependent protein binding	-0.260	-1.062	2.211	-2.444	-1.062	-1.604	-1.604	-1.062	1.074	2.211	2.674
GO:0032091 negative regulation of protein binding	-0.526	0.275	3.297	-1.781	-2.651	-1.210	-1.781	-0.809	1.926	0.440	2.347
GO:0070588 calcium ion transmembrane transport	-0.331	1.296	0.273	-1.081	-2.758	-2.211	-2.211	-0.624	0.677	4.358	2.126
GO:0004222 metalloendopeptidase activity	-2.251	0.322	1.006	-0.772	-2.871	-1.755	-1.032	-0.405	1.006	1.508	4.962
GO:0008584 male gonad development	-1.187	0.406	2.412	-1.564	-1.564	-2.035	-0.887	-2.035	0.951	2.412	2.784
GO:0005518 collagen binding	0.288	1.591	0.459	-1.746	-1.180	-1.746	-1.746	-1.180	-0.785	2.408	3.914
GO:0005544 calcium-dependent phospholipid binding	-1.190	0.597	1.619	-1.190	-1.946	-0.728	-1.190	-1.946	0.883	0.883	3.685
GO:0002224 toll-like receptor signaling pathway	-0.702	-0.411	-0.702	-1.905	-1.905	-0.702	-0.702	-0.702	1.676	3.786	2.639
GO:0007612 learning	0.316	-1.675	4.682	-1.121	-1.121	-0.737	-0.737	-1.675	1.003	-0.737	3.020
GO:0001540 amyloid-beta binding	-0.755	0.848	-0.256	-1.988	-0.755	-1.224	-1.988	-1.224	1.564	2.482	2.483
GO:0005912 adherens junction	0.763	1.029	0.763	-1.361	-1.960	-1.960	-1.960	-1.960	2.062	0.763	2.063
GO:0005044 scavenger receptor activity	-0.836	0.499	0.302	-1.326	-1.326	-1.326	-1.326	-0.836	-0.300	2.268	5.861
GO:0002755 MyD88-dependent toll-like receptor signaling pathway	-0.733	-0.385	1.130	-1.366	-1.366	-1.366	-1.366	-0.385	3.303	0.453	2.091
GO:0030593 neutrophil chemotaxis	-1.240	-1.817	0.262	-0.834	-0.834	0.262	-0.834	-1.817	2.735	0.875	4.295
GO:1902476 chloride transmembrane transport	-0.418	0.651	0.325	-1.589	-1.589	-1.174	-1.174	-2.127	0.863	3.649	2.785
GO:0006813 potassium ion transport	0.675	0.522	0.522	-1.627	-1.627	-2.028	-3.084	-0.593	2.062	1.512	2.370
GO:0071805 potassium ion transmembrane transport	1.220	0.370	-0.465	-2.568	-0.815	-1.336	-2.568	-1.051	1.992	1.713	2.613
GO:0007160 cell-matrix adhesion	-0.571	1.167	0.504	-3.770	-0.571	-1.531	-0.390	-1.531	2.116	0.692	2.117
GO:0035725 sodium ion transmembrane transport	1.383	-0.418	0.325	-0.853	-3.853	-0.853	-1.589	-0.605	0.651	2.390	2.027
GO:0004714 transmembrane receptor protein tyrosine kinase activity	0.691	0.272	-0.555	-0.891	-0.891	-2.195	-0.891	-1.395	1.318	0.455	4.925
GO:0043198 dendritic shaft	-0.828	-0.453	2.387	-0.828	-1.491	-1.491	-0.828	-0.828	1.858	0.380	2.388
GO:0030890 positive regulation of B cell proliferation	-0.892	-0.266	-0.892	-0.500	-0.892	-1.574	-1.574	-0.266	1.720	2.778	2.222
GO:0050729 positive regulation of inflammatory response	-0.470	-0.287	-0.470	-0.470	-1.121	-1.121	-1.675	-1.675	2.536	1.324	3.540
GO:0032729 positive regulation of interferon-gamma production	-0.624	-0.354	-0.354	-1.056	-1.781	-1.056	-1.056	-0.624	2.351	2.351	2.352
GO:0006968 cellular defense response	-0.235	0.379	-1.534	-1.534	-1.005	-1.534	-1.005	-0.398	1.502	2.336	2.818
GO:0001974 blood vessel remodeling	-0.702	1.184	0.480	-1.325	0.480	-1.325	-1.325	-1.325	0.480	0.247	3.424
GO:0034765 regulation of ion transmembrane transport	1.003	0.517	-0.310	-0.920	-2.163	-1.773	-1.773	-1.159	1.205	1.926	2.819
GO:0032760 positive regulation of tumor necrosis factor production	-0.431	0.883	-0.431	-1.946	-0.431	-1.190	-0.728	-1.946	1.619	1.619	2.066
GO:0050786 RAGE receptor binding	-0.455	1.874	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	4.917
GO:0050808 synapse organization	-0.599	0.269	-0.336	0.269	-1.023	-1.023	-1.739	-1.739	1.477	1.927	2.431
GO:0031225 anchored component of membrane	1.095	0.301	0.301	-2.448	-3.019	-0.417	-1.249	-0.417	0.709	0.891	3.508
GO:1903779 regulation of cardiac conduction	-0.398	1.898	-0.644	-1.534	-1.005	-2.361	-1.005	0.379	0.845	0.587	2.818
GO:0030574 collagen catabolic process	-0.344	-0.546	-1.240	-1.240	-0.546	-0.834	-0.546	-0.344	-0.546	2.286	5.499
GO:0030182 neuron differentiation	0.256	0.491	1.489	-2.270	-1.122	0.256	-2.270	-1.814	1.019	1.019	2.365
GO:0007416 synapse assembly	-1.092	-1.639	0.519	-1.639	-0.714	-1.092	-0.452	0.331	1.038	1.038	4.189
GO:0007616 long-term memory	-0.733	0.231	2.090	-0.733	-1.366	0.231	-1.366	-1.366	0.754	0.231	2.668
GO:0005244 voltage-gated ion channel activity	1.272	0.540	-0.413	-0.936	-1.852	-1.852	-1.852	-0.936	1.508	1.764	2.042
GO:0030282 bone mineralization	-0.796	0.403	0.680	-1.449	-1.449	-0.430	-1.449	-0.430	0.403	1.448	3.080
GO:0006821 chloride transport	-0.364	0.967	0.539	-1.474	-1.474	-1.474	-1.076	-1.474	0.736	2.596	2.211
GO:0071560 cellular response to transforming growth factor beta stimulus	-0.260	0.346	0.541	-1.062	-1.604	-2.444	-1.062	-0.434	0.784	1.789	2.674
GO:0003341 cilium movement	-0.250	2.874	-0.476	-0.476	-0.860	-0.860	-0.860	-1.532	-0.250	-0.250	3.501
GO:0014068 positive regulation of phosphatidylinositol 3-kinase signaling	0.817	-0.374	0.817	-1.300	-1.300	-1.300	-1.300	-1.300	1.096	1.096	2.606
GO:0030666 endocytic vesicle membrane	0.440	-0.526	0.906	-1.210	-0.526	-1.781	-0.809	-1.781	0.651	1.545	2.805
GO:0042476 odontogenesis	0.793	-0.363	-0.363	-0.702	-0.702	-1.325	-0.702	-1.325	0.247	2.769	2.177
GO:0016525 negative regulation of angiogenesis	1.348	-1.609	0.254	-0.796	-0.540	-0.796	-0.796	-1.142	0.578	0.254	4.895
GO:0071526 semaphorin-plexin signaling pathway	-0.911	0.873	0.217	-0.911	-0.911	-0.911	-0.911	0.217	1.356	0.217	2.594
GO:0035987 endodermal cell differentiation	0.324	0.607	0.324	-1.159	-1.159	-0.279	-1.159	-1.159	0.324	0.607	3.234
GO:0005031 tumor necrosis factor-activated receptor activity	0.426	-0.462	0.426	-0.994	-0.994	-0.994	-0.462	-0.994	0.426	1.213	3.047
GO:0001503 ossification	-1.027	0.359	1.134	-1.378	-1.378	-1.824	-0.372	-0.751	1.403	0.896	2.756
GO:0032735 positive regulation of interleukin-12 production	-1.035	0.398	-0.491	-1.035	-0.491	-0.491	-0.491	-1.035	0.726	1.658	2.915
GO:2001240 negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	0.646	0.646	-0.828	-0.828	-0.234	-1.491	-1.491	-0.828	0.380	1.389	2.388
GO:0005581 collagen trimer	0.441	0.441	0.441	-1.647	-1.224	-1.647	-0.301	-0.895	-0.446	1.317	3.983
GO:0043277 apoptotic cell clearance	0.332	0.706	-0.704	-0.704	-0.704	-0.704	-0.704	-0.704	0.332	0.706	3.361
GO:0044130 negative regulation of growth of symbiont in host	-0.247	-0.662	-0.662	-0.662	0.362	-0.662	-0.662	-0.662	0.362	1.939	2.696
GO:0048169 regulation of long-term neuronal synaptic plasticity	0.256	0.566	1.521	-0.351	-0.828	-0.828	-0.828	-0.828	0.566	-0.828	2.148
GO:0042613 MHC class II protein complex	0.362	-0.247	-0.247	-0.662	-0.662	-0.662	-0.247	-0.662	-0.662	1.291	3.556
GO:0097120 receptor localization to synapse	0.211	-0.414	2.039	-0.414	-0.414	-0.414	-0.414	-0.414	-0.414	-0.414	2.977
GO:0050707 regulation of cytokine secretion	-0.497	-0.497	0.524	-0.497	-0.497	-0.497	-0.497	-0.497	0.167	1.052	3.495
GO:0008305 integrin complex	-0.300	1.364	-0.300	-0.609	-0.609	-1.201	-0.609	-1.201	1.364	-0.300	2.459
GO:0007409 axonogenesis	0.611	-0.600	1.026	-1.484	-1.118	-0.424	-1.944	-0.828	1.277	0.611	2.555
GO:0030207 chondroitin sulfate catabolic process	-0.199	-0.580	-0.580	-0.580	-0.199	-0.580	-0.580	-0.580	0.434	2.211	2.211
GO:0097067 cellular response to thyroid hormone stimulus	-0.621	0.396	0.823	-0.621	-0.621	-0.223	-0.621	-0.621	-0.621	1.385	2.069
GO:0005201 extracellular matrix structural constituent	0.262	0.262	-0.546	-1.240	-0.344	-1.240	-0.344	-0.546	-0.546	0.875	4.881
GO:0050965 detection of temperature stimulus involved in sensory perception of pain	-0.621	-0.223	-0.621	0.823	-0.621	-0.621	-0.621	-0.621	0.823	0.823	2.069
GO:0005229 intracellular calcium activated chloride channel activity	-0.662	-0.247	-0.662	-0.247	-0.662	0.362	-0.662	-0.662	1.291	0.362	2.696
GO:0007158 neuron cell-cell adhesion	-0.223	-0.621	-0.223	-0.621	-0.621	-0.621	-0.223	-0.621	1.385	0.396	2.865
GO:1990000 amyloid fibril formation	-0.373	0.240	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	2.228	2.229
GO:0005041 low-density lipoprotein receptor activity	0.892	0.434	-0.580	-0.580	-0.580	-0.580	-0.580	-0.580	0.892	-0.199	2.211
GO:0048103 somatic stem cell division	-0.414	-0.414	-0.414	-0.414	0.211	-0.414	-0.414	-0.414	0.211	1.256	2.977
GO:0032725 positive regulation of granulocyte macrophage colony-stimulating factor production	-0.414	-0.414	-0.414	-0.414	-0.414	0.211	-0.414	-0.414	1.256	0.211	2.977
GO:0071223 cellular response to lipoteichoic acid	0.578	0.578	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	0.578	2.748
GO:0050702 interleukin-1 beta secretion	-0.331	0.795	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	0.273	3.563
GO:0048246 macrophage chemotaxis	-0.538	-0.538	0.477	-0.538	-0.538	-0.538	-0.176	-0.538	0.477	0.967	2.370
