GO	[-6.16 -0.52]	[-0.52 -0.41]	[-0.41 -0.19]	[-0.19 -0.09]	[-0.09 -0.02]	[-0.02 0.00]	[0.00 0.08]	[0.08 0.17]	[0.17 0.32]	[0.32 0.75]	[0.75 8.56]
MORF_IL4 MORF_IL4	1.598	2.651	-1.227	-3.018	-2.152	2.651	-2.556	-2.152	-0.997	1.377	2.329
MODULE_113 MODULE_113	0.595	3.751	-2.574	-0.437	-2.574	0.595	-1.516	-1.516	-2.574	1.837	3.287
MODULE_274 MODULE_274	3.486	3.486	-0.277	-1.773	-1.773	0.681	-2.440	-1.773	-2.440	-0.427	2.168
MODULE_289 MODULE_289	0.630	3.967	0.343	-2.019	-3.201	2.779	-2.019	-1.233	-1.587	-0.523	2.399
MORF_FLT1 MORF_FLT1	1.448	-0.281	-0.744	-1.279	-2.077	5.200	-3.272	-2.612	-0.399	0.772	2.315
MORF_MAP2K7 MORF_MAP2K7	1.207	3.399	-0.822	-2.702	-1.885	1.651	-1.556	-2.702	-1.029	0.680	3.027
MODULE_122 MODULE_122	3.076	2.083	0.283	-2.523	-2.040	0.393	-1.299	-0.441	-0.785	-2.523	3.798
MODULE_316 MODULE_316	1.000	2.885	-0.961	-0.647	-2.907	0.739	-2.001	-0.961	-2.001	1.000	2.414
GNF2_KISS1 GNF2_KISS1	-0.471	1.517	-0.782	-2.032	-2.032	2.418	-0.782	-2.032	-0.270	0.334	3.481
MODULE_433 MODULE_433	2.102	-0.470	0.316	-0.738	-2.532	3.036	-1.678	-1.678	-1.678	0.499	2.084
GNF2_IGFBP1 GNF2_IGFBP1	-0.796	1.938	-0.218	-1.451	-1.451	1.452	-0.796	-1.451	-0.796	-0.430	4.442
GNF2_MMP11 GNF2_MMP11	-0.599	1.086	-0.599	-1.741	-1.741	1.933	-1.024	-1.741	0.269	0.477	3.580
GNF2_TIMP2 GNF2_TIMP2	-0.702	1.682	-0.411	-1.908	-1.908	1.682	-0.702	-1.908	-0.228	0.390	3.182
GNF2_CDKN1C GNF2_CDKN1C	-1.119	1.033	-0.260	-1.119	-1.119	1.033	-1.119	-1.119	-0.550	0.347	4.938
MODULE_111 MODULE_111	2.253	1.210	-0.776	-0.995	-1.258	0.275	-2.377	-1.941	-0.776	1.440	2.859
GNF2_EGFR GNF2_EGFR	-0.702	2.182	-0.363	-1.326	-1.326	0.480	-0.702	-1.326	-0.363	0.247	4.128
MODULE_234 MODULE_234	1.658	1.278	0.436	-1.432	-0.921	0.436	-2.240	-0.921	-1.432	-0.348	3.042
GNF2_TM4SF2 GNF2_TM4SF2	-0.240	2.152	-0.240	-1.077	-1.077	0.372	-1.077	-1.077	-1.077	0.685	2.782
MORF_LCAT MORF_LCAT	1.026	1.502	-1.823	-1.823	-0.868	1.502	-0.351	-1.442	-1.823	0.824	2.359
MORF_WNT1 MORF_WNT1	0.765	2.479	-1.543	-1.543	-0.634	1.799	-0.634	-1.543	-1.543	0.291	2.102
MORF_RAGE MORF_RAGE	1.334	-0.905	-0.391	-1.455	-0.905	1.845	-1.155	-2.235	-0.698	1.579	2.734
MORF_LMO1 MORF_LMO1	1.368	-0.865	-0.316	-1.363	-1.363	0.722	-1.363	-0.534	-0.865	1.020	3.780
MODULE_157 MODULE_157	0.744	1.197	-1.192	-1.570	-0.890	0.956	-1.570	-1.570	-0.651	1.466	2.778
MORF_IL9 MORF_IL9	1.113	0.867	-0.855	-1.178	-1.594	1.113	0.325	-2.134	-1.178	0.654	2.383
MORF_NF1 MORF_NF1	1.245	-0.662	0.694	-0.662	-0.846	2.543	-0.846	-2.874	-0.846	-0.385	2.216
GNF2_RTN1 GNF2_RTN1	1.368	1.766	-1.363	-0.534	-0.316	-0.865	-0.534	-1.363	-0.865	-0.316	3.209
MODULE_497 MODULE_497	0.929	0.573	-1.202	-1.202	-0.610	0.303	-1.202	-0.299	-0.299	0.303	3.100
MODULE_106 MODULE_106	-0.199	1.490	0.434	0.434	-0.580	-0.580	-0.580	-0.580	-0.580	-0.580	2.204
