GO	[-6.60 -0.70]	[-0.70 -0.20]	[-0.20 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.51]	[0.51 6.33]
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP	0.352	-0.452	-1.233	-0.759	0.855	-0.255	2.525	3.067	-1.233	-2.003	-0.776
GSE27859_DC_VS_CD11C_INT_F480_HI_MACROPHAGE_DN GSE27859_DC_VS_CD11C_INT_F480_HI_MACROPHAGE_DN	-0.354	0.454	-0.354	-1.793	1.439	0.454	-1.793	-1.793	2.941	-0.354	0.442
GSE6259_BCELL_VS_CD4_TCELL_UP GSE6259_BCELL_VS_CD4_TCELL_UP	-0.385	-0.736	-0.385	0.231	5.641	-1.373	-0.385	0.454	0.454	-1.373	-0.394
GSE25087_TREG_VS_TCONV_FETUS_DN GSE25087_TREG_VS_TCONV_FETUS_DN	-0.249	1.808	1.808	-0.249	-1.541	1.345	-1.541	-1.541	-0.477	-0.249	-0.257
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN	-0.955	1.849	0.458	-0.955	0.199	1.849	0.199	-0.955	-0.955	-0.955	0.810
GSE17721_CTRL_VS_PAM3CSK4_6H_BMDC_UP GSE17721_CTRL_VS_PAM3CSK4_6H_BMDC_UP	1.375	-1.206	1.894	-0.299	-0.299	-1.206	-1.206	0.303	0.933	0.574	-1.221
GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_UP GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_UP	1.592	-1.373	0.231	0.231	-0.736	2.701	-0.385	1.139	-1.373	-0.736	-0.749
GSE17721_12H_VS_24H_LPS_BMDC_DN GSE17721_12H_VS_24H_LPS_BMDC_DN	0.339	-0.266	1.740	-1.583	-0.896	0.904	-1.583	-0.266	-0.266	-0.896	2.215
GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP	0.629	0.390	-1.919	-0.412	0.928	2.165	-1.919	0.928	-0.705	-0.227	-0.721
GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP	-2.383	0.853	-0.399	0.380	-0.234	1.165	-1.013	0.591	-1.013	2.382	-1.034
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN	1.439	1.439	-0.354	0.454	0.254	-1.793	-1.793	-0.627	-1.063	0.454	1.027
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MONOCYTE_DN GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MONOCYTE_DN	0.629	-0.705	-0.412	1.285	3.248	-0.705	-0.227	-1.164	0.390	-0.412	-1.944
GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_UP GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	-0.558	-0.332	-0.898	-0.898	-0.898	0.990	-0.898	0.697	2.174	2.174	-1.431
GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP	-0.962	-0.551	-1.667	2.636	0.302	-0.551	-0.300	0.530	2.095	-0.962	-0.309
GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP	-0.580	1.291	-2.256	1.291	0.258	-0.348	-0.348	-0.926	0.669	-1.442	1.643
GSE25087_TREG_VS_TCONV_ADULT_UP GSE25087_TREG_VS_TCONV_ADULT_UP	-2.087	0.788	-0.285	0.318	-0.814	-0.494	-0.494	-0.814	0.318	4.071	0.308
GSE3982_EOSINOPHIL_VS_MAC_DN GSE3982_EOSINOPHIL_VS_MAC_DN	-0.316	1.028	0.726	1.028	-2.172	0.287	1.382	-0.536	-2.172	-0.316	-0.326
GSE17721_POLYIC_VS_CPG_4H_BMDC_UP GSE17721_POLYIC_VS_CPG_4H_BMDC_UP	-1.233	-1.233	-1.233	1.193	0.352	0.574	0.352	1.193	-2.003	0.855	0.559
GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN	0.510	-0.673	0.264	-1.289	1.735	0.510	-0.341	-1.289	0.510	1.251	-1.306
GSE21033_CTRL_VS_POLYIC_STIM_DC_1H_DN GSE21033_CTRL_VS_POLYIC_STIM_DC_1H_DN	0.254	0.254	2.387	-0.354	-0.627	-0.627	1.885	0.720	-1.063	-1.793	-0.641
GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_DN GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_DN	-0.896	-0.896	-0.266	-0.896	1.740	4.118	-0.502	-0.502	-0.266	-0.266	-0.513
GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN	0.347	-1.122	-1.122	-0.551	0.647	-0.259	-1.122	-0.259	1.038	-0.259	2.668
GSE32986_UNSTIM_VS_CURDLAN_HIGHDOSE_STIM_DC_UP GSE32986_UNSTIM_VS_CURDLAN_HIGHDOSE_STIM_DC_UP	0.890	1.853	-1.075	-2.169	0.890	-0.737	0.448	1.172	-1.534	-0.314	-0.326
