Module	Section	Sample Name	Source
Salmon	all_sections	kg1_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/kg1_t_1/libParams/flenDist.txt
Salmon	all_sections	kg1_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/kg1_t_2/libParams/flenDist.txt
Salmon	all_sections	kg1_t_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/kg1_t_3/libParams/flenDist.txt
Salmon	all_sections	kg1_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/kg1_u_1/libParams/flenDist.txt
Salmon	all_sections	kg1_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/kg1_u_2/libParams/flenDist.txt
Salmon	all_sections	kg1_u_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/kg1_u_3/libParams/flenDist.txt
Salmon	all_sections	molm14_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/molm14_t_1/libParams/flenDist.txt
Salmon	all_sections	molm14_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/molm14_t_2/libParams/flenDist.txt
Salmon	all_sections	molm14_t_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/molm14_t_3/libParams/flenDist.txt
Salmon	all_sections	molm14_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/molm14_u_1/libParams/flenDist.txt
Salmon	all_sections	molm14_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/molm14_u_2/libParams/flenDist.txt
Salmon	all_sections	molm14_u_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/molm14_u_3/libParams/flenDist.txt
Salmon	all_sections	ociaml2_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml2_t_1/libParams/flenDist.txt
Salmon	all_sections	ociaml2_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml2_t_2/libParams/flenDist.txt
Salmon	all_sections	ociaml2_t_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml2_t_3/libParams/flenDist.txt
Salmon	all_sections	ociaml2_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml2_u_1/libParams/flenDist.txt
Salmon	all_sections	ociaml2_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml2_u_2/libParams/flenDist.txt
Salmon	all_sections	ociaml2_u_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml2_u_3/libParams/flenDist.txt
Salmon	all_sections	ociaml3_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml3_t_1/libParams/flenDist.txt
