Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
hl60_120h_t_1	48.304694693705216	17797516
hl60_120h_t_2	57.285318793456966	17910574
hl60_120h_u_1	47.48702804876416	17526008
hl60_120h_u_2	43.18321334071515	18123910
hl60_6h_t_1	80.04236835556159	15055426
hl60_6h_t_2	80.09711031577437	31513009
hl60_6h_u_1	76.9287065439093	13905703
hl60_6h_u_2	77.45657374541616	19081413
hl60_72h_t_1	54.21578327534456	18930428
hl60_72h_t_2	60.6466132332889	19876788
hl60_72h_u_1	80.42307550576349	25163482
hl60_72h_u_2	79.2130243409431	33515574
kg1_t_1	63.517636662155276	22356173
kg1_t_2	59.14303477463686	4321730
kg1_t_3	63.637841931910444	21723646
kg1_u_1	63.42477403020532	18234183
kg1_u_2	59.075300377144856	2852852
kg1_u_3	62.22727557588834	30652146
molm14_t_1	63.757207657117334	14808798
molm14_t_2	59.63773378333337	1891267
molm14_t_3	65.05768396399367	16066779
molm14_u_1	64.62394302934104	15326984
molm14_u_2	61.339913269290605	1932195
molm14_u_3	64.44878902657273	16939440
ociaml2_t_1	67.28139734660881	19196587
ociaml2_t_2	63.99310170993245	2858696
ociaml2_t_3	67.55315782091724	31739912
ociaml2_u_1	66.07840918468342	14709640
ociaml2_u_2	65.18467653494918	2063726
ociaml2_u_3	68.04313783622159	22165951
ociaml3_t_1	63.18838768786507	24687995
ociaml3_t_2	61.02468723492315	2382726
ociaml3_t_3	64.16375904085213	16395347
ociaml3_u_1	60.1840532942747	12081197
ociaml3_u_2	59.60701414408772	2522241
ociaml3_u_3	61.34343575184204	18609936
thp1_t_1	64.49484606737603	21869845
thp1_t_2	61.8290596327967	4361974
thp1_t_3	65.83963831243753	19840457
thp1_u_1	61.82713427766957	14419187
thp1_u_2	61.280079765941785	2217473
thp1_u_3	63.99773964185314	17592626
