GO	[-2.13 -0.34]	[-0.34 -0.24]	[-0.24 -0.17]	[-0.17 -0.13]	[-0.13 -0.07]	[-0.07 -0.01]	[-0.01 0.04]	[0.04 0.10]	[0.10 0.18]	[0.18 0.32]	[0.32 1.92]
MORF_ANP32B MORF_ANP32B	3.779	3.779	0.294	0.617	0.294	1.081	-1.732	-2.304	-1.732	-1.732	-2.154
MORF_G22P1 MORF_G22P1	3.380	3.380	1.314	-0.248	-0.248	0.539	-2.418	-1.246	-1.743	-1.246	-2.281
MORF_ACTG1 MORF_ACTG1	1.510	4.308	0.891	0.891	-0.502	0.282	-0.502	-0.502	-2.223	-2.223	-3.028
MORF_NPM1 MORF_NPM1	1.809	4.519	0.487	0.907	0.487	0.331	-0.869	-0.869	-1.637	-2.935	-2.772
MORF_NME2 MORF_NME2	1.841	3.883	0.341	1.092	-0.444	0.341	-0.264	-1.095	-1.654	-2.514	-2.399
MORF_PPP1CA MORF_PPP1CA	5.266	1.130	-0.251	1.130	0.358	-1.065	-0.686	-2.471	-0.686	-2.471	-0.380
MORF_EIF4A2 MORF_EIF4A2	1.652	3.901	-0.248	-0.874	1.015	1.314	-0.248	-1.246	-2.418	-1.743	-2.281
MORF_CTBP1 MORF_CTBP1	2.596	2.596	0.295	1.795	0.295	-0.472	-0.307	-2.615	-0.696	-2.615	-1.787
MORF_EIF3S6 MORF_EIF3S6	3.829	2.348	0.460	0.669	0.460	0.295	-2.184	-1.076	-1.542	-1.542	-1.435
MORF_TPT1 MORF_TPT1	1.170	3.477	0.587	0.852	-0.407	0.587	-0.407	-0.662	-2.427	-1.580	-2.315
GNF2_DAP3 GNF2_DAP3	2.375	1.937	0.629	1.191	0.629	-0.351	-0.561	-1.879	-1.879	-1.879	-1.191
GNF2_EIF3S6 GNF2_EIF3S6	1.191	2.375	0.419	1.542	0.256	0.629	-0.561	-0.861	-1.879	-1.282	-2.649
GCM_NPM1 GCM_NPM1	2.634	2.634	-0.482	0.733	-0.292	0.496	-0.760	-0.482	-2.602	-0.760	-1.627
MORF_FBL MORF_FBL	1.896	1.130	1.130	0.821	0.358	0.821	-2.471	-1.065	-1.065	-1.065	-1.522
GNF2_FBL GNF2_FBL	0.898	2.653	1.174	0.898	0.307	0.307	-0.295	-0.676	-1.880	-1.880	-2.430
MORF_DAP3 MORF_DAP3	1.833	1.833	0.622	2.237	0.425	-0.780	-0.780	-1.608	-1.132	-1.132	-1.498
MORF_ERH MORF_ERH	2.800	1.339	0.406	0.966	0.654	-0.399	-1.150	-1.150	-1.150	-1.906	-0.637
MORF_PRKAR1A MORF_PRKAR1A	1.746	0.991	-2.253	1.342	-0.338	-2.253	0.267	0.991	-0.338	-0.916	-0.517
GCM_TPT1 GCM_TPT1	1.682	3.375	-0.287	0.553	0.316	-0.534	-0.287	-0.534	-1.648	-0.944	-1.572
GCM_CSNK2B GCM_CSNK2B	1.861	1.861	0.754	0.297	-0.306	1.069	-0.858	-0.858	-0.858	-1.362	-2.066
GNF2_APEX1 GNF2_APEX1	1.489	1.922	1.109	-0.503	0.313	0.313	-0.290	-0.290	-2.122	-2.122	-0.767
MORF_JUND MORF_JUND	0.990	3.048	0.646	-0.461	0.377	0.377	-0.461	-0.461	-1.519	-0.844	-1.449
MORF_CCNI MORF_CCNI	1.638	1.638	-0.615	-0.615	1.253	0.919	-0.615	-0.372	-0.615	-0.975	-2.232
GCM_PSME1 GCM_PSME1	1.899	1.050	-0.360	0.249	0.450	1.050	-1.081	0.249	-1.820	-0.360	-1.736
GNF2_HDAC1 GNF2_HDAC1	1.787	0.518	1.054	-0.278	0.761	0.325	0.518	-0.463	-2.558	-1.126	-1.592
GCM_PPP1CC GCM_PPP1CC	2.723	1.139	-0.391	0.450	-0.746	0.755	-1.390	-0.391	-1.390	0.227	-0.699
MORF_UBE2N MORF_UBE2N	1.500	0.474	0.264	1.500	0.264	0.751	-1.777	-1.046	-1.777	0.264	-0.563
GNF2_NS GNF2_NS	1.674	0.395	0.395	0.726	1.155	-1.050	-1.050	-0.498	-1.050	0.395	-1.002
GCM_CBFB GCM_CBFB	1.899	0.450	1.050	0.249	-0.637	1.444	-1.081	0.249	-1.820	-0.637	-1.014
MORF_AP3D1 MORF_AP3D1	1.191	0.886	0.256	2.375	-0.861	0.256	-0.351	-2.777	0.256	-0.561	-0.788
GNF2_MLH1 GNF2_MLH1	-0.468	-0.206	-0.206	0.423	2.388	1.761	-0.206	-1.007	-0.468	-1.007	-0.961
