GO	[-3.28 -0.32]	[-0.32 -0.20]	[-0.20 -0.13]	[-0.13 -0.07]	[-0.07 -0.03]	[-0.03 0.02]	[0.02 0.06]	[0.06 0.12]	[0.12 0.19]	[0.19 0.32]	[0.32 2.54]
MORF_ACTG1 MORF_ACTG1	-2.167	-1.074	-0.313	-0.737	1.494	3.652	1.854	0.890	-0.737	-2.167	-1.108
GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP	0.757	-2.129	-2.129	-2.129	-0.300	-0.514	1.068	2.308	-0.514	0.302	1.799
FAN_EMBRYONIC_CTX_MICROGLIA_1 FAN_EMBRYONIC_CTX_MICROGLIA_1	4.142	0.374	-0.609	0.799	0.374	-0.239	-0.609	-2.848	-0.390	-2.848	0.770
MORF_TPT1 MORF_TPT1	-2.382	-0.648	-0.399	-0.648	0.854	4.600	1.526	0.592	-0.648	-1.548	-1.040
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_DN GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_DN	-2.593	-0.490	-0.766	-0.766	0.481	5.344	0.983	0.983	-0.766	-1.161	-0.510
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-2.044	-0.786	-0.270	-1.267	0.335	4.179	1.533	1.150	-0.786	-1.267	-0.489
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	-2.002	-0.759	-0.452	-1.232	0.352	3.657	2.031	1.194	-0.759	-1.232	-0.468
GCM_TPT1 GCM_TPT1	-1.624	-0.929	-0.929	-0.929	0.864	3.335	1.675	1.238	-0.526	-0.929	-0.951
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	4.142	0.565	-0.390	0.799	0.374	-0.917	-0.917	-2.848	-0.609	-1.344	1.041
GSE6269_FLU_VS_E_COLI_INF_PBMC_DN GSE6269_FLU_VS_E_COLI_INF_PBMC_DN	-1.080	-1.080	1.095	-0.521	0.372	5.205	0.372	-0.521	-1.080	-0.521	-0.534
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP	-1.232	-2.002	1.194	-1.232	0.352	0.856	-0.452	-2.002	1.586	1.586	0.338
GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP	3.504	0.265	0.265	0.415	0.415	0.265	0.415	-3.188	-1.598	-1.598	0.802
GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP	0.318	0.789	-0.285	-1.302	-0.285	-2.086	2.899	-0.813	-0.493	-1.302	2.324
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	-1.438	-0.672	0.503	-1.438	0.503	4.446	1.281	0.329	-0.275	-2.056	-0.697
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	-2.086	-0.813	-0.285	-1.302	-0.285	3.464	1.905	0.789	-0.813	-0.813	0.305
REACTOME_SELENOAMINO_ACID_METABOLISM REACTOME_SELENOAMINO_ACID_METABOLISM	-2.086	-0.285	-0.285	-1.302	-0.285	4.073	1.481	0.789	-0.813	-0.813	-0.511
GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP	-0.452	-1.232	-2.002	-0.759	-0.255	-0.452	2.031	3.068	0.856	0.352	-1.260
GSE21360_NAIVE_VS_TERTIARY_MEMORY_CD8_TCELL_DN GSE21360_NAIVE_VS_TERTIARY_MEMORY_CD8_TCELL_DN	-0.672	-0.672	-1.289	0.841	-0.672	2.291	1.736	-1.289	0.511	0.511	-1.311
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	-1.582	-1.582	-0.501	-0.501	0.340	4.120	0.905	0.905	-0.266	-0.896	-0.517
