	[-0.69 -0.53]	[-0.53 -0.24]	[-0.24 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.20]	[0.20 0.43]	[0.43 0.93]	[0.93 1.09]
GOBP_OSTEOCLAST_DIFFERENTIATION	-1.5619999999999998	-1.151	-0.268	-2.097	-1.5619999999999998	-1.5619999999999998	1.14	-0.588	0.89	2.077	4.7
GOBP_REGULATION_OF_CELL_KILLING	-1.3030000000000002	0.5589999999999999	0.26899999999999996	-0.961	-0.695	-0.695	-1.7380000000000002	-0.49	0.39799999999999996	2.162	3.333
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE	-0.655	-1.818	-2.276	-0.866	0.256	0.256	0.8220000000000001	-0.35100000000000003	-0.35100000000000003	2.059	3.054
GOBP_CELL_CELL_JUNCTION_MAINTENANCE	-0.19899999999999998	-0.19899999999999998	-0.58	-0.58	-0.19899999999999998	-0.58	-0.58	-0.58	-0.58	2.2119999999999997	3.048
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	-1.198	0.539	-0.244	-0.8420000000000001	-0.5770000000000001	-0.8420000000000001	-1.675	-0.5770000000000001	0.539	2.338	2.745
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	-0.507	0.252	0.368	-0.95	-1.261	-1.261	-1.261	-0.35700000000000004	0.6829999999999999	2.2880000000000003	2.633
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	-0.332	-1.1420000000000001	-1.1420000000000001	0.272	-2.4130000000000003	-0.866	-0.469	0.893	0.38799999999999996	2.246	2.576
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	-0.605	-1.331	-0.605	-1.331	-1.331	0.56	-1.331	-0.389	0.56	4.039	2.539
GOBP_ENTRY_INTO_HOST	-1.9340000000000002	-0.32799999999999996	-1.254	-0.446	-0.446	-2.883	-0.446	-0.32799999999999996	1.95	2.5469999999999997	2.533
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	-1.225	-0.451	-0.256	-1.225	-0.755	-0.256	-1.225	0.35200000000000004	0.35200000000000004	2.487	2.479
GOBP_RESPONSE_TO_ESTRADIOL	-0.282	-0.282	-0.743	0.595	-0.551	-1.276	-2.6039999999999996	-0.39899999999999997	0.321	2.331	2.318
GOBP_NEPHRON_DEVELOPMENT	0.5660000000000001	0.42700000000000005	-1.558	-1.23	-1.558	-0.292	-0.958	-1.952	0.5660000000000001	4.393	2.169
GOBP_MOVEMENT_IN_HOST_ENVIRONMENT	-2.101	-0.436	-1.1540000000000001	0.373	-0.327	-3.58	-0.436	0.486	1.5619999999999998	2.069	2.055
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE	-0.727	-1.857	-1.857	-0.727	0.866	-0.938	0.41100000000000003	0.301	0.541	2.051	2.0380000000000003
