	[-0.86 -0.67]	[-0.67 -0.34]	[-0.34 -0.17]	[-0.17 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.24]	[0.24 0.50]	[0.50 1.04]	[1.04 1.23]
GOBP_NUCLEOSOME_ASSEMBLY	6.367000000000001	4.957	0.266	0.815	-1.053	-0.8170000000000001	-0.622	-1.339	-1.339	-2.576	-2.099
GOBP_NUCLEOSOME_ORGANIZATION	4.848	4.08	1.008	1.412	-1.268	-1.026	-0.382	-1.026	-1.8769999999999998	-3.193	-2.266
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	4.1419999999999995	4.1419999999999995	0.247	-0.7020000000000001	-0.7020000000000001	-0.7020000000000001	-0.363	-0.7020000000000001	-1.325	-0.7020000000000001	-1.329
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	4.0569999999999995	2.782	-0.5	0.898	-0.892	-0.892	-0.5	-0.5	-1.574	-0.5	-1.578
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	4.002	4.002	-0.509	0.8290000000000001	-1.208	-1.558	0.48700000000000004	-1.208	-0.365	-1.208	-2.5180000000000002
GOBP_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	3.633	4.421	0.514	1.018	-2.34	-1.9080000000000001	-0.319	-0.758	-0.319	-1.234	-2.863
GOBP_HETEROCHROMATIN_ORGANIZATION	2.338	2.338	0.996	0.996	-2.326	-1.675	-0.382	0.36700000000000005	-0.244	-1.198	-3.285
GOBP_REGULATION_OF_CELL_KILLING	0.39799999999999996	-1.7380000000000002	-1.3030000000000002	-1.7380000000000002	-0.335	-0.961	-1.7380000000000002	1.226	-0.695	3.7939999999999996	3.779
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	-0.244	-1.198	-1.198	-1.198	-0.5770000000000001	-1.198	-1.198	0.996	-0.382	3.2060000000000004	3.6719999999999997
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	-0.28300000000000003	-0.696	-1.806	-0.696	-0.696	-1.4509999999999998	-1.1520000000000001	-0.527	1.571	2.7489999999999997	3.438
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	-0.507	-1.261	-0.7020000000000001	-0.95	-0.507	-1.6480000000000001	-1.261	1.111	0.368	2.6460000000000004	3.4189999999999996
GOBP_INTERFERON_GAMMA_PRODUCTION	0.49700000000000005	-0.97	-1.285	-2.7739999999999996	-1.676	0.49700000000000005	-2.1630000000000003	-0.252	1.084	2.9760000000000004	3.362
