	[-0.72 -0.55]	[-0.55 -0.27]	[-0.27 -0.14]	[-0.14 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.24]	[0.24 0.50]	[0.50 1.02]	[1.02 1.19]
GOBP_VASCULAR_TRANSPORT	3.083	2.66	-1.053	-0.75	-0.75	-1.053	-1.053	-0.75	0.5579999999999999	0.39	-0.353
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	2.076	2.076	0.317	0.815	-1.7919999999999998	-2.142	-0.285	-0.379	0.41600000000000004	-2.544	0.526
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1.3090000000000002	-1.26	-2.3040000000000003	-2.3040000000000003	-1.901	-0.474	-2.3040000000000003	-1.555	0.589	6.114	6.087999999999999
GOBP_MONONUCLEAR_CELL_MIGRATION	-2.044	-0.583	-1.703	-1.406	-1.149	1.9369999999999998	0.263	0.263	-0.742	2.7739999999999996	3.3930000000000002
GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING	-0.317	-0.41700000000000004	-0.685	-1.883	-1.061	-0.685	-1.297	-0.317	0.61	3.09	3.392
GOBP_REGULATION_OF_BLOOD_PRESSURE	-0.262	-1.486	-4.351	-0.975	-0.46799999999999997	0.452	-0.46799999999999997	-0.607	0.8859999999999999	2.842	3.1460000000000004
GOBP_DETECTION_OF_ABIOTIC_STIMULUS	1.176	-1.093	-2.144	-0.258	-0.489	0.613	-0.851	-2.144	-0.489	2.228	2.862
GOBP_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	0.267	-0.79	-0.45799999999999996	-1.589	-1.011	-0.607	-1.275	-0.33799999999999997	0.792	3.175	2.495
GOBP_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	0.37	-0.242	-0.431	-0.242	-0.728	0.37	-0.728	-1.1909999999999998	-1.9480000000000002	2.563	2.061
GOBP_RESPONSE_TO_INTERFERON_GAMMA	-1.2409999999999999	-0.38799999999999996	0.52	0.406	-2.167	-1.01	-0.38799999999999996	-0.293	-0.505	2.8939999999999997	2.033
GOBP_REGULATION_OF_CELL_SHAPE	-1.5190000000000001	-0.956	-0.5670000000000001	1.742	-1.5190000000000001	-2.821	-1.213	0.6759999999999999	0.6759999999999999	2.96	2.005
