gene_name	log2FoldChange
TSPAN6	0.767273757040825
TNMD	0
DPM1	-0.574303354781235
SCYL3	0.26218585230791
C1orf112	-0.256917735446089
FGR	1.56969716023396
CFH	-1.15902062748315
FUCA2	-0.362799268476358
GCLC	0.437668774333695
NFYA	-0.0111048376649142
STPG1	0.167489464697806
NIPAL3	0.00441174904144675
LAS1L	-0.608708214541286
ENPP4	0.324614666293361
SEMA3F	2.58019878705398
CFTR	0
ANKIB1	-0.0646826178478574
CYP51A1	-0.511701775735103
KRIT1	-0.132220907123713
RAD52	0.612898802935349
MYH16	3.37315051687744
BAD	0.207050259054176
LAP3	-0.505106114444829
CD99	0.453703279214341
HS3ST1	-0.344208978555015
AOC1	0.964750203641996
WNT16	-1.05285510839534
HECW1	2.21621460799096
MAD1L1	0.319794603251767
LASP1	0.201212420914029
SNX11	-0.0477312004706799
TMEM176A	2.32396690083828
M6PR	-0.291789725214335
KLHL13	-0.809701891393907
CYP26B1	0.920005072269437
ICA1	-0.000873142371046554
DBNDD1	1.14876725748675
ALS2	1.22239513384773
CASP10	0.374384818492531
CFLAR	0.253195528959875
TFPI	-0.186223453648138
NDUFAF7	-0.188590588524497
RBM5	0.276690112881631
MTMR7	1.08110891779586
SLC7A2	-0.341789141397765
ARF5	-0.0430115460088938
SARM1	0.58320911500752
POLDIP2	-0.587228680621093
PLXND1	1.23691037303666
AK2	-0.772339838691045
CD38	-0.122903038296466
FKBP4	-0.283966851822498
KDM1A	-0.282049463916791
RBM6	-0.124512576372441
CAMKK1	-0.446705180999343
RECQL	-0.300662626469915
VPS50	-0.241406885345561
HSPB6	-0.070654321407593
ARHGAP33	0.945403241412532
NDUFAB1	-0.414184866828996
PDK4	0.292137251919333
SLC22A16	0.911246070093351
ZMYND10	-0.0737304396319426
ABCB5	0.571972046975945
ARX	-1.54602821034311
SLC25A13	-0.494985100728669
ST7	-0.406553939765238
CDC27	-0.316612764899081
SLC4A1	0.0419265794714609
CALCR	0.77758712671506
HCCS	-0.339819912532104
DVL2	-0.147545040434149
PRSS22	0
UPF1	-0.177484557302009
SKAP2	0.249885936873716
SLC25A5	-0.214648057715332
MCUB	1.78507884866645
HOXA11	0.25323853666973
POLR2J	-0.33499612479388
DHX33	-0.647838730147729
MEOX1	0
THSD7A	2.32151580302668
LIG3	-0.562053237331532
RPAP3	-0.223226083841378
ACSM3	0.663332184666006
REXO5	-0.168793447355255
CIAPIN1	-0.341448640089817
SPPL2B	-0.173383794378087
FAM214B	1.38532835800826
COPZ2	0.0211653173339662
PRKAR2B	-0.344921917178977
MSL3	-0.00309193075705706
CREBBP	-0.0284531140461543
TSPOAP1	-0.0325849087320221
MPO	-0.729495410342314
PON1	-1.26233807553792
GCFC2	-0.242335743904532
WDR54	0.657634556843731
CROT	0.425867829817832
ABCB4	4.80641825612096
KMT2E	0.0887564129626938
RHBDD2	0.3992248100966
SOX8	-0.00107739580714449
IBTK	-0.17816618388706
ZNF195	-0.399504735754237
MYCBP2	-0.230541021167402
FBXL3	0.00315165399273504
ITGAL	-0.155453303246408
PDK2	-0.0353728869794097
ITGA3	-0.100133371447944
ZFX	0.00879380260881048
LAMP2	-0.0768647370861885
ITGA2B	2.9648503119981
ASB4	0.308769871238496
GDE1	-0.340162266362764
REX1BD	-0.00457203669361836
CRLF1	-0.0283871759433541
OSBPL7	0.286807239991215
TMEM98	0.0730399384492706
YBX2	-0.173986827762118
KRT33A	0
MAP3K14	0.421037633736386
ABCC8	5.1853778875887
CACNG3	0
TMEM132A	-0.0201359540657392
AP2B1	0.0160303570410915
TAC1	0
ZNF263	-0.313931384410364
CX3CL1	0.40812737960707
SPATA20	0.0706793754776034
CACNA1G	4.08759253636977
TNFRSF12A	0.0311144418811377
DLX6	0.112390001143751
MAP3K9	0.165890418738164
RALA	-0.265443041411935
BAIAP2L1	0.160359899108605
KDM7A	0.695004947030837
ETV1	-0.266247101586753
AGK	-0.389925869263987
ALDH3B1	0.270364976754595
TTC22	1.97013312601658
PHTF2	-0.155599791077035
CCL26	0
FARP2	-0.211401085232183
USH1C	5.09201574739311
GGCT	-0.667841006433776
DBF4	-0.537390051736445
