	[-1.23 -0.93]	[-0.93 -0.57]	[-0.57 -0.31]	[-0.31 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.11]	[0.11 0.38]	[0.38 0.73]	[0.73 1.73]	[1.73 2.03]
GOBP_TRANSLATIONAL_TERMINATION	4.734	8.075	2.949	0.447	-2.5340000000000003	-4.359	-1.486	-0.29	-1.9480000000000002	-3.295	-3.306
GOBP_MITOCHONDRIAL_TRANSLATION	4.636	13.899000000000001	4.204	-0.36200000000000004	-3.5460000000000003	-5.567	-1.145	-0.36200000000000004	-2.306	-5.567	-5.581
GOBP_TRANSLATIONAL_ELONGATION	4.204	7.615	3.3960000000000004	-0.256	-2.306	-5.567	-0.6709999999999999	0.478	-1.845	-3.5460000000000003	-3.5580000000000003
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	4.121	14.118	4.9239999999999995	-0.452	-3.26	-6.861000000000001	-0.9740000000000001	-0.337	-1.8519999999999999	-4.669	-5.631
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	3.94	7.947	3.022	0.24600000000000002	-2.695	-3.693	-1.476	0.376	-1.476	-3.693	-3.702
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	3.083	3.083	0.257	-0.521	-1.4480000000000002	-0.75	-1.053	-0.35	-0.521	0.257	-0.755
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	2.931	3.5789999999999997	0.815	0.815	-2.544	-1.7919999999999998	-0.494	-0.494	-0.799	-0.285	-2.154
GOBP_TRNA_METABOLIC_PROCESS	2.803	13.198	4.56	0.441	-3.71	-7.447	-1.23	0.441	-1.23	-3.1319999999999997	-7.466
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	2.385	6.68	2.765	1.138	-3.1439999999999997	-4.192	-1.028	-0.536	-1.827	-0.536	-4.203
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	2.372	3.932	1.733	0.578	-2.319	-3.752	-0.81	0.7559999999999999	-0.81	-0.43	-3.763
GOBP_ELECTRON_TRANSPORT_CHAIN	2.281	3.904	1.29	0.354	-3.072	-4.316	-0.76	0.354	-0.594	0.738	-1.7930000000000001
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	2.249	3.452	1.107	0.9279999999999999	-0.843	-3.09	-1.278	-1.278	-0.40700000000000003	-0.40700000000000003	-0.85
GOBP_TRNA_PROCESSING	2.1719999999999997	7.974	4.015	0.534	-2.733	-5.4	-1.063	0.696	-1.368	-2.188	-5.414
GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS	2.084	2.472	0.301	1.114	-1.335	-2.51	-0.301	0.301	-0.9570000000000001	-0.9570000000000001	-0.46
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.7390000000000001	-1.555	-1.26	-1.901	-0.797	0.34600000000000003	-0.62	-1.0090000000000001	-1.0090000000000001	2.637	7.03
GOBP_PIRNA_METABOLIC_PROCESS	-0.298	-0.745	-0.298	-0.745	-0.298	-0.745	-0.745	-0.745	-0.298	2.401	4.052
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	0.301	-0.413	-0.727	-2.79	-2.2840000000000003	0.301	-0.5529999999999999	-0.301	-0.301	3.0039999999999996	3.716
GOBP_GRANULOCYTE_CHEMOTAXIS	-3.122	-3.122	-1.186	-0.904	-0.354	0.85	0.85	-0.354	0.254	2.165	3.623
GOBP_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	-2.397	-0.607	-1.275	-0.45799999999999996	-0.33799999999999997	-1.011	-0.33799999999999997	0.267	0.488	2.509	3.5180000000000002
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	0.53	-0.332	-0.644	-2.4130000000000003	-1.482	0.6990000000000001	-1.1420000000000001	-0.469	-0.644	2.589	3.3280000000000003
GOBP_GRANULOCYTE_MIGRATION	-2.667	-3.259	-0.868	-0.868	-0.37	0.945	0.7609999999999999	-0.502	0.33899999999999997	2.191	3.1689999999999996
GOBP_NEUTROPHIL_CHEMOTAXIS	-3.1439999999999997	-2.398	-1.028	-0.7509999999999999	-0.536	0.688	0.688	-0.37200000000000005	0.508	2.031	3.157
GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING	-3.1189999999999998	-0.317	-1.297	-0.539	-0.685	-1.569	-0.41700000000000004	0.28600000000000003	0.752	4.098	3.072
GOBP_ZYMOGEN_ACTIVATION	0.34600000000000003	-1.6059999999999999	-1.063	-0.434	0.542	-1.063	-0.434	-0.691	-0.434	2.679	2.6689999999999996
GOBP_INTERLEUKIN_4_PRODUCTION	-0.385	0.45299999999999996	0.231	-1.367	-0.733	-0.385	-0.385	-1.367	-0.385	2.093	2.6630000000000003
GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION	-1.157	-0.41100000000000003	-1.906	-0.228	-1.906	-0.41100000000000003	-0.41100000000000003	-0.7020000000000001	1.679	2.136	2.634
GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	-2.1	-0.76	-1.2990000000000002	-0.41100000000000003	-0.41100000000000003	-0.76	-0.29100000000000004	-0.29100000000000004	0.579	2.987	2.615
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	0.483	-1.706	-2.116	0.258	-1.073	0.36	-1.361	0.797	-0.47700000000000004	2.583	2.569
GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	-2.031	-0.5539999999999999	-1.101	-0.7909999999999999	-0.377	-0.7909999999999999	0.363	-0.377	0.363	3.403	2.541
GOBP_NEUTROPHIL_MIGRATION	-2.445	-2.445	-0.885	-0.66	-0.66	0.871	0.68	-0.66	0.68	2.205	2.532
GOBP_REGULATION_OF_TRANSPOSITION	-0.52	-1.077	-0.52	0.371	-1.077	-1.077	-0.52	-0.52	0.684	2.7939999999999996	2.1430000000000002
